,FBtr0112941,YDL161W_mRNA,YLR206W_mRNA,FBtr0331833,T04C10.2a.1,FBtr0076794,FBtr0076795,FBtr0076796,FBtr0076797,FBtr0331835,FBtr0331834,FBtr0331837,FBtr0331836,FBtr0331838,T04C10.2b.1,FBtr0076798
FBtr0112941,1.0,0.5008880994671403,0.4023090586145648,0.9813499111900533,0.5035523978685613,0.8774422735346359,0.8727797513321492,0.8774422735346359,0.9040852575488455,0.9766873889875666,0.9040852575488455,0.9040852575488455,0.8994227353463587,0.9813499111900533,0.5022202486678508,0.8727797513321492
YDL161W_mRNA,0.5008880994671403,1.0,0.7855239786856127,0.5075488454706927,0.6063499111900533,0.3783303730017762,0.37366785079928955,0.3783303730017762,0.4049733570159858,0.502886323268206,0.4049733570159858,0.4049733570159858,0.40031083481349916,0.5075488454706927,0.6050177619893428,0.37366785079928955
YLR206W_mRNA,0.4023090586145648,0.7855239786856127,1.0,0.40896980461811716,0.5035523978685613,0.27975133214920067,0.27508880994671403,0.27975133214920067,0.3063943161634103,0.40430728241563063,0.3063943161634103,0.3063943161634103,0.30173179396092364,0.40896980461811716,0.5022202486678508,0.27508880994671403
FBtr0331833,0.9813499111900533,0.5075488454706927,0.40896980461811716,1.0,0.5102131438721137,0.8587921847246892,0.8541296625222025,0.8587921847246892,0.8854351687388987,0.9953374777975134,0.8854351687388987,0.8854351687388987,0.8807726465364121,1.0,0.5088809946714032,0.8541296625222025
T04C10.2a.1,0.5035523978685613,0.6063499111900533,0.5035523978685613,0.5102131438721137,1.0,0.3809946714031971,0.37633214920071045,0.3809946714031971,0.4076376554174068,0.5055506216696269,0.4076376554174068,0.4076376554174068,0.40297513321492007,0.5102131438721137,0.9986678507992895,0.37633214920071045
FBtr0076794,0.8774422735346359,0.3783303730017762,0.27975133214920067,0.8587921847246892,0.3809946714031971,1.0,0.9953374777975134,1.0,0.9733570159857904,0.8541296625222025,0.9733570159857904,0.9733570159857904,0.9686944937833037,0.8587921847246892,0.37966252220248675,0.9953374777975134
FBtr0076795,0.8727797513321492,0.37366785079928955,0.27508880994671403,0.8541296625222025,0.37633214920071045,0.9953374777975134,1.0,0.9953374777975134,0.9686944937833037,0.8587921847246892,0.9686944937833037,0.9686944937833037,0.9733570159857904,0.8541296625222025,0.375,1.0
FBtr0076796,0.8774422735346359,0.3783303730017762,0.27975133214920067,0.8587921847246892,0.3809946714031971,1.0,0.9953374777975134,1.0,0.9733570159857904,0.8541296625222025,0.9733570159857904,0.9733570159857904,0.9686944937833037,0.8587921847246892,0.37966252220248675,0.9953374777975134
FBtr0076797,0.9040852575488455,0.4049733570159858,0.3063943161634103,0.8854351687388987,0.4076376554174068,0.9733570159857904,0.9686944937833037,0.9733570159857904,1.0,0.8807726465364121,1.0,1.0,0.9953374777975134,0.8854351687388987,0.40630550621669625,0.9686944937833037
FBtr0331835,0.9766873889875666,0.502886323268206,0.40430728241563063,0.9953374777975134,0.5055506216696269,0.8541296625222025,0.8587921847246892,0.8541296625222025,0.8807726465364121,1.0,0.8807726465364121,0.8807726465364121,0.8854351687388987,0.9953374777975134,0.5042184724689165,0.8587921847246892
FBtr0331834,0.9040852575488455,0.4049733570159858,0.3063943161634103,0.8854351687388987,0.4076376554174068,0.9733570159857904,0.9686944937833037,0.9733570159857904,1.0,0.8807726465364121,1.0,1.0,0.9953374777975134,0.8854351687388987,0.40630550621669625,0.9686944937833037
FBtr0331837,0.9040852575488455,0.4049733570159858,0.3063943161634103,0.8854351687388987,0.4076376554174068,0.9733570159857904,0.9686944937833037,0.9733570159857904,1.0,0.8807726465364121,1.0,1.0,0.9953374777975134,0.8854351687388987,0.40630550621669625,0.9686944937833037
FBtr0331836,0.8994227353463587,0.40031083481349916,0.30173179396092364,0.8807726465364121,0.40297513321492007,0.9686944937833037,0.9733570159857904,0.9686944937833037,0.9953374777975134,0.8854351687388987,0.9953374777975134,0.9953374777975134,1.0,0.8807726465364121,0.4016429840142096,0.9733570159857904
FBtr0331838,0.9813499111900533,0.5075488454706927,0.40896980461811716,1.0,0.5102131438721137,0.8587921847246892,0.8541296625222025,0.8587921847246892,0.8854351687388987,0.9953374777975134,0.8854351687388987,0.8854351687388987,0.8807726465364121,1.0,0.5088809946714032,0.8541296625222025
T04C10.2b.1,0.5022202486678508,0.6050177619893428,0.5022202486678508,0.5088809946714032,0.9986678507992895,0.37966252220248675,0.375,0.37966252220248675,0.40630550621669625,0.5042184724689165,0.40630550621669625,0.40630550621669625,0.4016429840142096,0.5088809946714032,1.0,0.375
FBtr0076798,0.8727797513321492,0.37366785079928955,0.27508880994671403,0.8541296625222025,0.37633214920071045,0.9953374777975134,1.0,0.9953374777975134,0.9686944937833037,0.8587921847246892,0.9686944937833037,0.9686944937833037,0.9733570159857904,0.8541296625222025,0.375,1.0
