,ENSTGET00000041395,ENSRROT00000043053,ENSCJAT00000085128,ENSMLET00000015346,ENSNLET00000049324,ENSMNET00000054072,ENSPANT00000039981,ENSMFAT00000035864,ENSANAT00000025543,ENSCATT00000023532
ENSTGET00000041395,1.0,0.9271523178807947,0.9105960264900662,0.9900662251655629,0.9105960264900662,0.9933774834437086,0.9933774834437086,0.9966887417218543,0.8609271523178808,0.9867549668874173
ENSRROT00000043053,0.9271523178807947,1.0,0.8642384105960265,0.9172185430463576,0.8576158940397351,0.9205298013245033,0.9205298013245033,0.9238410596026491,0.8178807947019867,0.9139072847682119
ENSCJAT00000085128,0.9105960264900662,0.8642384105960265,1.0,0.9139072847682119,0.8675496688741722,0.9105960264900662,0.9105960264900662,0.9139072847682119,0.890728476821192,0.9105960264900662
ENSMLET00000015346,0.9900662251655629,0.9172185430463576,0.9139072847682119,1.0,0.9072847682119205,0.9900662251655629,0.9900662251655629,0.9933774834437086,0.8642384105960265,0.9900662251655629
ENSNLET00000049324,0.9105960264900662,0.8576158940397351,0.8675496688741722,0.9072847682119205,1.0,0.9039735099337748,0.9039735099337748,0.9072847682119205,0.8145695364238411,0.9039735099337748
ENSMNET00000054072,0.9933774834437086,0.9205298013245033,0.9105960264900662,0.9900662251655629,0.9039735099337748,1.0,0.9933774834437086,0.9966887417218543,0.8609271523178808,0.9867549668874173
ENSPANT00000039981,0.9933774834437086,0.9205298013245033,0.9105960264900662,0.9900662251655629,0.9039735099337748,0.9933774834437086,1.0,0.9966887417218543,0.8609271523178808,0.9867549668874173
ENSMFAT00000035864,0.9966887417218543,0.9238410596026491,0.9139072847682119,0.9933774834437086,0.9072847682119205,0.9966887417218543,0.9966887417218543,1.0,0.8642384105960265,0.9900662251655629
ENSANAT00000025543,0.8609271523178808,0.8178807947019867,0.890728476821192,0.8642384105960265,0.8145695364238411,0.8609271523178808,0.8609271523178808,0.8642384105960265,1.0,0.8609271523178808
ENSCATT00000023532,0.9867549668874173,0.9139072847682119,0.9105960264900662,0.9900662251655629,0.9039735099337748,0.9867549668874173,0.9867549668874173,0.9900662251655629,0.8609271523178808,1.0
