	ENSJHYT00000028548	ENSSCAT00000017018	ENSCPGT00000013773	ENSCPUT00000027619	ENSSMRT00000021605	ENSMUNT00000002885	ENSMUNT00000002886	ENSACAT00000009790	ENSPVIT00000041072	ENSZALT00000010655	ENSNSUT00000014645	ENSEBUT00000009428
ENSJHYT00000028548	1.0	0.930859375	0.7859375	0.786328125	0.687109375	0.71796875	0.701953125	0.695703125	0.691796875	0.8328125	0.72421875	0.472265625
ENSSCAT00000017018	0.930859375	1.0	0.823828125	0.824609375	0.727734375	0.757421875	0.741796875	0.73671875	0.730078125	0.8578125	0.762890625	0.50859375
ENSCPGT00000013773	0.7859375	0.823828125	1.0	0.987890625	0.808203125	0.876171875	0.773828125	0.820703125	0.812890625	0.9125	0.762109375	0.43671875
ENSCPUT00000027619	0.786328125	0.824609375	0.987890625	1.0	0.806640625	0.875390625	0.7734375	0.818359375	0.81171875	0.9125	0.760546875	0.43515625
ENSSMRT00000021605	0.687109375	0.727734375	0.808203125	0.806640625	1.0	0.762109375	0.67578125	0.86171875	0.860546875	0.799609375	0.808984375	0.43359375
ENSMUNT00000002885	0.71796875	0.757421875	0.876171875	0.875390625	0.762109375	1.0	0.8953125	0.773046875	0.767578125	0.855859375	0.716015625	0.376171875
ENSMUNT00000002886	0.701953125	0.741796875	0.773828125	0.7734375	0.67578125	0.8953125	1.0	0.684375	0.680078125	0.75546875	0.707421875	0.433984375
ENSACAT00000009790	0.695703125	0.73671875	0.820703125	0.818359375	0.86171875	0.773046875	0.684375	1.0	0.880078125	0.815234375	0.8234375	0.434375
ENSPVIT00000041072	0.691796875	0.730078125	0.812890625	0.81171875	0.860546875	0.767578125	0.680078125	0.880078125	1.0	0.8078125	0.8296875	0.43203125
ENSZALT00000010655	0.8328125	0.8578125	0.9125	0.9125	0.799609375	0.855859375	0.75546875	0.815234375	0.8078125	1.0	0.761328125	0.433984375
ENSNSUT00000014645	0.72421875	0.762890625	0.762109375	0.760546875	0.808984375	0.716015625	0.707421875	0.8234375	0.8296875	0.761328125	1.0	0.474609375
ENSEBUT00000009428	0.472265625	0.50859375	0.43671875	0.43515625	0.43359375	0.376171875	0.433984375	0.434375	0.43203125	0.433984375	0.474609375	1.0
