	Y39H10A.7b.1	R02C2.1.1	ENSPNYT00000014970	R02C2.6.1	R02C2.2.1	ENSMMOT00000025092	ENSHHUT00000076753	Y43D4A.6.1	Y39H10A.7a.1	Y39H10A.7b.2
Y39H10A.7b.1	1.0	0.8392735217806909	0.8033592789840229	0.8297145978424143	0.8381810733306022	0.7738631708316264	0.852246347125495	0.8486958896627066	0.9623105284719378	1.0
R02C2.1.1	0.8392735217806909	1.0	0.8420046429059129	0.9222996039874368	0.9330875324320632	0.7812371978697256	0.8582548136009832	0.9090536665301108	0.8526560152942783	0.8392735217806909
ENSPNYT00000014970	0.8033592789840229	0.8420046429059129	1.0	0.8387272975556466	0.8430970913560016	0.8761436569711867	0.8839273521780691	0.8357230643179026	0.7656698074559607	0.8033592789840229
R02C2.6.1	0.8297145978424143	0.9222996039874368	0.8387272975556466	1.0	0.920934043424826	0.7912057899767855	0.8532022395193227	0.9027720879421004	0.8454185443124402	0.8297145978424143
R02C2.2.1	0.8381810733306022	0.9330875324320632	0.8430970913560016	0.920934043424826	1.0	0.7802813054758978	0.8542946879694114	0.9083708862488052	0.8544312440256725	0.8381810733306022
ENSMMOT00000025092	0.7738631708316264	0.7812371978697256	0.8761436569711867	0.7912057899767855	0.7802813054758978	1.0	0.870954526833265	0.7988529291274068	0.7361736993035641	0.7738631708316264
ENSHHUT00000076753	0.852246347125495	0.8582548136009832	0.8839273521780691	0.8532022395193227	0.8542946879694114	0.870954526833265	1.0	0.8712276389457873	0.8145568755974327	0.852246347125495
Y43D4A.6.1	0.8486958896627066	0.9090536665301108	0.8357230643179026	0.9027720879421004	0.9083708862488052	0.7988529291274068	0.8712276389457873	1.0	0.8566161409258499	0.8486958896627066
Y39H10A.7a.1	0.9623105284719378	0.8526560152942783	0.7656698074559607	0.8454185443124402	0.8544312440256725	0.7361736993035641	0.8145568755974327	0.8566161409258499	1.0	0.9623105284719378
Y39H10A.7b.2	1.0	0.8392735217806909	0.8033592789840229	0.8297145978424143	0.8381810733306022	0.7738631708316264	0.852246347125495	0.8486958896627066	0.9623105284719378	1.0
