	ENSPTET00000009050	Y41E3.4c.1	Y41E3.4d.1	Y41E3.4b.1	FBtr0084866	ENSCSAVT00000011762	Y41E3.4a.1	ENSCSAVT00000011759	Y41E3.4b.2	YOR168W_mRNA
ENSPTET00000009050	1.0	0.5468029953917051	0.6346486175115207	0.4845910138248848	0.6870679723502304	0.4091301843317972	0.3869527649769585	0.4013536866359446	0.4845910138248848	0.7381912442396313
Y41E3.4c.1	0.5468029953917051	1.0	0.9118663594470046	0.9377880184331796	0.6213997695852534	0.6519297235023042	0.8401497695852534	0.6441532258064516	0.9377880184331796	0.5982142857142857
Y41E3.4d.1	0.6346486175115207	0.9118663594470046	1.0	0.8496543778801844	0.7089573732718893	0.7047811059907834	0.7520161290322581	0.6970046082949308	0.8496543778801844	0.6854838709677419
Y41E3.4b.1	0.4845910138248848	0.9377880184331796	0.8496543778801844	1.0	0.5591877880184332	0.6358006912442397	0.9023617511520736	0.6280241935483871	1.0	0.5360023041474654
FBtr0084866	0.6870679723502304	0.6213997695852534	0.7089573732718893	0.5591877880184332	1.0	0.4575172811059908	0.4615495391705069	0.44974078341013823	0.5591877880184332	0.7847062211981567
ENSCSAVT00000011762	0.4091301843317972	0.6519297235023042	0.7047811059907834	0.6358006912442397	0.4575172811059908	1.0	0.5878456221198156	0.9622695852534562	0.6358006912442397	0.43490783410138256
Y41E3.4a.1	0.3869527649769585	0.8401497695852534	0.7520161290322581	0.9023617511520736	0.4615495391705069	0.5878456221198156	1.0	0.5800691244239631	0.9023617511520736	0.4383640552995392
ENSCSAVT00000011759	0.4013536866359446	0.6441532258064516	0.6970046082949308	0.6280241935483871	0.44974078341013823	0.9622695852534562	0.5800691244239631	1.0	0.6280241935483871	0.42713133640553
Y41E3.4b.2	0.4845910138248848	0.9377880184331796	0.8496543778801844	1.0	0.5591877880184332	0.6358006912442397	0.9023617511520736	0.6280241935483871	1.0	0.5360023041474654
YOR168W_mRNA	0.7381912442396313	0.5982142857142857	0.6854838709677419	0.5360023041474654	0.7847062211981567	0.43490783410138256	0.4383640552995392	0.42713133640553	0.5360023041474654	1.0
