,ENSIPUT00000029409,ENSEEET00000045334,ENSEEET00000045336,ENSEEET00000045335,ENSIPUT00000029348,ENSIPUT00000029419,ENSIPUT00000029369,ENSPNAT00000035669,ENSAMXT00000052843,ENSIPUT00000029314
ENSIPUT00000029409,1.0,0.45296938399114717,0.5905569900405754,0.5695315381777941,0.7963850977499077,0.8915529324972334,0.8797491700479528,0.450018443378827,0.583179638509775,0.9085208410180745
ENSEEET00000045334,0.45296938399114717,1.0,0.7760973810402065,0.8546661748432313,0.548506086315013,0.4112873478421246,0.48174105496126884,0.5728513463666544,0.49170047952784945,0.45296938399114717
ENSEEET00000045336,0.5905569900405754,0.7760973810402065,1.0,0.8793803024714127,0.6097381040206565,0.5488749538915529,0.6193286610106972,0.6433050534857986,0.6296569531538178,0.5905569900405754
ENSEEET00000045335,0.5695315381777941,0.8546661748432313,0.8793803024714127,1.0,0.5695315381777941,0.5278495020287717,0.5983032091479159,0.6388786425673183,0.6086315012910365,0.5695315381777941
ENSIPUT00000029348,0.7963850977499077,0.548506086315013,0.6097381040206565,0.5695315381777941,1.0,0.7897454813721874,0.8590925857617115,0.450018443378827,0.46145333825156776,0.8878642567318332
ENSIPUT00000029419,0.8915529324972334,0.4112873478421246,0.5488749538915529,0.5278495020287717,0.7897454813721874,1.0,0.8731095536702324,0.41239395057174466,0.5396532644780524,0.9018812246403541
ENSIPUT00000029369,0.8797491700479528,0.48174105496126884,0.6193286610106972,0.5983032091479159,0.8590925857617115,0.8731095536702324,1.0,0.4787901143489488,0.5813353006270748,0.9712283290298783
ENSPNAT00000035669,0.450018443378827,0.5728513463666544,0.6433050534857986,0.6388786425673183,0.450018443378827,0.41239395057174466,0.4787901143489488,1.0,0.4883806713389893,0.450018443378827
ENSAMXT00000052843,0.583179638509775,0.49170047952784945,0.6296569531538178,0.6086315012910365,0.46145333825156776,0.5396532644780524,0.5813353006270748,0.4883806713389893,1.0,0.5525636296569532
ENSIPUT00000029314,0.9085208410180745,0.45296938399114717,0.5905569900405754,0.5695315381777941,0.8878642567318332,0.9018812246403541,0.9712283290298783,0.450018443378827,0.5525636296569532,1.0
