	C24B9.16.1	K07C6.10.1	K07C6.9.1	T10H4.9.1	R05D8.4.1	T26H8.2.1	C03G6.2.1	C06B3.11.1	K07C6.6.1	T06E6.3.1	C29F3.6.1	K07C6.7.1	K06B4.9.1	Y102A5C.22.1	E02C12.3.1	C03A7.6.1	K07C6.8.1	C44B12.4.1	K09D9.10.1	C03A7.5.1	T07H8.3.1	R13D11.9.1	Y43B11AL.2a.1	T10C6.3.1	R13D7.4.1	T01C4.4.1	E02C12.2.1	F31F4.4.1	K07C6.11a.1	R05D8.5.1	F31F4.2.1	C44B12.8.1	T07H8.1.1	C47A10.8.1	Y43B11AL.2b.1	K01B6.2.1	T05A12.1.1	F55B12.8.1	T01C4.6.1	F59B1.7.1	F41H8.4.1	K07C6.11b.1	Y55F3AM.2.1	R13H7.1.1	F31F4.3.1	T01C4.3.1
C24B9.16.1	1.0	0.9034816507595108	0.9089931442398173	0.8782094367522516	0.9766097593762604	0.8775373034009948	0.9150423444011292	0.8628847963435946	0.9088587175695658	0.8731012232826992	0.905766904153784	0.9158489044226374	0.9318456781825514	0.8783438634225029	0.8821078101895417	0.87901599677376	0.9061701841645382	0.8877537303400995	0.9162521844333916	0.8795537034547655	0.8626159430030919	0.9354751982793388	0.8671864497916386	0.8497109826589595	0.9139669310391182	0.8740422099744589	0.8775373034009948	0.9284850114262668	0.9165210377738944	0.9330555182148138	0.923511224626966	0.8728323699421965	0.9292915714477752	0.929560424788278	0.8704126898776717	0.8206748218846619	0.925258771340234	0.9201505578706816	0.8803602634762737	0.8628847963435946	0.9345342115875791	0.8877537303400995	0.8636913563651029	0.9263341847022448	0.927409598064256	0.8982390106197069
K07C6.10.1	0.9034816507595108	1.0	0.9290227181072724	0.872294663261191	0.9038849307702648	0.8735045032934534	0.9261997580319936	0.8597929829278129	0.9193439978491732	0.8907111170856298	0.9439440785051756	0.9276784514047588	0.9091275709100686	0.8763274633687324	0.8771340233902406	0.8779405834117489	0.9197472778599274	0.8783438634225029	0.9253931980104853	0.8802258368060223	0.8739077833042076	0.903616077429762	0.8757897566877269	0.8589864229063046	0.941658825110902	0.8745799166554644	0.8693372765156607	0.9059013308240356	0.9342653582470762	0.9022718107272484	0.9059013308240356	0.8653044764081194	0.9120849576555988	0.9102029842720796	0.8677241564726442	0.8158354617556123	0.9052291974727786	0.9232423712864632	0.8745799166554644	0.8572388761930367	0.9028095174082538	0.9354751982793388	0.8649011963973653	0.9122193843258504	0.9065734641752924	0.8974324505981986
K07C6.9.1	0.9089931442398173	0.9290227181072724	1.0	0.880494690146525	0.9111439709638391	0.8815701035085359	0.93560962494959	0.8687995698346552	0.9475735986019628	0.8829143702110499	0.9220325312542008	0.9403145584083882	0.9147734910606264	0.8835865035623067	0.8841242102433122	0.8813012501680333	0.9505309853474928	0.8853340502755747	0.9385670116951204	0.8841242102433122	0.8917865304476408	0.9107406909530852	0.8841242102433122	0.8528027960747412	0.9415243984406506	0.8779405834117489	0.8765963167092351	0.9143702110498724	0.9385670116951204	0.9084554375588116	0.911412824304342	0.8714881032396827	0.9161177577631402	0.9174620244656541	0.8796881301250168	0.8210781018954161	0.911412824304342	0.9169243177846484	0.8831832235515527	0.866245463099879	0.9106062642828338	0.9053636241430301	0.8677241564726442	0.9210915445624412	0.9167898911143972	0.9116816776448448
T10H4.9.1	0.8782094367522516	0.872294663261191	0.880494690146525	1.0	0.8786127167630058	0.9528162387417664	0.8841242102433122	0.9046914907917732	0.8808979701572792	0.8985078639602097	0.8739077833042076	0.8865438903078371	0.8841242102433122	0.909665277591074	0.9154456244118832	0.9050947708025272	0.8768651700497379	0.8575077295335395	0.884393063583815	0.9069767441860463	0.9100685576018284	0.8803602634762737	0.9485145852937222	0.8872160236590939	0.8870815969888426	0.9020029573867456	0.9044226374512704	0.8839897835730609	0.8864094636375857	0.8782094367522516	0.8829143702110499	0.8704126898776717	0.8857373302863288	0.8862750369673343	0.9529506654120178	0.8658421830891249	0.8807635434870278	0.8849307702648206	0.9116816776448448	0.9095308509208226	0.8802258368060223	0.8554913294797688	0.8632880763543487	0.8856029036160774	0.8831832235515527	0.8884258636913563
R05D8.4.1	0.9766097593762604	0.9038849307702648	0.9111439709638391	0.8786127167630058	1.0	0.8786127167630058	0.9161177577631402	0.8639602097056056	0.9108751176233364	0.8741766366447103	0.9069767441860463	0.9165210377738944	0.9343997849173276	0.8792848501142627	0.8821078101895417	0.8787471434332571	0.9052291974727786	0.8881570103508536	0.9182685844871622	0.8795537034547655	0.8649011963973653	0.9346686382578304	0.8675897298023928	0.8503831160102164	0.9145046377201236	0.8744454899852131	0.8814356768382847	0.9292915714477752	0.9177308778061568	0.9329210915445624	0.9256620513509879	0.8735045032934534	0.9279473047452614	0.9317112515123	0.8712192498991801	0.8202715418739078	0.926737464712999	0.9220325312542008	0.8814356768382847	0.8626159430030919	0.9357440516198414	0.8881570103508536	0.8655733297486221	0.9272751713940046	0.9287538647667696	0.8998521306627235
T26H8.2.1	0.8775373034009948	0.8735045032934534	0.8815701035085359	0.9528162387417664	0.8786127167630058	1.0	0.8874848769995968	0.9040193574405162	0.8811668234977821	0.90146525070574	0.8778061567414975	0.8876193036698481	0.8857373302863288	0.9048259174620245	0.9127570910068558	0.9077833042075548	0.880494690146525	0.8611372496303267	0.8864094636375857	0.9097997042613254	0.9132947976878611	0.8829143702110499	0.9463637585697002	0.8870815969888426	0.888291437021105	0.907514450867052	0.9030783707487564	0.8847963435945692	0.8873504503293453	0.8799569834655195	0.8842586369135637	0.8716225299099342	0.8881570103508536	0.8878881570103508	0.9510686920284984	0.8635569296948514	0.880494690146525	0.8874848769995968	0.9100685576018284	0.9095308509208226	0.8827799435407985	0.8573733028632881	0.8677241564726442	0.888291437021105	0.8865438903078371	0.8895012770533673
C03G6.2.1	0.9150423444011292	0.9261997580319936	0.93560962494959	0.8841242102433122	0.9161177577631402	0.8874848769995968	1.0	0.8731012232826992	0.929157144777524	0.8878881570103508	0.915714477752386	0.9443473585159295	0.9261997580319936	0.8895012770533673	0.8940717838419142	0.8927275171394005	0.9341309315768248	0.8936685038311601	0.9459604785589459	0.8955504772146794	0.8870815969888426	0.9205538378814356	0.8795537034547655	0.8626159430030919	0.9407178384191424	0.8877537303400995	0.8842586369135637	0.919612851189676	0.9462293318994488	0.9179997311466594	0.921763677913698	0.8764618900389838	0.9276784514047588	0.921763677913698	0.8818389568490389	0.8294125554510015	0.9170587444549	0.9202849845409328	0.8880225836806023	0.8706815432181745	0.9201505578706816	0.9052291974727786	0.8799569834655195	0.9287538647667696	0.9229735179459604	0.9030783707487564
C06B3.11.1	0.8628847963435946	0.8597929829278129	0.8687995698346552	0.9046914907917732	0.8639602097056056	0.9040193574405162	0.8731012232826992	1.0	0.8618093829815835	0.879419276784514	0.8653044764081194	0.8728323699421965	0.872294663261191	0.8755209033472241	0.8874848769995968	0.8899045570641215	0.8650356230676166	0.8530716494152439	0.8728323699421965	0.8877537303400995	0.8935340771609087	0.8689339965049065	0.8982390106197069	0.8932652238204059	0.8769995967199893	0.8911143970963841	0.8802258368060223	0.8698749831966662	0.8698749831966662	0.8643634897163597	0.8687995698346552	0.8666487431106331	0.8739077833042076	0.8721602365909397	0.9013308240354886	0.8548191961285119	0.8687995698346552	0.8729667966124479	0.8874848769995968	0.8943406371824171	0.8689339965049065	0.8494421293184568	0.8589864229063046	0.8768651700497379	0.8681274364833983	0.8753864766769727
K07C6.6.1	0.9088587175695658	0.9193439978491732	0.9475735986019628	0.8808979701572792	0.9108751176233364	0.8811668234977821	0.929157144777524	0.8618093829815835	1.0	0.882242236859793	0.919209571178922	0.9346686382578304	0.9142357843796208	0.8835865035623067	0.8900389837343728	0.8813012501680333	0.9430030918134158	0.8857373302863288	0.9323833848635568	0.8831832235515527	0.8856029036160774	0.910337410942331	0.8814356768382847	0.8521306627234844	0.9279473047452614	0.8764618900389838	0.8831832235515527	0.912488237666353	0.9339965049065736	0.9068423175157952	0.9111439709638391	0.8729667966124479	0.9171931711251512	0.9193439978491732	0.8771340233902406	0.8255141820137115	0.9104718376125824	0.9184030111574136	0.8845274902540664	0.8646323430568624	0.9099341309315768	0.9046914907917732	0.8651700497378678	0.9161177577631402	0.9149079177308778	0.90926199758032
T06E6.3.1	0.8731012232826992	0.8907111170856298	0.8829143702110499	0.8985078639602097	0.8741766366447103	0.90146525070574	0.8878881570103508	0.879419276784514	0.882242236859793	1.0	0.889366850383116	0.8869471703185912	0.8807635434870278	0.8819733835192902	0.9007931173544832	0.9401801317381367	0.880494690146525	0.8544159161177578	0.8838553569028095	0.9537572254335259	0.8995832773222208	0.8737733566339562	0.9030783707487564	0.8782094367522516	0.8878881570103508	0.9059013308240356	0.8977013039387014	0.8787471434332571	0.8858717569565802	0.8733700766232021	0.8760586100282296	0.8651700497378678	0.8817045301787875	0.8821078101895417	0.8950127705336739	0.8384191423578438	0.8768651700497379	0.8967603172469418	0.9116816776448448	0.8803602634762737	0.8736389299637048	0.8759241833579782	0.8885602903616078	0.8839897835730609	0.8774028767307434	0.8967603172469418
