	Y119D3B.8.1	T12B5.5.1	Y82E9BL.4.1	Y119D3B.22.1	Y119D3B.6.1	F54D10.2.1	Y82E9BL.19.1	T12B5.13.1	Y119D3B.4.1	Y82E9BL.16.1
Y119D3B.8.1	1.0	0.569362261669954	0.6469428007889546	0.6002629848783695	0.6002629848783695	0.6134122287968442	0.6088099934253779	0.291913214990138	0.472715318869165	0.5627876397107167
T12B5.5.1	0.569362261669954	1.0	0.4858645627876397	0.576594345825115	0.5871137409598948	0.7560815253122946	0.6614069690992768	0.4792899408284024	0.7192636423405654	0.6995397764628534
Y82E9BL.4.1	0.6469428007889546	0.4858645627876397	1.0	0.539776462853386	0.5424063116370809	0.5239973701512163	0.5424063116370809	0.31558185404339256	0.5522682445759369	0.5049309664694279
Y119D3B.22.1	0.6002629848783695	0.576594345825115	0.539776462853386	1.0	0.8126232741617357	0.5897435897435898	0.5535831689677844	0.3096646942800789	0.5851413543721236	0.5851413543721236
Y119D3B.6.1	0.6002629848783695	0.5871137409598948	0.5424063116370809	0.8126232741617357	1.0	0.5996055226824457	0.5647600262984879	0.326758711374096	0.6568047337278107	0.5930309007232084
F54D10.2.1	0.6134122287968442	0.7560815253122946	0.5239973701512163	0.5897435897435898	0.5996055226824457	1.0	0.6594345825115056	0.4595660749506904	0.6476002629848784	0.7008547008547008
Y82E9BL.19.1	0.6088099934253779	0.6614069690992768	0.5424063116370809	0.5535831689677844	0.5647600262984879	0.6594345825115056	1.0	0.3083497698882314	0.5555555555555556	0.5989480604865219
T12B5.13.1	0.291913214990138	0.4792899408284024	0.31558185404339256	0.3096646942800789	0.326758711374096	0.4595660749506904	0.3083497698882314	1.0	0.5542406311637081	0.3957922419460881
Y119D3B.4.1	0.472715318869165	0.7192636423405654	0.5522682445759369	0.5851413543721236	0.6568047337278107	0.6476002629848784	0.5555555555555556	0.5542406311637081	1.0	0.6009204470742933
Y82E9BL.16.1	0.5627876397107167	0.6995397764628534	0.5049309664694279	0.5851413543721236	0.5930309007232084	0.7008547008547008	0.5989480604865219	0.3957922419460881	0.6009204470742933	1.0
