	YNR077C_mRNA	YNL337W_mRNA	YER188C-A_mRNA	YAL068W-A_mRNA	YLL065W_mRNA	YMR326C_mRNA	YJR162C_mRNA	YKL225W_mRNA	YDR543C_mRNA	YFL063W_mRNA	YOL166W-A_mRNA
YNR077C_mRNA	1.0	0.9572815533980582	0.8660194174757282	0.945631067961165	0.7961165048543689	0.8427184466019417	0.7728155339805826	0.7689320388349514	0.8640776699029126	0.5553398058252427	0.7825242718446602
YNL337W_mRNA	0.9572815533980582	1.0	0.8893203883495145	0.9650485436893204	0.7572815533980582	0.8388349514563107	0.8116504854368932	0.7747572815533981	0.8932038834951457	0.5864077669902913	0.7864077669902912
YER188C-A_mRNA	0.8660194174757282	0.8893203883495145	1.0	0.8776699029126214	0.8407766990291262	0.7533980582524272	0.8640776699029126	0.8504854368932039	0.9708737864077671	0.6601941747572816	0.6932038834951456
YAL068W-A_mRNA	0.945631067961165	0.9650485436893204	0.8776699029126214	1.0	0.7611650485436893	0.8349514563106796	0.7805825242718447	0.7611650485436893	0.8796116504854369	0.566990291262136	0.7786407766990291
YLL065W_mRNA	0.7961165048543689	0.7572815533980582	0.8407766990291262	0.7611650485436893	1.0	0.654368932038835	0.945631067961165	0.9203883495145629	0.8310679611650486	0.7067961165048544	0.5980582524271845
YMR326C_mRNA	0.8427184466019417	0.8388349514563107	0.7533980582524272	0.8349514563106796	0.654368932038835	1.0	0.654368932038835	0.6368932038834951	0.7572815533980582	0.4368932038834952	0.6757281553398058
YJR162C_mRNA	0.7728155339805826	0.8116504854368932	0.8640776699029126	0.7805825242718447	0.945631067961165	0.654368932038835	1.0	0.9320388349514565	0.8679611650485437	0.7475728155339806	0.6019417475728155
YKL225W_mRNA	0.7689320388349514	0.7747572815533981	0.8504854368932039	0.7611650485436893	0.9203883495145629	0.6368932038834951	0.9320388349514565	1.0	0.8427184466019417	0.7126213592233009	0.5902912621359223
YDR543C_mRNA	0.8640776699029126	0.8932038834951457	0.9708737864077671	0.8796116504854369	0.8310679611650486	0.7572815533980582	0.8679611650485437	0.8427184466019417	1.0	0.6601941747572816	0.6951456310679611
YFL063W_mRNA	0.5553398058252427	0.5864077669902913	0.6601941747572816	0.566990291262136	0.7067961165048544	0.4368932038834952	0.7475728155339806	0.7126213592233009	0.6601941747572816	1.0	0.3844660194174757
YOL166W-A_mRNA	0.7825242718446602	0.7864077669902912	0.6932038834951456	0.7786407766990291	0.5980582524271845	0.6757281553398058	0.6019417475728155	0.5902912621359223	0.6951456310679611	0.3844660194174757	1.0
