,FBtr0070319,Y48E1C.2.2,YMR209C_mRNA,ENSEBUT00000027123,ENSEBUT00000027128,YNL092W_mRNA,FBtr0332587,Y48E1C.2.1,FBtr0070318,FBtr0070320,FBtr0332588
FBtr0070319,1.0,0.6192468619246861,0.3078302450687388,0.6864913329348475,0.6467423789599522,0.34100418410041833,0.935445307830245,0.6192468619246861,0.9847579199043635,0.935445307830245,0.935445307830245
Y48E1C.2.2,0.6192468619246861,1.0,0.3622235505080693,0.6344889420203228,0.6820083682008368,0.39778840406455473,0.6598924088463838,1.0,0.6105797967722654,0.6598924088463838,0.6598924088463838
YMR209C_mRNA,0.3078302450687388,0.3622235505080693,1.0,0.31649731022115957,0.32725642558278545,0.6942618051404662,0.34190077704722055,0.3622235505080693,0.29258816497310214,0.34190077704722055,0.34190077704722055
ENSEBUT00000027123,0.6864913329348475,0.6344889420203228,0.31649731022115957,1.0,0.9342498505678422,0.34937238493723854,0.6709503885236103,0.6344889420203228,0.6861924686192469,0.6709503885236103,0.6709503885236103
ENSEBUT00000027128,0.6467423789599522,0.6820083682008368,0.32725642558278545,0.9342498505678422,1.0,0.3601315002988643,0.6817095038852361,0.6820083682008368,0.6464435146443515,0.6817095038852361,0.6817095038852361
YNL092W_mRNA,0.34100418410041833,0.39778840406455473,0.6942618051404662,0.34937238493723854,0.3601315002988643,1.0,0.3750747160789002,0.39778840406455473,0.3257621040047818,0.3750747160789002,0.3750747160789002
FBtr0332587,0.935445307830245,0.6598924088463838,0.34190077704722055,0.6709503885236103,0.6817095038852361,0.3750747160789002,1.0,0.6598924088463838,0.9506873879258817,1.0,1.0
Y48E1C.2.1,0.6192468619246861,1.0,0.3622235505080693,0.6344889420203228,0.6820083682008368,0.39778840406455473,0.6598924088463838,1.0,0.6105797967722654,0.6598924088463838,0.6598924088463838
FBtr0070318,0.9847579199043635,0.6105797967722654,0.29258816497310214,0.6861924686192469,0.6464435146443515,0.3257621040047818,0.9506873879258817,0.6105797967722654,1.0,0.9506873879258817,0.9506873879258817
FBtr0070320,0.935445307830245,0.6598924088463838,0.34190077704722055,0.6709503885236103,0.6817095038852361,0.3750747160789002,1.0,0.6598924088463838,0.9506873879258817,1.0,1.0
FBtr0332588,0.935445307830245,0.6598924088463838,0.34190077704722055,0.6709503885236103,0.6817095038852361,0.3750747160789002,1.0,0.6598924088463838,0.9506873879258817,1.0,1.0
