,ENSVURT00010025352,ENSMEUT00000012562,ENSMODT00000055514,ENSPCIT00000057625,ENSCCNT00000007519,ENSDORT00000004545,ENSMODT00000073043,ENSPCIT00000018091,ENSVURT00010025361,ENSPCIT00000018094
ENSVURT00010025352,1.0,0.4653130287648054,0.8900169204737732,0.9771573604060914,0.850253807106599,0.8451776649746193,0.9450084602368867,0.8434856175972927,0.9390862944162437,0.7893401015228426
ENSMEUT00000012562,0.4653130287648054,1.0,0.40355329949238583,0.46700507614213205,0.4077834179357023,0.40609137055837563,0.4602368866328257,0.36632825719120143,0.4094754653130288,0.305414551607445
ENSMODT00000055514,0.8900169204737732,0.40355329949238583,1.0,0.8883248730964467,0.7944162436548223,0.7969543147208121,0.9390862944162437,0.7588832487309645,0.9509306260575296,0.7081218274111675
ENSPCIT00000057625,0.9771573604060914,0.46700507614213205,0.8883248730964467,1.0,0.8460236886632826,0.8477157360406091,0.9458544839255499,0.8629441624365483,0.9196277495769881,0.8079526226734348
ENSCCNT00000007519,0.850253807106599,0.4077834179357023,0.7944162436548223,0.8460236886632826,1.0,0.9060913705583756,0.8384094754653131,0.7284263959390863,0.8071065989847716,0.694585448392555
ENSDORT00000004545,0.8451776649746193,0.40609137055837563,0.7969543147208121,0.8477157360406091,0.9060913705583756,1.0,0.8384094754653131,0.7292724196277496,0.805414551607445,0.6937394247038917
ENSMODT00000073043,0.9450084602368867,0.4602368866328257,0.9390862944162437,0.9458544839255499,0.8384094754653131,0.8384094754653131,1.0,0.8164128595600677,0.8900169204737732,0.7656514382402707
ENSPCIT00000018091,0.8434856175972927,0.36632825719120143,0.7588832487309645,0.8629441624365483,0.7284263959390863,0.7292724196277496,0.8164128595600677,1.0,0.7859560067681896,0.7927241962774958
ENSVURT00010025361,0.9390862944162437,0.4094754653130288,0.9509306260575296,0.9196277495769881,0.8071065989847716,0.805414551607445,0.8900169204737732,0.7859560067681896,1.0,0.7318104906937394
ENSPCIT00000018094,0.7893401015228426,0.305414551607445,0.7081218274111675,0.8079526226734348,0.694585448392555,0.6937394247038917,0.7656514382402707,0.7927241962774958,0.7318104906937394,1.0
