,ENSDORT00000003910,ENSMSIT00000048418,ENSMSIT00000048419,ENSMUGT00000021486,ENSRNOT00000022833,MGP_SPRETEiJ_T0049158,ENSMUST00000238172,ENSMUST00000114741,MGP_CAROLIEiJ_T0047207,MGP_PahariEiJ_T0039769
ENSDORT00000003910,1.0,0.5822429906542056,0.5822429906542056,0.594392523364486,0.5803738317757009,0.5869158878504673,0.41869158878504675,0.5813084112149532,0.5878504672897197,0.5841121495327103
ENSMSIT00000048418,0.5822429906542056,1.0,1.0,0.9299065420560748,0.9345794392523364,0.9869158878504672,0.7037383177570093,0.994392523364486,0.9775700934579439,0.9672897196261683
ENSMSIT00000048419,0.5822429906542056,1.0,1.0,0.9299065420560748,0.9345794392523364,0.9869158878504672,0.7037383177570093,0.994392523364486,0.9775700934579439,0.9672897196261683
ENSMUGT00000021486,0.594392523364486,0.9299065420560748,0.9299065420560748,1.0,0.930841121495327,0.9242990654205607,0.6570093457943925,0.9280373831775701,0.930841121495327,0.9317757009345794
ENSRNOT00000022833,0.5803738317757009,0.9345794392523364,0.9345794392523364,0.930841121495327,1.0,0.9289719626168225,0.6626168224299065,0.9345794392523364,0.9401869158878504,0.9373831775700935
MGP_SPRETEiJ_T0049158,0.5869158878504673,0.9869158878504672,0.9869158878504672,0.9242990654205607,0.9289719626168225,1.0,0.694392523364486,0.9850467289719627,0.9775700934579439,0.9691588785046729
ENSMUST00000238172,0.41869158878504675,0.7037383177570093,0.7037383177570093,0.6570093457943925,0.6626168224299065,0.694392523364486,1.0,0.708411214953271,0.688785046728972,0.6850467289719626
ENSMUST00000114741,0.5813084112149532,0.994392523364486,0.994392523364486,0.9280373831775701,0.9345794392523364,0.9850467289719627,0.708411214953271,1.0,0.9757009345794393,0.9654205607476636
MGP_CAROLIEiJ_T0047207,0.5878504672897197,0.9775700934579439,0.9775700934579439,0.930841121495327,0.9401869158878504,0.9775700934579439,0.688785046728972,0.9757009345794393,1.0,0.9738317757009346
MGP_PahariEiJ_T0039769,0.5841121495327103,0.9672897196261683,0.9672897196261683,0.9317757009345794,0.9373831775700935,0.9691588785046729,0.6850467289719626,0.9654205607476636,0.9738317757009346,1.0
