,ENSMFAT00000010272,ENSPTET00000038373,ENSMLET00000056793,ENSPANT00000032539,ENSCATT00000035201,ENSTGET00000042091,ENSMMUT00000068793,ENSCCNT00000005833,ENSCCAT00000047840,ENSANAT00000019523,ENSMNET00000022228
ENSMFAT00000010272,1.0,0.9806034482758621,0.9978448275862069,0.9935344827586207,0.9913793103448276,0.9978448275862069,1.0,0.24784482758620685,0.75,0.8491379310344828,0.9978448275862069
ENSPTET00000038373,0.9806034482758621,1.0,0.978448275862069,0.9762931034482759,0.9741379310344828,0.9827586206896551,0.9806034482758621,0.2456896551724138,0.7413793103448276,0.8405172413793104,0.978448275862069
ENSMLET00000056793,0.9978448275862069,0.978448275862069,1.0,0.9913793103448276,0.9892241379310345,0.9956896551724138,0.9978448275862069,0.24784482758620685,0.7478448275862069,0.8469827586206896,0.9956896551724138
ENSPANT00000032539,0.9935344827586207,0.9762931034482759,0.9913793103448276,1.0,0.9978448275862069,0.9935344827586207,0.9935344827586207,0.24353448275862066,0.7456896551724138,0.8448275862068966,0.9913793103448276
ENSCATT00000035201,0.9913793103448276,0.9741379310344828,0.9892241379310345,0.9978448275862069,1.0,0.9913793103448276,0.9913793103448276,0.24353448275862066,0.7435344827586207,0.8426724137931034,0.9892241379310345
ENSTGET00000042091,0.9978448275862069,0.9827586206896551,0.9956896551724138,0.9935344827586207,0.9913793103448276,1.0,0.9978448275862069,0.24784482758620685,0.7521551724137931,0.8512931034482759,0.9956896551724138
ENSMMUT00000068793,1.0,0.9806034482758621,0.9978448275862069,0.9935344827586207,0.9913793103448276,0.9978448275862069,1.0,0.24784482758620685,0.75,0.8491379310344828,0.9978448275862069
ENSCCNT00000005833,0.24784482758620685,0.2456896551724138,0.24784482758620685,0.24353448275862066,0.24353448275862066,0.24784482758620685,0.24784482758620685,1.0,0.17887931034482762,0.2801724137931034,0.24784482758620685
ENSCCAT00000047840,0.75,0.7413793103448276,0.7478448275862069,0.7456896551724138,0.7435344827586207,0.7521551724137931,0.75,0.17887931034482762,1.0,0.8857758620689655,0.7478448275862069
ENSANAT00000019523,0.8491379310344828,0.8405172413793104,0.8469827586206896,0.8448275862068966,0.8426724137931034,0.8512931034482759,0.8491379310344828,0.2801724137931034,0.8857758620689655,1.0,0.8469827586206896
ENSMNET00000022228,0.9978448275862069,0.978448275862069,0.9956896551724138,0.9913793103448276,0.9892241379310345,0.9956896551724138,0.9978448275862069,0.24784482758620685,0.7478448275862069,0.8469827586206896,1.0
