	FBtr0345483	FBtr0345482	FBtr0345481	FBtr0302923	FBtr0302922	H10D18.5a.1	H10D18.5d.1	FBtr0332923	FBtr0332922	H10D18.5b.1	H10D18.5c.1	FBtr0332924
FBtr0345483	1.0	0.8469162995594713	1.0	0.7019089574155654	1.0	0.3839941262848752	0.41593245227606457	0.8516886930983847	0.8549926578560941	0.4320851688693099	0.3740822320117474	0.7955212922173275
FBtr0345482	0.8469162995594713	1.0	0.8469162995594713	0.8549926578560941	0.8469162995594713	0.2309104258443465	0.262848751835536	0.6986049926578561	0.7019089574155654	0.27900146842878115	0.22099853157121885	0.7613803230543319
FBtr0345481	1.0	0.8469162995594713	1.0	0.7019089574155654	1.0	0.3839941262848752	0.41593245227606457	0.8516886930983847	0.8549926578560941	0.4320851688693099	0.3740822320117474	0.7955212922173275
FBtr0302923	0.7019089574155654	0.8549926578560941	0.7019089574155654	1.0	0.7019089574155654	0.2408223201174743	0.2727606461086638	0.8436123348017621	0.7118208516886931	0.2889133627019089	0.2309104258443465	0.906387665198238
FBtr0302922	1.0	0.8469162995594713	1.0	0.7019089574155654	1.0	0.3839941262848752	0.41593245227606457	0.8516886930983847	0.8549926578560941	0.4320851688693099	0.3740822320117474	0.7955212922173275
H10D18.5a.1	0.3839941262848752	0.2309104258443465	0.3839941262848752	0.2408223201174743	0.3839941262848752	1.0	0.9680616740088106	0.3906020558002936	0.39390602055800295	0.906387665198238	0.9526431718061674	0.3344346549192364
H10D18.5d.1	0.41593245227606457	0.262848751835536	0.41593245227606457	0.2727606461086638	0.41593245227606457	0.9680616740088106	1.0	0.4225403817914831	0.4258443465491923	0.9118942731277532	0.9581497797356828	0.3663729809104259
FBtr0332923	0.8516886930983847	0.6986049926578561	0.8516886930983847	0.8436123348017621	0.8516886930983847	0.3906020558002936	0.4225403817914831	1.0	0.8616005873715125	0.4386930983847284	0.380690161527166	0.9372246696035242
FBtr0332922	0.8549926578560941	0.7019089574155654	0.8549926578560941	0.7118208516886931	0.8549926578560941	0.39390602055800295	0.4258443465491923	0.8616005873715125	1.0	0.4419970631424376	0.3839941262848752	0.8054331864904553
H10D18.5b.1	0.4320851688693099	0.27900146842878115	0.4320851688693099	0.2889133627019089	0.4320851688693099	0.906387665198238	0.9118942731277532	0.4386930983847284	0.4419970631424376	1.0	0.8964757709251101	0.3825256975036711
H10D18.5c.1	0.3740822320117474	0.22099853157121885	0.3740822320117474	0.2309104258443465	0.3740822320117474	0.9526431718061674	0.9581497797356828	0.380690161527166	0.3839941262848752	0.8964757709251101	1.0	0.32452276064610874
FBtr0332924	0.7955212922173275	0.7613803230543319	0.7955212922173275	0.906387665198238	0.7955212922173275	0.3344346549192364	0.3663729809104259	0.9372246696035242	0.8054331864904553	0.3825256975036711	0.32452276064610874	1.0
