	Y95B8A.6b.1	F39D8.3d.1	T16H12.9.1	F39D8.3a.1	F25B3.2.1	Y95B8A.6c.1	Y95B8A.6b.2	F39D8.3b.1	Y95B8A.6a.1	Y95B8A.6a.2	B0222.11.1	Y95B8A.6d.1	F39D8.3c.1
Y95B8A.6b.1	1.0	0.8236695790309769	0.6620333598093725	0.5484511517077045	0.6409849086576648	0.7664813343923749	1.0	0.4996028594122319	0.8880063542494043	0.8880063542494043	0.5639396346306592	0.6401906274821286	0.852263701350278
F39D8.3d.1	0.8236695790309769	1.0	0.6262907069102462	0.6108022239872914	0.5655281969817315	0.5901509134233519	0.8236695790309769	0.561953931691819	0.7116759332803813	0.7116759332803813	0.5595710881652105	0.6842732327243845	0.9714058776806991
T16H12.9.1	0.6620333598093725	0.6262907069102462	1.0	0.4463860206513106	0.5119142176330421	0.4630659253375695	0.6620333598093725	0.4301032565528198	0.5845909451945989	0.5845909451945989	0.6699761715647339	0.43486894360603656	0.6405877680698967
F39D8.3a.1	0.5484511517077045	0.6108022239872914	0.4463860206513106	1.0	0.4360603653693407	0.4110405083399524	0.5484511517077045	0.9511517077045274	0.5325655281969818	0.5325655281969818	0.4880857823669579	0.4277204130262113	0.6187450357426529
F25B3.2.1	0.6409849086576648	0.5655281969817315	0.5119142176330421	0.4360603653693407	1.0	0.5544082605242255	0.6409849086576648	0.45472597299444	0.6739475774424146	0.6739475774424146	0.4289118347895156	0.5123113582208102	0.5790309769658459
Y95B8A.6c.1	0.7664813343923749	0.5901509134233519	0.4630659253375695	0.4110405083399524	0.5544082605242255	1.0	0.7664813343923749	0.3717235901509135	0.8784749801429707	0.8784749801429707	0.357823669579031	0.8721207307386815	0.6187450357426529
Y95B8A.6b.2	1.0	0.8236695790309769	0.6620333598093725	0.5484511517077045	0.6409849086576648	0.7664813343923749	1.0	0.4996028594122319	0.8880063542494043	0.8880063542494043	0.5639396346306592	0.6401906274821286	0.852263701350278
F39D8.3b.1	0.4996028594122319	0.561953931691819	0.4301032565528198	0.9511517077045274	0.45472597299444	0.3717235901509135	0.4996028594122319	1.0	0.4932486100079427	0.4932486100079427	0.4980142970611596	0.3884034948371724	0.5698967434471803
Y95B8A.6a.1	0.8880063542494043	0.7116759332803813	0.5845909451945989	0.5325655281969818	0.6739475774424146	0.8784749801429707	0.8880063542494043	0.4932486100079427	1.0	1.0	0.4793486894360604	0.7505957108816521	0.7402700555996823
Y95B8A.6a.2	0.8880063542494043	0.7116759332803813	0.5845909451945989	0.5325655281969818	0.6739475774424146	0.8784749801429707	0.8880063542494043	0.4932486100079427	1.0	1.0	0.4793486894360604	0.7505957108816521	0.7402700555996823
B0222.11.1	0.5639396346306592	0.5595710881652105	0.6699761715647339	0.4880857823669579	0.4289118347895156	0.357823669579031	0.5639396346306592	0.4980142970611596	0.4793486894360604	0.4793486894360604	1.0	0.3661636219221605	0.573868149324861
Y95B8A.6d.1	0.6401906274821286	0.6842732327243845	0.43486894360603656	0.4277204130262113	0.5123113582208102	0.8721207307386815	0.6401906274821286	0.3884034948371724	0.7505957108816521	0.7505957108816521	0.3661636219221605	1.0	0.7128673550436855
F39D8.3c.1	0.852263701350278	0.9714058776806991	0.6405877680698967	0.6187450357426529	0.5790309769658459	0.6187450357426529	0.852263701350278	0.5698967434471803	0.7402700555996823	0.7402700555996823	0.573868149324861	0.7128673550436855	1.0
