,FBtr0076771,FBtr0112817,T19E10.1a.1,T19E10.1a.2,T19E10.1b.2,ENSACAT00000016520,ENSPVIT00000032372,FBtr0306647,FBtr0076772,FBtr0076773,T19E10.1b.1,FBtr0076774
FBtr0076771,1.0,0.9827944942381562,0.7455185659411011,0.7455185659411011,0.7435979513444302,0.6756562099871959,0.7354353393085787,0.9313380281690141,0.890044814340589,0.9763924455825864,0.7435979513444302,0.8664372599231754
FBtr0112817,0.9827944942381562,1.0,0.747039052496799,0.747039052496799,0.745118437900128,0.6775768245838668,0.7371959026888605,0.9200544174135723,0.8728393085787451,0.9651088348271447,0.745118437900128,0.8551536491677336
T19E10.1a.1,0.7455185659411011,0.747039052496799,1.0,1.0,0.9980793854033291,0.6924615877080665,0.725432138284251,0.7736875800256082,0.6355633802816901,0.7455985915492958,0.9980793854033291,0.6356434058898848
T19E10.1a.2,0.7455185659411011,0.747039052496799,1.0,1.0,0.9980793854033291,0.6924615877080665,0.725432138284251,0.7736875800256082,0.6355633802816901,0.7455985915492958,0.9980793854033291,0.6356434058898848
T19E10.1b.2,0.7435979513444302,0.745118437900128,0.9980793854033291,0.9980793854033291,1.0,0.6905409731113956,0.72351152368758,0.7717669654289373,0.6336427656850192,0.7436779769526248,1.0,0.6337227912932138
ENSACAT00000016520,0.6756562099871959,0.6775768245838668,0.6924615877080665,0.6924615877080665,0.6905409731113956,1.0,0.8698783610755442,0.6843790012804097,0.5657010243277849,0.6762964148527529,0.6905409731113956,0.5663412291933418
ENSPVIT00000032372,0.7354353393085787,0.7371959026888605,0.725432138284251,0.725432138284251,0.72351152368758,0.8698783610755442,1.0,0.7430377720870679,0.6254801536491678,0.7360755441741357,0.72351152368758,0.6261203585147247
FBtr0306647,0.9313380281690141,0.9200544174135723,0.7736875800256082,0.7736875800256082,0.7717669654289373,0.6843790012804097,0.7430377720870679,1.0,0.821382842509603,0.9483834827144686,0.7717669654289373,0.8384282970550576
FBtr0076772,0.890044814340589,0.8728393085787451,0.6355633802816901,0.6355633802816901,0.6336427656850192,0.5657010243277849,0.6254801536491678,0.821382842509603,1.0,0.8664372599231754,0.6336427656850192,0.9763924455825864
FBtr0076773,0.9763924455825864,0.9651088348271447,0.7455985915492958,0.7455985915492958,0.7436779769526248,0.6762964148527529,0.7360755441741357,0.9483834827144686,0.8664372599231754,1.0,0.7436779769526248,0.890044814340589
T19E10.1b.1,0.7435979513444302,0.745118437900128,0.9980793854033291,0.9980793854033291,1.0,0.6905409731113956,0.72351152368758,0.7717669654289373,0.6336427656850192,0.7436779769526248,1.0,0.6337227912932138
FBtr0076774,0.8664372599231754,0.8551536491677336,0.6356434058898848,0.6356434058898848,0.6337227912932138,0.5663412291933418,0.6261203585147247,0.8384282970550576,0.9763924455825864,0.890044814340589,0.6337227912932138,1.0
