	C09D4.5.2	C09D4.5.3	C09D4.5.1	C09D4.5.4	ENSCHAT00000007413	ENSIPUT00000032033	ENSEBUT00000018935	ENSPMAT00000001114	FBtr0072406	ENSEEET00000048448	FBtr0072405
C09D4.5.2	1.0	1.0	1.0	1.0	0.8706624605678234	0.8470031545741324	0.8590956887486856	0.8659305993690851	0.8617245005257623	0.8675078864353313	0.8617245005257623
C09D4.5.3	1.0	1.0	1.0	1.0	0.8706624605678234	0.8470031545741324	0.8590956887486856	0.8659305993690851	0.8617245005257623	0.8675078864353313	0.8617245005257623
C09D4.5.1	1.0	1.0	1.0	1.0	0.8706624605678234	0.8470031545741324	0.8590956887486856	0.8659305993690851	0.8617245005257623	0.8675078864353313	0.8617245005257623
C09D4.5.4	1.0	1.0	1.0	1.0	0.8706624605678234	0.8470031545741324	0.8590956887486856	0.8659305993690851	0.8617245005257623	0.8675078864353313	0.8617245005257623
ENSCHAT00000007413	0.8706624605678234	0.8706624605678234	0.8706624605678234	0.8706624605678234	1.0	0.9421661409043112	0.9274447949526814	0.9384858044164038	0.9079915878023134	0.9652996845425869	0.9079915878023134
ENSIPUT00000032033	0.8470031545741324	0.8470031545741324	0.8470031545741324	0.8470031545741324	0.9421661409043112	1.0	0.8906414300736067	0.9132492113564668	0.8764458464773922	0.9405888538380652	0.8764458464773922
ENSEBUT00000018935	0.8590956887486856	0.8590956887486856	0.8590956887486856	0.8590956887486856	0.9274447949526814	0.8906414300736067	1.0	0.9379600420609884	0.8948475289169295	0.9185068349106204	0.8948475289169295
ENSPMAT00000001114	0.8659305993690851	0.8659305993690851	0.8659305993690851	0.8659305993690851	0.9384858044164038	0.9132492113564668	0.9379600420609884	1.0	0.904311251314406	0.9358569926393271	0.904311251314406
FBtr0072406	0.8617245005257623	0.8617245005257623	0.8617245005257623	0.8617245005257623	0.9079915878023134	0.8764458464773922	0.8948475289169295	0.904311251314406	1.0	0.9001051524710829	1.0
ENSEEET00000048448	0.8675078864353313	0.8675078864353313	0.8675078864353313	0.8675078864353313	0.9652996845425869	0.9405888538380652	0.9185068349106204	0.9358569926393271	0.9001051524710829	1.0	0.9001051524710829
FBtr0072405	0.8617245005257623	0.8617245005257623	0.8617245005257623	0.8617245005257623	0.9079915878023134	0.8764458464773922	0.8948475289169295	0.904311251314406	1.0	0.9001051524710829	1.0
