,Y37A1C.1c.1,Y37A1C.1a.1,Y37A1C.1d.1,FBtr0075987,Y37A1C.1g.1,FBtr0333838,Y37A1C.1e.1,Y37A1C.1b.1,FBtr0333839,Y37A1C.1f.1,FBtr0333842,Y37A1C.1h.1,FBtr0333840,FBtr0333841
Y37A1C.1c.1,1.0,0.8551145530816392,0.8354307841239109,0.14940303323652793,0.9878993223620522,0.13972249112616975,0.6795740561471443,0.48983543078412395,0.13972249112616975,0.9748305905130688,0.14940303323652793,0.9738625363020329,0.13197805743788316,0.13972249112616975
Y37A1C.1a.1,0.8551145530816392,1.0,0.6905453372055502,0.2483059051306873,0.8662471765085511,0.2386253630203291,0.5346886092287835,0.6050338818973863,0.2386253630203291,0.829945143594708,0.2483059051306873,0.8289770893836722,0.23088092933204263,0.2386253630203291
Y37A1C.1d.1,0.8354307841239109,0.6905453372055502,1.0,0.22587931590835753,0.8233301064859632,0.21619877379799934,0.8441432720232332,0.4511132623426912,0.21619877379799934,0.8470474346563408,0.22587931590835753,0.846079380445305,0.20845434010971275,0.21619877379799934
FBtr0075987,0.14940303323652793,0.2483059051306873,0.22587931590835753,1.0,0.15505001613423686,0.9903194578896418,0.28928686673120363,0.33946434333656017,0.9903194578896418,0.1610196837689577,1.0,0.16005162955792196,0.9825750242013552,0.9903194578896418
Y37A1C.1g.1,0.9878993223620522,0.8662471765085511,0.8233301064859632,0.15505001613423686,1.0,0.14536947402387868,0.6674733785091965,0.4777347531461762,0.14536947402387868,0.962729912875121,0.15505001613423686,0.9617618586640851,0.13762504033559209,0.14536947402387868
FBtr0333838,0.13972249112616975,0.2386253630203291,0.21619877379799934,0.9903194578896418,0.14536947402387868,1.0,0.27960632462084545,0.329783801226202,1.0,0.15133914165859952,0.9903194578896418,0.15037108744756367,0.9922555663117134,1.0
Y37A1C.1e.1,0.6795740561471443,0.5346886092287835,0.8441432720232332,0.28928686673120363,0.6674733785091965,0.27960632462084545,1.0,0.6069699903194579,0.27960632462084545,0.691190706679574,0.28928686673120363,0.6902226524685382,0.27186189093255897,0.27960632462084545
Y37A1C.1b.1,0.48983543078412395,0.6050338818973863,0.4511132623426912,0.33946434333656017,0.4777347531461762,0.329783801226202,0.6069699903194579,1.0,0.329783801226202,0.4646660212971927,0.33946434333656017,0.46369796708615685,0.3220393675379154,0.329783801226202
FBtr0333839,0.13972249112616975,0.2386253630203291,0.21619877379799934,0.9903194578896418,0.14536947402387868,1.0,0.27960632462084545,0.329783801226202,1.0,0.15133914165859952,0.9903194578896418,0.15037108744756367,0.9922555663117134,1.0
Y37A1C.1f.1,0.9748305905130688,0.829945143594708,0.8470474346563408,0.1610196837689577,0.962729912875121,0.15133914165859952,0.691190706679574,0.4646660212971927,0.15133914165859952,1.0,0.1610196837689577,0.9990319457889641,0.14359470797031304,0.15133914165859952
FBtr0333842,0.14940303323652793,0.2483059051306873,0.22587931590835753,1.0,0.15505001613423686,0.9903194578896418,0.28928686673120363,0.33946434333656017,0.9903194578896418,0.1610196837689577,1.0,0.16005162955792196,0.9825750242013552,0.9903194578896418
Y37A1C.1h.1,0.9738625363020329,0.8289770893836722,0.846079380445305,0.16005162955792196,0.9617618586640851,0.15037108744756367,0.6902226524685382,0.46369796708615685,0.15037108744756367,0.9990319457889641,0.16005162955792196,1.0,0.1426266537592772,0.15037108744756367
FBtr0333840,0.13197805743788316,0.23088092933204263,0.20845434010971275,0.9825750242013552,0.13762504033559209,0.9922555663117134,0.27186189093255897,0.3220393675379154,0.9922555663117134,0.14359470797031304,0.9825750242013552,0.1426266537592772,1.0,0.9922555663117134
FBtr0333841,0.13972249112616975,0.2386253630203291,0.21619877379799934,0.9903194578896418,0.14536947402387868,1.0,0.27960632462084545,0.329783801226202,1.0,0.15133914165859952,0.9903194578896418,0.15037108744756367,0.9922555663117134,1.0
