,ENSPPAT00000016938,ENSPANT00000034508,ENSCCAT00000041408,ENSCATT00000069721,ENSRROT00000032570,ENSMLET00000054993,ENSMFAT00000028061,ENSRBIT00000031009,ENSMNET00000066316,ENSPTRT00000086678
ENSPPAT00000016938,1.0,0.7316176470588235,0.8272058823529411,0.8161764705882353,0.8308823529411765,0.8143382352941176,0.7977941176470589,0.8290441176470589,0.7977941176470589,0.9981617647058824
ENSPANT00000034508,0.7316176470588235,1.0,0.8161764705882353,0.8713235294117647,0.8529411764705882,0.8731617647058824,0.8492647058823529,0.8511029411764706,0.8492647058823529,0.7297794117647058
ENSCCAT00000041408,0.8272058823529411,0.8161764705882353,1.0,0.8125,0.8125,0.8088235294117647,0.7886029411764706,0.8106617647058824,0.7886029411764706,0.8253676470588235
ENSCATT00000069721,0.8161764705882353,0.8713235294117647,0.8125,1.0,0.9632352941176471,0.9797794117647058,0.9613970588235294,0.9613970588235294,0.9613970588235294,0.8143382352941176
ENSRROT00000032570,0.8308823529411765,0.8529411764705882,0.8125,0.9632352941176471,1.0,0.9613970588235294,0.9393382352941176,0.9981617647058824,0.9393382352941176,0.8290441176470589
ENSMLET00000054993,0.8143382352941176,0.8731617647058824,0.8088235294117647,0.9797794117647058,0.9613970588235294,1.0,0.9595588235294118,0.9595588235294118,0.9595588235294118,0.8125
ENSMFAT00000028061,0.7977941176470589,0.8492647058823529,0.7886029411764706,0.9613970588235294,0.9393382352941176,0.9595588235294118,1.0,0.9375,1.0,0.7959558823529411
ENSRBIT00000031009,0.8290441176470589,0.8511029411764706,0.8106617647058824,0.9613970588235294,0.9981617647058824,0.9595588235294118,0.9375,1.0,0.9375,0.8272058823529411
ENSMNET00000066316,0.7977941176470589,0.8492647058823529,0.7886029411764706,0.9613970588235294,0.9393382352941176,0.9595588235294118,1.0,0.9375,1.0,0.7959558823529411
ENSPTRT00000086678,0.9981617647058824,0.7297794117647058,0.8253676470588235,0.8143382352941176,0.8290441176470589,0.8125,0.7959558823529411,0.8272058823529411,0.7959558823529411,1.0
