,C35D6.4.1,Y60A9.3.1,Y116A8C.17.2,Y116A8C.20.1,Y116A8C.19.1,Y116A8C.17.1,Y57G11C.25.1,F38C2.7.1,F38C2.5.1,F52E1.1.1
C35D6.4.1,1.0,0.9517743403093721,0.8107370336669699,0.8416742493175614,0.8407643312101911,0.8107370336669699,0.3166515013648772,0.9617834394904459,0.35122838944494994,0.23384895359417657
Y60A9.3.1,0.9517743403093721,1.0,0.805277525022748,0.8252957233848953,0.8280254777070064,0.805277525022748,0.3166515013648772,0.9472247497725205,0.34940855323020936,0.2302092811646952
Y116A8C.17.2,0.8107370336669699,0.805277525022748,1.0,0.8462238398544131,0.7989080982711556,1.0,0.2966333030027297,0.8125568698817106,0.33393994540491356,0.21929026387625117
Y116A8C.20.1,0.8416742493175614,0.8252957233848953,0.8462238398544131,1.0,0.8298453139217471,0.8462238398544131,0.30755232029117385,0.835304822565969,0.35122838944494994,0.2274795268425842
Y116A8C.19.1,0.8407643312101911,0.8280254777070064,0.7989080982711556,0.8298453139217471,1.0,0.7989080982711556,0.3330300272975433,0.8407643312101911,0.38944494995450407,0.20746132848043675
Y116A8C.17.1,0.8107370336669699,0.805277525022748,1.0,0.8462238398544131,0.7989080982711556,1.0,0.2966333030027297,0.8125568698817106,0.33393994540491356,0.21929026387625117
Y57G11C.25.1,0.3166515013648772,0.3166515013648772,0.2966333030027297,0.30755232029117385,0.3330300272975433,0.2966333030027297,1.0,0.31847133757961776,0.8507734303912647,0.6041856232939036
F38C2.7.1,0.9617834394904459,0.9472247497725205,0.8125568698817106,0.835304822565969,0.8407643312101911,0.8125568698817106,0.31847133757961776,1.0,0.35122838944494994,0.23202911737943588
F38C2.5.1,0.35122838944494994,0.34940855323020936,0.33393994540491356,0.35122838944494994,0.38944494995450407,0.33393994540491356,0.8507734303912647,0.35122838944494994,1.0,0.5768880800727935
F52E1.1.1,0.23384895359417657,0.2302092811646952,0.21929026387625117,0.2274795268425842,0.20746132848043675,0.21929026387625117,0.6041856232939036,0.23202911737943588,0.5768880800727935,1.0
