,F42F12.10.1,C03G5.9.1,F42F12.6.1,F42F12.1.1,C03G5.12.1,C03G5.8.1,F42F12.7.1,F42F12.9.1,C03G5.2.1,D1025.7.1,D1025.6.1,D1025.4.1,D1025.8.1,F42F12.8.1,F42F12.8.2,D1025.9.1,C03G5.13.1,C03G5.11.1,C03G5.10.1
F42F12.10.1,1.0,0.8974358974358975,0.9519230769230769,0.9455128205128205,0.8974358974358975,0.9102564102564102,0.9519230769230769,0.9647435897435898,0.9006410256410257,0.7403846153846154,0.7371794871794872,0.7339743589743589,0.7371794871794872,1.0,1.0,0.7307692307692307,0.8974358974358975,0.8910256410256411,0.9166666666666666
C03G5.9.1,0.8974358974358975,1.0,0.907051282051282,0.9038461538461539,0.9935897435897436,0.9358974358974359,0.907051282051282,0.8942307692307693,0.9519230769230769,0.7275641025641025,0.7211538461538461,0.7243589743589743,0.7275641025641025,0.8974358974358975,0.8974358974358975,0.7275641025641025,1.0,0.9519230769230769,0.9358974358974359
F42F12.6.1,0.9519230769230769,0.907051282051282,1.0,0.9743589743589743,0.907051282051282,0.9262820512820513,0.9807692307692307,0.9487179487179487,0.9038461538461539,0.7339743589743589,0.7307692307692307,0.7243589743589743,0.7339743589743589,0.9519230769230769,0.9519230769230769,0.7339743589743589,0.907051282051282,0.907051282051282,0.9326923076923077
F42F12.1.1,0.9455128205128205,0.9038461538461539,0.9743589743589743,1.0,0.9038461538461539,0.9230769230769231,0.967948717948718,0.9423076923076923,0.9006410256410257,0.7339743589743589,0.7307692307692307,0.7307692307692307,0.7403846153846154,0.9455128205128205,0.9455128205128205,0.7403846153846154,0.9038461538461539,0.9038461538461539,0.9294871794871795
C03G5.12.1,0.8974358974358975,0.9935897435897436,0.907051282051282,0.9038461538461539,1.0,0.9358974358974359,0.907051282051282,0.8942307692307693,0.9519230769230769,0.7307692307692307,0.717948717948718,0.7211538461538461,0.7307692307692307,0.8974358974358975,0.8974358974358975,0.7307692307692307,0.9935897435897436,0.9583333333333334,0.9358974358974359
C03G5.8.1,0.9102564102564102,0.9358974358974359,0.9262820512820513,0.9230769230769231,0.9358974358974359,1.0,0.9262820512820513,0.907051282051282,0.9711538461538461,0.7243589743589743,0.717948717948718,0.717948717948718,0.7243589743589743,0.9102564102564102,0.9102564102564102,0.7211538461538461,0.9358974358974359,0.9326923076923077,0.9871794871794872
F42F12.7.1,0.9519230769230769,0.907051282051282,0.9807692307692307,0.967948717948718,0.907051282051282,0.9262820512820513,1.0,0.9358974358974359,0.9038461538461539,0.7403846153846154,0.7371794871794872,0.7339743589743589,0.7371794871794872,0.9519230769230769,0.9519230769230769,0.7371794871794872,0.907051282051282,0.907051282051282,0.9326923076923077
F42F12.9.1,0.9647435897435898,0.8942307692307693,0.9487179487179487,0.9423076923076923,0.8942307692307693,0.907051282051282,0.9358974358974359,1.0,0.8974358974358975,0.7275641025641025,0.7243589743589743,0.717948717948718,0.7275641025641025,0.9647435897435898,0.9647435897435898,0.7211538461538461,0.8942307692307693,0.8814102564102564,0.9134615384615384
C03G5.2.1,0.9006410256410257,0.9519230769230769,0.9038461538461539,0.9006410256410257,0.9519230769230769,0.9711538461538461,0.9038461538461539,0.8974358974358975,1.0,0.7243589743589743,0.7083333333333334,0.7115384615384616,0.7243589743589743,0.9006410256410257,0.9006410256410257,0.7211538461538461,0.9519230769230769,0.9423076923076923,0.9583333333333334
D1025.7.1,0.7403846153846154,0.7275641025641025,0.7339743589743589,0.7339743589743589,0.7307692307692307,0.7243589743589743,0.7403846153846154,0.7275641025641025,0.7243589743589743,1.0,0.9615384615384616,0.9583333333333334,0.9807692307692307,0.7403846153846154,0.7403846153846154,0.9647435897435898,0.7275641025641025,0.7275641025641025,0.7307692307692307
D1025.6.1,0.7371794871794872,0.7211538461538461,0.7307692307692307,0.7307692307692307,0.717948717948718,0.717948717948718,0.7371794871794872,0.7243589743589743,0.7083333333333334,0.9615384615384616,1.0,0.9839743589743589,0.967948717948718,0.7371794871794872,0.7371794871794872,0.9775641025641025,0.7211538461538461,0.717948717948718,0.7243589743589743
D1025.4.1,0.7339743589743589,0.7243589743589743,0.7243589743589743,0.7307692307692307,0.7211538461538461,0.717948717948718,0.7339743589743589,0.717948717948718,0.7115384615384616,0.9583333333333334,0.9839743589743589,1.0,0.9743589743589743,0.7339743589743589,0.7339743589743589,0.9775641025641025,0.7243589743589743,0.7211538461538461,0.7243589743589743
D1025.8.1,0.7371794871794872,0.7275641025641025,0.7339743589743589,0.7403846153846154,0.7307692307692307,0.7243589743589743,0.7371794871794872,0.7275641025641025,0.7243589743589743,0.9807692307692307,0.967948717948718,0.9743589743589743,1.0,0.7371794871794872,0.7371794871794872,0.9839743589743589,0.7275641025641025,0.7275641025641025,0.7307692307692307
