	ENSAMXT00000019341	ENSXETT00000008694	ENSXETT00000008531	ENSCHAT00000011907	ENSCHAT00000011879	ENSLACT00000026175	ENSXETT00000008481	ENSLACT00000016555	ENSCHAT00000011861	ENSXETT00000008577
ENSAMXT00000019341	1.0	0.7772778402699663	0.7688413948256468	0.8481439820022497	0.13273340832395952	0.7885264341957255	0.7806524184476941	0.7885264341957255	0.7485939257592801	0.7919010123734533
ENSXETT00000008694	0.7772778402699663	1.0	0.7902137232845894	0.7772778402699663	0.10292463442069744	0.7907761529808774	0.8037120359955006	0.7907761529808774	0.6833520809898763	0.8138357705286839
ENSXETT00000008531	0.7688413948256468	0.7902137232845894	1.0	0.7626546681664792	0.08098987626546683	0.7868391451068616	0.8520809898762655	0.7868391451068616	0.6692913385826772	0.9763779527559056
ENSCHAT00000011907	0.8481439820022497	0.7772778402699663	0.7626546681664792	1.0	0.17491563554555678	0.7862767154105736	0.7710911136107986	0.7862767154105736	0.8892013498312711	0.7857142857142857
ENSCHAT00000011879	0.13273340832395952	0.10292463442069744	0.08098987626546683	0.17491563554555678	1.0	0.10461192350956128	0.09955005624296964	0.10461192350956128	0.2857142857142857	0.10404949381327333
ENSLACT00000026175	0.7885264341957255	0.7907761529808774	0.7868391451068616	0.7862767154105736	0.10461192350956128	1.0	0.7958380202474691	1.0	0.6912260967379078	0.8104611923509561
ENSXETT00000008481	0.7806524184476941	0.8037120359955006	0.8520809898762655	0.7710911136107986	0.09955005624296964	0.7958380202474691	1.0	0.7958380202474691	0.6771653543307087	0.8757030371203599
ENSLACT00000016555	0.7885264341957255	0.7907761529808774	0.7868391451068616	0.7862767154105736	0.10461192350956128	1.0	0.7958380202474691	1.0	0.6912260967379078	0.8104611923509561
ENSCHAT00000011861	0.7485939257592801	0.6833520809898763	0.6692913385826772	0.8892013498312711	0.2857142857142857	0.6912260967379078	0.6771653543307087	0.6912260967379078	1.0	0.6923509561304837
ENSXETT00000008577	0.7919010123734533	0.8138357705286839	0.9763779527559056	0.7857142857142857	0.10404949381327333	0.8104611923509561	0.8757030371203599	0.8104611923509561	0.6923509561304837	1.0
