,ENSMUST00000089101,ENSMSIT00000017676,MGP_CAROLIEiJ_T0042187,MGP_CAROLIEiJ_T0042186,ENSMSIT00000017691,MGP_PahariEiJ_T0029545,MGP_SPRETEiJ_T0044084,MGP_PahariEiJ_T0029546,ENSMOCT00000006689,ENSMAUT00000004632,ENSMUST00000187643
ENSMUST00000089101,1.0,0.7609427609427609,0.7104377104377104,0.7104377104377104,0.98989898989899,0.5521885521885522,0.7239057239057239,0.7845117845117845,0.9696969696969697,0.9326599326599326,0.7676767676767676
ENSMSIT00000017676,0.7609427609427609,1.0,0.9292929292929293,0.9292929292929293,0.7508417508417509,0.7710437710437711,0.9461279461279462,0.5521885521885522,0.7306397306397306,0.7003367003367004,0.9865319865319865
MGP_CAROLIEiJ_T0042187,0.7104377104377104,0.9292929292929293,1.0,1.0,0.7003367003367004,0.7407407407407407,0.9090909090909091,0.5286195286195287,0.6868686868686869,0.6531986531986532,0.9292929292929293
MGP_CAROLIEiJ_T0042186,0.7104377104377104,0.9292929292929293,1.0,1.0,0.7003367003367004,0.7407407407407407,0.9090909090909091,0.5286195286195287,0.6868686868686869,0.6531986531986532,0.9292929292929293
ENSMSIT00000017691,0.98989898989899,0.7508417508417509,0.7003367003367004,0.7003367003367004,1.0,0.5420875420875421,0.7138047138047138,0.7744107744107744,0.9696969696969697,0.9225589225589226,0.7575757575757576
MGP_PahariEiJ_T0029545,0.5521885521885522,0.7710437710437711,0.7407407407407407,0.7407407407407407,0.5420875420875421,1.0,0.7845117845117845,0.7676767676767676,0.5353535353535354,0.5420875420875421,0.7643097643097643
MGP_SPRETEiJ_T0044084,0.7239057239057239,0.9461279461279462,0.9090909090909091,0.9090909090909091,0.7138047138047138,0.7845117845117845,1.0,0.569023569023569,0.6936026936026936,0.7171717171717171,0.9461279461279462
MGP_PahariEiJ_T0029546,0.7845117845117845,0.5521885521885522,0.5286195286195287,0.5286195286195287,0.7744107744107744,0.7676767676767676,0.569023569023569,1.0,0.7676767676767676,0.7744107744107744,0.5521885521885522
ENSMOCT00000006689,0.9696969696969697,0.7306397306397306,0.6868686868686869,0.6868686868686869,0.9696969696969697,0.5353535353535354,0.6936026936026936,0.7676767676767676,1.0,0.9225589225589226,0.7373737373737373
ENSMAUT00000004632,0.9326599326599326,0.7003367003367004,0.6531986531986532,0.6531986531986532,0.9225589225589226,0.5420875420875421,0.7171717171717171,0.7744107744107744,0.9225589225589226,1.0,0.7003367003367004
ENSMUST00000187643,0.7676767676767676,0.9865319865319865,0.9292929292929293,0.9292929292929293,0.7575757575757576,0.7643097643097643,0.9461279461279462,0.5521885521885522,0.7373737373737373,0.7003367003367004,1.0
