>0
ENSVURT00010007102: [['internal gap >= 30', 824, 241], 1109, 0]
ENSMODT00000036941: [['internal gap >= 30', 827, 238], 1112, 0]
ENSSHAT00000010559: [['internal gap >= 30', 827, 238], 1112, 0]
ENST00000267984: [['internal gap >= 30', 803, 262], 1088, 0]
ENSPPYT00000007934: ['3event', 873, 0]
ENSTGET00000003923: [['internal gap >= 30', 803, 262], 1088, 0]
ENSMMUT00000082018: [['internal gap >= 30', 803, 262], 1088, 0]
ENSCSAT00000019819: [['internal gap >= 30', 803, 262], 1088, 0]
ENSPTET00000027665: [['internal gap >= 30', 803, 262], 1088, 0]
ENSCCAT00000003888: [['internal gap >= 30', 791, 274], 1076, 0]
ENSCJAT00000015284: [['internal gap >= 30', 791, 274], 1076, 0]
