geneTreeID,nbLeaves,NbSharedLeaves,AU_TreeBest,AU_Ensembl,AU_ReconstructEnsembl,AU_Isosel,TreeBestPassTest,EnsemblTreePassTest,ReconstructEnsemblTreePassTest,au_isosel_pass_test,TreeBestBetter,EnsemblBetter,ReconstructEnsemblBetter,REC_TreeBest,REC_Ensembl,REC_ReconstructEnsembl,RecIsosel,Treebest_REC_is_best,Ensembl_REC_is_best,Ensembl_REC_reconstruct_is_best,Isosel_REC_is_best
ENSGT00390000006931,4,75.0,0.796,0.322,0.796,0.796,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
ENSGT00910000147002,6,100.0,0.746,0.434,0.746,0.746,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
ENSGT00940000169475,5,80.0,0.805,0.805,0.805,0.805,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
ENSGT00390000013727,3,100.0,0.485,0.464,0.485,0.485,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
ENSGT00390000010578,7,100.0,0.524,0.53,0.524,0.524,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0
ENSGT00390000004452,10,90.0,0.691,0.462,0.691,0.691,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
ENSGT00740000117046,5,100.0,0.996,0.005,0.996,0.996,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
ENSGT00510000047568,4,50.0,0.477,0.49,0.477,0.477,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0
ENSGT00940000169676,3,100.0,0.498,0.502,0.498,0.498,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0
ENSGT00940000168830,4,100.0,0.474,0.498,0.471,0.474,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0
ENSGT00530000065389,5,100.0,0.997,0.997,0.997,0.997,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
ENSGT00940000169931,4,50.0,0.547,0.533,0.547,0.547,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
ENSGT00910000147177,7,100.0,0.688,0.537,0.688,0.688,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
ENSGT00940000179482,4,100.0,0.688,0.55,0.688,0.688,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
ENSGT00940000172903,12,100.0,0.656,0.706,0.212,0.172,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0
ENSGT00940000156483,3,66.67,0.47,0.442,0.47,0.543,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
ENSGT00910000147055,6,100.0,0.428,0.577,0.428,0.428,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0
ENSGT00940000164143,5,100.0,0.515,0.459,0.515,0.515,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
ENSGT00940000157688,5,80.0,0.528,0.426,0.528,0.528,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
ENSGT00940000170797,3,66.67,0.495,0.471,0.471,0.495,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
ENSGT00660000096863,3,100.0,0.508,0.481,0.508,0.508,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
ENSGT00940000171008,3,66.67,0.494,0.454,0.494,0.494,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
ENSGT00940000168087,5,80.0,0.503,0.514,0.0002,0.503,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0
ENSGT00770000121715,6,100.0,0.485,0.531,0.485,0.485,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0
ENSGT00940000157446,3,100.0,0.537,0.537,0.537,0.537,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
ENSGT00940000155823,3,33.33,0.471,0.474,0.471,0.471,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0
ENSGT00910000147007,6,100.0,0.644,0.545,0.644,0.644,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
ENSGT00940000164615,4,75.0,0.479,0.479,0.479,0.479,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
ENSGT00940000157680,8,25.0,0.834,0.32,0.001,0.053,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
ENSGT00940000178799,3,100.0,0.506,0.498,0.506,0.506,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
ENSGT00390000003464,4,100.0,0.34,0.34,0.34,0.34,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
ENSGT00860000135738,6,100.0,0.614,0.608,0.614,0.614,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
ENSGT00910000148662,3,100.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSGT00940000162164,9,100.0,0.451,0.557,0.451,0.451,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0
ENSGT00940000161662,4,50.0,0.541,0.174,0.174,0.174,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
ENSGT00940000161331,3,100.0,0.51,0.513,0.51,0.51,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0
ENSGT00940000165562,4,100.0,0.585,0.345,0.585,0.585,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
ENSGT00940000171070,6,83.33,0.441,0.439,0.44,0.441,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
ENSGT00940000164045,5,80.0,0.523,0.457,0.696,0.523,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0
ENSGT00960000190054,4,100.0,0.731,0.731,0.731,0.731,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
ENSGT00940000154925,3,100.0,0.458,0.482,0.458,0.458,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0
ENSGT00390000012040,5,100.0,0.16,0.16,0.16,0.16,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
ENSGT00940000170886,3,66.67,0.502,0.461,0.461,0.502,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
ENSGT00960000189352,3,100.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSGT00940000158809,6,100.0,1.0,;0,0000001;,1.0,1.0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
ENSGT00940000154355,3,100.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSGT00910000147327,5,100.0,0.477,0.618,0.477,0.477,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0
ENSGT00940000157685,4,75.0,0.487,0.5,0.487,0.487,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0
ENSGT00940000170905,5,100.0,0.522,0.478,0.522,0.522,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
ENSGT00940000177078,3,100.0,0.529,0.462,0.529,0.529,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
ENSGT00940000179368,3,100.0,0.489,0.511,0.489,0.489,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0
ENSGT00940000169476,4,100.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSGT00940000161638,6,83.33,0.569,0.668,0.569,0.569,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0
ENSGT00940000168580,4,100.0,0.489,0.515,0.484,0.489,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0
ENSGT00390000001153,3,66.67,0.483,0.491,0.491,0.491,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
ENSGT00940000157805,7,71.43,0.515,0.508,0.515,0.515,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
ENSGT00940000159620,9,100.0,0.332,0.838,0.332,0.332,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0
ENSGT00940000159363,4,50.0,0.713,0.541,0.713,0.713,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
ENSGT00940000169684,4,50.0,0.534,0.586,0.534,0.534,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0
ENSGT00390000006303,6,50.0,0.471,0.471,0.471,0.471,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
ENSGT00940000155594,15,46.67,0.326,0.674,5E-66,0.326,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0
ENSGT00940000170888,3,100.0,0.497,0.497,0.497,0.497,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
ENSGT00910000148008,4,100.0,0.471,0.531,0.471,0.471,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0
ENSGT00940000158046,15,86.67,0.6,0.578,0.108,0.6,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
ENSGT00940000177470,3,100.0,0.488,0.512,0.488,0.488,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0
ENSGT00940000163384,5,100.0,0.507,0.501,0.495,0.507,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
ENSGT00940000158467,3,100.0,0.686,0.339,0.686,0.686,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
ENSGT00940000158578,3,100.0,0.466,0.47,0.466,0.466,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0
ENSGT00940000159362,4,50.0,0.456,0.506,0.0001,0.456,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0
ENSGT00940000162882,12,83.33,0.051,0.011,0.002,0.051,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ENSGT00390000016644,4,100.0,0.488,0.488,0.488,0.488,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
ENSGT00940000177807,3,100.0,0.452,0.511,0.452,0.452,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0
ENSGT00910000148592,3,100.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSGT00390000006227,8,100.0,0.031,0.975,0.031,0.069,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
ENSGT00910000147325,12,100.0,0.505,0.645,0.505,0.505,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0
ENSGT00940000161095,3,66.67,0.459,0.502,0.459,0.459,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0
ENSGT00960000190642,3,66.67,0.49,0.49,0.49,0.49,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
