homo_sapiens ENSG00000186844
gorilla_gorilla ENSGGOG00000011546
pan_troglodytes ENSPTRG00000001333
pan_paniscus ENSPPAG00000011362
mandrillus_leucophaeus ENSMLEG00000040507
cercocebus_atys ENSCATG00000017623
papio_anubis ENSPANG00000030664
macaca_fascicularis ENSMFAG00000031541
macaca_nemestrina ENSMNEG00000028072
rhinopithecus_roxellana ENSRROG00000033697
cebus_capucinus ENSCCAG00000028008
saimiri_boliviensis_boliviensis ENSSBOG00000023695
aotus_nancymaae ENSANAG00000028061
carlito_syrichta ENSTSYG00000036222
propithecus_coquereli ENSPCOG00000014104
