petromyzon_marinus ENSPMAG00000007382
eptatretus_burgeri ENSEBUG00000013259
labrus_bergylta ENSLBEG00000003655
gasterosteus_aculeatus ENSGACG00000006043
fundulus_heteroclitus ENSFHEG00000008292
cyprinodon_variegatus ENSCVAG00000004681
xiphophorus_maculatus ENSXMAG00000015534
xiphophorus_couchianus ENSXCOG00000001183
gambusia_affinis ENSGAFG00000010563
poecilia_latipinna ENSPLAG00000005949
poecilia_formosa ENSPFOG00000007558
poecilia_mexicana ENSPMEG00000001697
poecilia_reticulata ENSPREG00000009491
kryptolebias_marmoratus ENSKMAG00000012117
oryzias_latipes ENSORLG00000016494
oryzias_latipes ENSORLG00020001568
oryzias_latipes ENSORLG00015001802
oryzias_melastigma ENSOMEG00000001879
cynoglossus_semilaevis ENSCSEG00000011740
mastacembelus_armatus ENSMAMG00000000927
monopterus_albus ENSMALG00000017001
anabas_testudineus ENSATEG00000020502
seriola_dumerili ENSSDUG00000017558
seriola_lalandi ENSSLDG00000007119
scophthalmus_maximus ENSSMAG00000010541
amphiprion_ocellaris ENSAOCG00000016901
amphiprion_percula ENSAPEG00000016010
acanthochromis_polyacanthus ENSAPOG00000004002
stegastes_partitus ENSSPAG00000000487
maylandia_zebra ENSMZEG00005007760
haplochromis_burtoni ENSHBUG00000003047
astatotilapia_calliptera ENSACLG00000015796
pundamilia_nyererei ENSPNYG00000001166
neolamprologus_brichardi ENSNBRG00000016175
oreochromis_niloticus ENSONIG00000009032
amphilophus_citrinellus ENSACIG00000001348
mola_mola ENSMMOG00000003831
tetraodon_nigroviridis ENSTNIG00000016471
takifugu_rubripes ENSTRUG00000010355
periophthalmus_magnuspinnatus ENSPMGG00000011819
hippocampus_comes ENSHCOG00000018036
gadus_morhua ENSGMOG00000003318
esox_lucius ENSELUG00000010646
pygocentrus_nattereri ENSPNAG00000013731
astyanax_mexicanus ENSAMXG00000029785
ictalurus_punctatus ENSIPUG00000002751
danio_rerio ENSDARG00000070028
scleropages_formosus ENSSFOG00015007825
paramormyrops_kingsleyae ENSPKIG00000009907
notamacropus_eugenii ENSMEUG00000015984
monodelphis_domestica ENSMODG00000002715
tupaia_belangeri ENSTBEG00000005466
piliocolobus_tephrosceles ENSPTEG00000024567
chinchilla_lanigera ENSCLAG00000013974
octodon_degus ENSODEG00000001061
fukomys_damarensis ENSFDAG00000012775
mus_spretus MGP_SPRETEiJ_G0021494
mus_musculus ENSMUSG00000022856
mus_spicilegus ENSMSIG00000010249
mus_caroli MGP_CAROLIEiJ_G0020598
mus_pahari MGP_PahariEiJ_G0016302
rattus_norvegicus ENSRNOG00000046283
peromyscus_maniculatus ENSPEMG00000000662
spermophilus_dauricus ENSSDAG00000018753
ochotona_princeps ENSOPRG00000002857
capra_hircus ENSCHIG00000003347
ovis_aries ENSOARG00000020564
bos_mutus ENSBMUG00000010587
bos_taurus ENSBTAG00000017115
vicugna_pacos ENSVPAG00000012005
nomascus_leucogenys ENSNLEG00000006465
macaca_nemestrina ENSMNEG00000033877
carlito_syrichta ENSTSYG00000031449
erinaceus_europaeus ENSEEUG00000006657
sorex_araneus ENSSARG00000006310
ursus_americanus ENSUAMG00000009214
ursus_maritimus ENSUMAG00000005034
ailuropoda_melanoleuca ENSAMEG00000016814
mustela_putorius ENSMPUG00000003066
neovison_vison ENSNVIG00000019430
canis_lupus ENSCAFG00000013236
vulpes_vulpes ENSVVUG00000012554
panthera_pardus ENSPPRG00000006353
felis_catus ENSFCAG00000005366
tursiops_truncatus ENSTTRG00000002279
pteropus_vampyrus ENSPVAG00000011491
ornithorhynchus_anatinus ENSOANG00000001883
anolis_carolinensis ENSACAG00000007904
notechis_scutatus ENSNSUG00000013177
melopsittacus_undulatus ENSMUNG00000004225
