scleropages_formosus ENSSFOG00015012345
paramormyrops_kingsleyae ENSPKIG00000011676
pygocentrus_nattereri ENSPNAG00000026378
astyanax_mexicanus ENSAMXG00000032060
ictalurus_punctatus ENSIPUG00000020444
danio_rerio ENSDARG00000024846
lepisosteus_oculatus ENSLOCG00000004879
poecilia_formosa ENSPFOG00000004405
poecilia_latipinna ENSPLAG00000011148
poecilia_mexicana ENSPMEG00000016382
xiphophorus_maculatus ENSXMAG00000026428
xiphophorus_couchianus ENSXCOG00000016159
cyprinodon_variegatus ENSCVAG00000008319
fundulus_heteroclitus ENSFHEG00000010761
kryptolebias_marmoratus ENSKMAG00000007738
oryzias_latipes_asm223469v1 ENSORLG00015023133
oryzias_latipes ENSORLG00000008172
oryzias_latipes ENSORLG00020022338
oryzias_melastigma ENSOMEG00000018087
gasterosteus_aculeatus ENSGACG00000001602
cynoglossus_semilaevis ENSCSEG00000015213
amphiprion_percula ENSAPEG00000002579
amphiprion_ocellaris ENSAOCG00000024070
acanthochromis_polyacanthus ENSAPOG00000011179
maylandia_zebra ENSMZEG00005021545
pundamilia_nyererei ENSPNYG00000016623
haplochromis_burtoni ENSHBUG00000001199
astatotilapia_calliptera ENSACLG00000000629
neolamprologus_brichardi ENSNBRG00000011147
oreochromis_niloticus ENSONIG00000007833
amphilophus_citrinellus ENSACIG00000008022
stegastes_partitus ENSSPAG00000020331
periophthalmus_magnuspinnatus ENSPMGG00000008654
seriola_dumerili ENSSDUG00000006205
seriola_lalandi_dorsalis ENSSLDG00000004007
mola_mola ENSMMOG00000019268
mastacembelus_armatus ENSMAMG00000009503
monopterus_albus ENSMALG00000003210
anabas_testudineus ENSATEG00000007220
takifugu_rubripes ENSTRUG00000007598
tetraodon_nigroviridis ENSTNIG00000017840
labrus_bergylta ENSLBEG00000027418
scophthalmus_maximus ENSSMAG00000001313
hippocampus_comes ENSHCOG00000002407
gadus_morhua ENSGMOG00000000682
esox_lucius ENSELUG00000009971
ciona_intestinalis ENSCING00000011567
ciona_savignyi ENSCSAVG00000004076
