cyprinodon_variegatus ENSCVAG00000002948
fundulus_heteroclitus ENSFHEG00000020256
poecilia_latipinna ENSPLAG00000004387
xiphophorus_couchianus ENSXCOG00000020742
amphiprion_ocellaris ENSAOCG00000022269
labrus_bergylta ENSLBEG00000020530
neolamprologus_brichardi ENSNBRG00000023122
felis_catus ENSFCAG00000042450
sus_scrofa ENSSSCG00000040447
cricetulus_griseus_crigri ENSCGRG00000003917
mus_spicilegus ENSMSIG00000021964
heterocephalus_glaber_female ENSHGLG00000004153
theropithecus_gelada ENSTGEG00000026573
microcebus_murinus ENSMICG00000030908
notechis_scutatus ENSNSUG00000000639
