apteryx_haastii ENSAHAG00000017701
apteryx_owenii ENSAOWG00000017186
apteryx_rowi ENSARWG00000002122
dromaius_novaehollandiae ENSDNVG00000010736
anser_brachyrhynchus ENSABRG00000001884
coturnix_japonica ENSCJPG00005020450
calidris_pygmaea ENSCPGG00000013110
chelonoidis_abingdonii ENSCABG00000009941
chrysemys_picta ENSCPBG00000010185
crocodylus_porosus ENSCPRG00005003650
salvator_merianae ENSSMRG00000014405
lonchura_striata ENSLSDG00000006338
serinus_canaria ENSSCAG00000010704
parus_major ENSPMJG00000019935
cyanistes_caeruleus ENSCCEG00000008888
zonotrichia_albicollis ENSZALG00000006547
junco_hyemalis ENSJHYG00000017905
nothoprocta_perdicaria ENSNPEG00000000898
mandrillus_leucophaeus ENSMLEG00000039556
papio_anubis ENSPANG00000035353
macaca_mulatta ENSMMUG00000045065
theropithecus_gelada ENSTGEG00000000461
piliocolobus_tephrosceles ENSPTEG00000000459
prolemur_simus ENSPSMG00000003082
mus_spicilegus ENSMSIG00000001196
ursus_maritimus ENSUMAG00000005137
ursus_americanus ENSUAMG00000007256
canis_lupus ENSCAFG00020015681
capra_hircus ENSCHIG00000015349
