loxodonta_africana ENSLAFG00000025848
echinops_telfairi ENSETEG00000018597
oryctolagus_cuniculus ENSOCUG00000010014
ochotona_princeps ENSOPRG00000011772
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0017785
mus_spicilegus ENSMSIG00000009697
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0018630
mus_musculus ENSMUSG00000043060
mus_pahari MGP_PahariEiJ_G0029541
rattus_norvegicus ENSRNOG00000032241
peromyscus_maniculatus_bairdii ENSPEMG00000022647
piliocolobus_tephrosceles ENSPTEG00000003352
colobus_angolensis_palliatus ENSCANG00000031726
rhinopithecus_roxellana ENSRROG00000043802
rhinopithecus_bieti ENSRBIG00000043546
macaca_mulatta ENSMMUG00000011876
macaca_fascicularis ENSMFAG00000040613
macaca_nemestrina ENSMNEG00000039959
cercocebus_atys ENSCATG00000034909
theropithecus_gelada ENSTGEG00000005986
mandrillus_leucophaeus ENSMLEG00000031710
homo_sapiens ENSG00000189139
gorilla_gorilla ENSGGOG00000022017
pongo_abelii ENSPPYG00000005772
pan_paniscus ENSPPAG00000029257
papio_anubis ENSPANG00000025020
cebus_capucinus ENSCCAG00000031673
saimiri_boliviensis_boliviensis ENSSBOG00000023329
carlito_syrichta ENSTSYG00000035335
prolemur_simus ENSPSMG00000005921
tupaia_belangeri ENSTBEG00000009374
pteropus_vampyrus ENSPVAG00000015786
myotis_lucifugus ENSMLUG00000002076
equus_caballus ENSECAG00000006042
equus_asinus_asinus ENSEASG00005007639
bison_bison_bison ENSBBBG00000001793
bos_taurus ENSBTAG00000031934
ovis_aries ENSOARG00000009023
capra_hircus ENSCHIG00000016320
sus_scrofa ENSSSCG00000004992
canis_lupus_dingo ENSCAFG00020022211
canis_lupus_familiaris ENSCAFG00000013953
vulpes_vulpes ENSVVUG00000000618
ailuropoda_melanoleuca ENSAMEG00000020142
erinaceus_europaeus ENSEEUG00000003314
dasypus_novemcinctus ENSDNOG00000048731
notamacropus_eugenii ENSMEUG00000007261
monodelphis_domestica ENSMODG00000011372
