esox_lucius ENSELUG00000012440
pygocentrus_nattereri ENSPNAG00000002876
stegastes_partitus ENSSPAG00000016298
neolamprologus_brichardi ENSNBRG00000004465
lepisosteus_oculatus ENSLOCG00000014812
anolis_carolinensis ENSACAG00000023817
notechis_scutatus ENSNSUG00000011526
salvator_merianae ENSSMRG00000002682
pogona_vitticeps ENSPVIG00000019859
gopherus_agassizii ENSGAGG00000022257
chelonoidis_abingdonii ENSCABG00000023173
chrysemys_picta_bellii ENSCPBG00000019786
erinaceus_europaeus ENSEEUG00000014774
sorex_araneus ENSSARG00000000781
panthera_tigris_altaica ENSPTIG00000012551
sus_scrofa ENSSSCG00000021917
vicugna_pacos ENSVPAG00000002592
capra_hircus ENSCHIG00000017836
ovis_aries ENSOARG00000006619
bos_taurus ENSBTAG00000040067
bos_mutus ENSBMUG00000015889
bison_bison_bison ENSBBBG00000017800
tursiops_truncatus ENSTTRG00000007109
canis_lupus_familiaris ENSCAFG00000005355
canis_lupus_dingo ENSCAFG00020015497
vulpes_vulpes ENSVVUG00000005865
neovison_vison ENSNVIG00000011207
ursus_americanus ENSUAMG00000028433
ursus_maritimus ENSUMAG00000019622
ailuropoda_melanoleuca ENSAMEG00000012476
felis_catus ENSFCAG00000001029
panthera_pardus ENSPPRG00000017406
myotis_lucifugus ENSMLUG00000007920
pteropus_vampyrus ENSPVAG00000000024
equus_caballus ENSECAG00000021770
equus_asinus_asinus ENSEASG00005011547
propithecus_coquereli ENSPCOG00000023773
prolemur_simus ENSPSMG00000022564
microcebus_murinus ENSMICG00000033409
otolemur_garnettii ENSOGAG00000034291
carlito_syrichta ENSTSYG00000025605
pan_troglodytes ENSPTRG00000010995
pan_paniscus ENSPPAG00000028797
homo_sapiens ENSG00000160396
gorilla_gorilla ENSGGOG00000011025
pongo_abelii ENSPPYG00000009990
nomascus_leucogenys ENSNLEG00000014093
papio_anubis ENSPANG00000023225
theropithecus_gelada ENSTGEG00000024344
cercocebus_atys ENSCATG00000037803
mandrillus_leucophaeus ENSMLEG00000016332
macaca_fascicularis ENSMFAG00000043018
macaca_mulatta ENSMMUG00000006072
macaca_nemestrina ENSMNEG00000037748
chlorocebus_sabaeus ENSCSAG00000003733
colobus_angolensis_palliatus ENSCANG00000031034
piliocolobus_tephrosceles ENSPTEG00000036698
rhinopithecus_roxellana ENSRROG00000003245
rhinopithecus_bieti ENSRBIG00000014472
saimiri_boliviensis_boliviensis ENSSBOG00000031037
cebus_capucinus ENSCCAG00000031144
callithrix_jacchus ENSCJAG00000014644
aotus_nancymaae ENSANAG00000025716
castor_canadensis ENSCCNG00000010113
dipodomys_ordii ENSDORG00000011429
microtus_ochrogaster ENSMOCG00000003724
peromyscus_maniculatus_bairdii ENSPEMG00000009204
cricetulus_griseus_crigri ENSCGRG00000016166
cricetulus_griseus_chok1gshd ENSCGRG00001003510
cricetulus_griseus_crigri-picr ENSCGRG00015025149
mesocricetus_auratus ENSMAUG00000019687
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0030514
mus_spicilegus ENSMSIG00000027679
mus_musculus ENSMUSG00000040424
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0029416
mus_pahari MGP_PahariEiJ_G0012653
rattus_norvegicus ENSRNOG00000020835
meriones_unguiculatus ENSMUGG00000014209
nannospalax_galili ENSNGAG00000022596
jaculus_jaculus ENSJJAG00000015728
chinchilla_lanigera ENSCLAG00000000801
octodon_degus ENSODEG00000001382
cavia_porcellus ENSCPOG00000024254
cavia_aperea ENSCAPG00000008006
heterocephalus_glaber_male ENSHGLG00100009489
heterocephalus_glaber_female ENSHGLG00000003659
fukomys_damarensis ENSFDAG00000008242
ictidomys_tridecemlineatus ENSSTOG00000005746
urocitellus_parryii ENSUPAG00010022516
marmota_marmota_marmota ENSMMMG00000020428
oryctolagus_cuniculus ENSOCUG00000008988
ochotona_princeps ENSOPRG00000014470
tupaia_belangeri ENSTBEG00000014929
procavia_capensis ENSPCAG00000003758
loxodonta_africana ENSLAFG00000026082
echinops_telfairi ENSETEG00000007507
spermophilus_dauricus ENSSDAG00000001124
dasypus_novemcinctus ENSDNOG00000000796
phascolarctos_cinereus ENSPCIG00000020981
notamacropus_eugenii ENSMEUG00000005628
monodelphis_domestica ENSMODG00000007678
ornithorhynchus_anatinus ENSOANG00000004287
apteryx_haastii ENSAHAG00000018923
apteryx_rowi ENSARWG00000003697
apteryx_owenii ENSAOWG00000019150
dromaius_novaehollandiae ENSDNVG00000014700
nothoprocta_perdicaria ENSNPEG00000005282
calidris_pygmaea ENSCPGG00000011504
calidris_pugnax ENSCPUG00000016409
manacus_vitellinus ENSMVIG00005002740
lepidothrix_coronata ENSLCOG00000008291
parus_major ENSPMJG00000003053
cyanistes_caeruleus ENSCCEG00000015687
lonchura_striata_domestica ENSLSDG00000014973
serinus_canaria ENSSCAG00000016289
zonotrichia_albicollis ENSZALG00000011055
junco_hyemalis ENSJHYG00000015797
anas_platyrhynchos_platyrhynchos ENSAPLG00000017887
anser_brachyrhynchus ENSABRG00000008266
latimeria_chalumnae ENSLACG00000017906
