petromyzon_marinus ENSPMAG00000006759
eptatretus_burgeri ENSEBUG00000004713
pygocentrus_nattereri ENSPNAG00000029476
astyanax_mexicanus ENSAMXG00000008559
ictalurus_punctatus ENSIPUG00000016335
danio_rerio ENSDARG00000102338
mola_mola ENSMMOG00000012581
takifugu_rubripes ENSTRUG00000016611
gasterosteus_aculeatus ENSGACG00000005110
oryzias_latipes_asm223469v1 ENSORLG00015005109
oryzias_latipes ENSORLG00000020189
oryzias_melastigma ENSOMEG00000023532
tetraodon_nigroviridis ENSTNIG00000018854
cynoglossus_semilaevis ENSCSEG00000008942
seriola_lalandi_dorsalis ENSSLDG00000011421
seriola_dumerili ENSSDUG00000008654
scophthalmus_maximus ENSSMAG00000017170
amphiprion_ocellaris ENSAOCG00000001116
amphiprion_percula ENSAPEG00000012867
stegastes_partitus ENSSPAG00000012054
acanthochromis_polyacanthus ENSAPOG00000018283
astatotilapia_calliptera ENSACLG00000017605
maylandia_zebra ENSMZEG00005018445
pundamilia_nyererei ENSPNYG00000006345
haplochromis_burtoni ENSHBUG00000011381
neolamprologus_brichardi ENSNBRG00000008889
oreochromis_niloticus ENSONIG00000013924
amphilophus_citrinellus ENSACIG00000001010
monopterus_albus ENSMALG00000007743
mastacembelus_armatus ENSMAMG00000018436
hippocampus_comes ENSHCOG00000001485
anabas_testudineus ENSATEG00000010670
labrus_bergylta ENSLBEG00000009890
poecilia_latipinna ENSPLAG00000020488
poecilia_mexicana ENSPMEG00000020522
poecilia_formosa ENSPFOG00000004467
poecilia_reticulata ENSPREG00000012481
xiphophorus_maculatus ENSXMAG00000018186
xiphophorus_couchianus ENSXCOG00000012084
fundulus_heteroclitus ENSFHEG00000012613
cyprinodon_variegatus ENSCVAG00000016844
kryptolebias_marmoratus ENSKMAG00000019609
gadus_morhua ENSGMOG00000015611
esox_lucius ENSELUG00000006311
scleropages_formosus ENSSFOG00015012078
paramormyrops_kingsleyae ENSPKIG00000001266
lepisosteus_oculatus ENSLOCG00000009461
gopherus_agassizii ENSGAGG00000006982
chelonoidis_abingdonii ENSCABG00000017344
chrysemys_picta_bellii ENSCPBG00000025304
pelodiscus_sinensis ENSPSIG00000010871
crocodylus_porosus ENSCPRG00005005647
anolis_carolinensis ENSACAG00000027513
pogona_vitticeps ENSPVIG00000019566
notechis_scutatus ENSNSUG00000017852
salvator_merianae ENSSMRG00000016066
lepidothrix_coronata ENSLCOG00000005230
manacus_vitellinus ENSMVIG00005019619
cyanistes_caeruleus ENSCCEG00000009652
parus_major ENSPMJG00000009121
ficedula_albicollis ENSFALG00000004755
lonchura_striata_domestica ENSLSDG00000011698
taeniopygia_guttata ENSTGUG00000001076
serinus_canaria ENSSCAG00000000265
zonotrichia_albicollis ENSZALG00000011015
calidris_pygmaea ENSCPGG00000013820
calidris_pugnax ENSCPUG00000005150
melopsittacus_undulatus ENSMUNG00000013151
anser_brachyrhynchus ENSABRG00000001909
anas_platyrhynchos_platyrhynchos ENSAPLG00000009255
gallus_gallus ENSGALG00000015113
coturnix_japonica ENSCJPG00005007729
meleagris_gallopavo ENSMGAG00000005752
numida_meleagris ENSNMEG00000011703
sphenodon_punctatus ENSSPUG00000007450
apteryx_rowi ENSARWG00000008784
apteryx_owenii ENSAOWG00000002583
dromaius_novaehollandiae ENSDNVG00000004073
nothoprocta_perdicaria ENSNPEG00000004683
phascolarctos_cinereus ENSPCIG00000024714
sarcophilus_harrisii ENSSHAG00000005070
monodelphis_domestica ENSMODG00000002821
monodelphis_domestica ENSMODG00000018165
urocitellus_parryii ENSUPAG00010023497
spermophilus_dauricus ENSSDAG00000019664
marmota_marmota_marmota ENSMMMG00000011070
ictidomys_tridecemlineatus ENSSTOG00000012685
chinchilla_lanigera ENSCLAG00000008830
octodon_degus ENSODEG00000004112
cavia_porcellus ENSCPOG00000008368
cavia_aperea ENSCAPG00000000049
heterocephalus_glaber_female ENSHGLG00000011396
heterocephalus_glaber_male ENSHGLG00100017154
fukomys_damarensis ENSFDAG00000019459
castor_canadensis ENSCCNG00000010201
dipodomys_ordii ENSDORG00000005855
mus_musculus ENSMUSG00000074925
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0023743
mus_spicilegus ENSMSIG00000011314
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0022824
mus_pahari MGP_PahariEiJ_G0014318
rattus_norvegicus ENSRNOG00000014891
meriones_unguiculatus ENSMUGG00000014670
cricetulus_griseus_chok1gshd ENSCGRG00001004346
cricetulus_griseus_crigri ENSCGRG00000007120
cricetulus_griseus_crigri-picr ENSCGRG00015002094
mesocricetus_auratus ENSMAUG00000008946
microtus_ochrogaster ENSMOCG00000021324
