loxodonta_africana ENSLAFG00000030254
echinops_telfairi ENSETEG00000017153
canis_lupus_dingo ENSCAFG00020025938
canis_lupus_familiaris ENSCAFG00000017532
vulpes_vulpes ENSVVUG00000012693
mustela_putorius_furo ENSMPUG00000015285
ailuropoda_melanoleuca ENSAMEG00000011591
panthera_tigris_altaica ENSPTIG00000020498
panthera_pardus ENSPPRG00000000679
pteropus_vampyrus ENSPVAG00000002326
equus_caballus ENSECAG00000020248
equus_asinus_asinus ENSEASG00005002774
tursiops_truncatus ENSTTRG00000017184
ovis_aries ENSOARG00000010822
vicugna_pacos ENSVPAG00000001812
erinaceus_europaeus ENSEEUG00000009612
sorex_araneus ENSSARG00000012790
pan_troglodytes ENSPTRG00000009455
pan_paniscus ENSPPAG00000028255
gorilla_gorilla ENSGGOG00000013814
homo_sapiens ENSG00000181013
pongo_abelii ENSPPYG00000008228
nomascus_leucogenys ENSNLEG00000008245
macaca_fascicularis ENSMFAG00000038431
macaca_mulatta ENSMMUG00000008423
macaca_nemestrina ENSMNEG00000036497
cercocebus_atys ENSCATG00000032851
mandrillus_leucophaeus ENSMLEG00000026740
theropithecus_gelada ENSTGEG00000022192
papio_anubis ENSPANG00000022287
chlorocebus_sabaeus ENSCSAG00000005777
rhinopithecus_roxellana ENSRROG00000040972
rhinopithecus_bieti ENSRBIG00000033966
colobus_angolensis_palliatus ENSCANG00000032509
saimiri_boliviensis_boliviensis ENSSBOG00000020766
cebus_capucinus ENSCCAG00000032745
callithrix_jacchus ENSCJAG00000046643
aotus_nancymaae ENSANAG00000033043
carlito_syrichta ENSTSYG00000035807
prolemur_simus ENSPSMG00000002924
microcebus_murinus ENSMICG00000016083
propithecus_coquereli ENSPCOG00000018173
otolemur_garnettii ENSOGAG00000032885
tupaia_belangeri ENSTBEG00000010313
mus_musculus ENSMUSG00000090107
mus_spicilegus ENSMSIG00000026591
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0017777
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0016930
mus_pahari MGP_PahariEiJ_G0018059
meriones_unguiculatus ENSMUGG00000013311
cricetulus_griseus_crigri-picr ENSCGRG00015007102
cricetulus_griseus_chok1gshd ENSCGRG00001019994
mesocricetus_auratus ENSMAUG00000015582
peromyscus_maniculatus_bairdii ENSPEMG00000023866
jaculus_jaculus ENSJJAG00000021832
dipodomys_ordii ENSDORG00000023594
fukomys_damarensis ENSFDAG00000007083
octodon_degus ENSODEG00000013169
ictidomys_tridecemlineatus ENSSTOG00000012811
oryctolagus_cuniculus ENSOCUG00000009765
ochotona_princeps ENSOPRG00000015762
notamacropus_eugenii ENSMEUG00000004889
ornithorhynchus_anatinus ENSOANG00000008743
