gorilla_gorilla ENSGGOG00000027706
homo_sapiens ENSG00000205129
pan_paniscus ENSPPAG00000022550
pan_troglodytes ENSPTRG00000031058
pongo_abelii ENSPPYG00000015248
nomascus_leucogenys ENSNLEG00000011221
colobus_angolensis_palliatus ENSCANG00000040116
piliocolobus_tephrosceles ENSPTEG00000017263
rhinopithecus_roxellana ENSRROG00000032521
rhinopithecus_bieti ENSRBIG00000027024
cercocebus_atys ENSCATG00000032774
theropithecus_gelada ENSTGEG00000024187
mandrillus_leucophaeus ENSMLEG00000039083
chlorocebus_sabaeus ENSCSAG00000002963
macaca_nemestrina ENSMNEG00000044226
macaca_mulatta ENSMMUG00000048393
macaca_fascicularis ENSMFAG00000003574
papio_anubis ENSPANG00000000980
cebus_capucinus ENSCCAG00000026422
saimiri_boliviensis_boliviensis ENSSBOG00000023609
callithrix_jacchus ENSCJAG00000005969
aotus_nancymaae ENSANAG00000030249
carlito_syrichta ENSTSYG00000025754
prolemur_simus ENSPSMG00000024999
propithecus_coquereli ENSPCOG00000018395
microcebus_murinus ENSMICG00000030821
otolemur_garnettii ENSOGAG00000014665
mus_spicilegus ENSMSIG00000027361
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0032138
mus_musculus ENSMUSG00000071103
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0031024
mus_pahari MGP_PahariEiJ_G0021492
rattus_norvegicus ENSRNOG00000038819
meriones_unguiculatus ENSMUGG00000015985
cricetulus_griseus_chok1gshd ENSCGRG00001013769
cricetulus_griseus_crigri-picr ENSCGRG00015021692
cricetulus_griseus_crigri ENSCGRG00000010310
mesocricetus_auratus ENSMAUG00000021203
microtus_ochrogaster ENSMOCG00000005526
peromyscus_maniculatus_bairdii ENSPEMG00000014792
nannospalax_galili ENSNGAG00000015902
jaculus_jaculus ENSJJAG00000017798
dipodomys_ordii ENSDORG00000028613
chinchilla_lanigera ENSCLAG00000011416
octodon_degus ENSODEG00000004559
cavia_porcellus ENSCPOG00000010135
cavia_aperea ENSCAPG00000009126
heterocephalus_glaber_male ENSHGLG00100001351
heterocephalus_glaber_female ENSHGLG00000004232
fukomys_damarensis ENSFDAG00000013954
urocitellus_parryii ENSUPAG00010004092
ictidomys_tridecemlineatus ENSSTOG00000028227
spermophilus_dauricus ENSSDAG00000000746
marmota_marmota_marmota ENSMMMG00000012122
erinaceus_europaeus ENSEEUG00000004318
sorex_araneus ENSSARG00000011886
oryctolagus_cuniculus ENSOCUG00000004810
ochotona_princeps ENSOPRG00000008924
ursus_maritimus ENSUMAG00000013014
ursus_americanus ENSUAMG00000014674
ailuropoda_melanoleuca ENSAMEG00000005269
neovison_vison ENSNVIG00000005884
mustela_putorius_furo ENSMPUG00000011207
canis_lupus_dingo ENSCAFG00020000984
canis_lupus_familiaris ENSCAFG00000023845
vulpes_vulpes ENSVVUG00000012844
panthera_pardus ENSPPRG00000024313
panthera_tigris_altaica ENSPTIG00000021547
felis_catus ENSFCAG00000031930
pteropus_vampyrus ENSPVAG00000001041
equus_caballus ENSECAG00000006614
equus_asinus_asinus ENSEASG00005018367
bos_taurus ENSBTAG00000034430
bos_mutus ENSBMUG00000010835
bison_bison_bison ENSBBBG00000014420
ovis_aries ENSOARG00000007846
capra_hircus ENSCHIG00000023521
sus_scrofa ENSSSCG00000015794
vicugna_pacos ENSVPAG00000008753
myotis_lucifugus ENSMLUG00000006074
choloepus_hoffmanni ENSCHOG00000001821
dasypus_novemcinctus ENSDNOG00000034461
loxodonta_africana ENSLAFG00000028083
echinops_telfairi ENSETEG00000019572
procavia_capensis ENSPCAG00000010217
phascolarctos_cinereus ENSPCIG00000004049
notamacropus_eugenii ENSMEUG00000003959
sarcophilus_harrisii ENSSHAG00000012768
monodelphis_domestica ENSMODG00000004751
ornithorhynchus_anatinus ENSOANG00000003387
anser_brachyrhynchus ENSABRG00000020209
anas_platyrhynchos_platyrhynchos ENSAPLG00000010408
gallus_gallus ENSGALG00000013287
coturnix_japonica ENSCJPG00005007038
meleagris_gallopavo ENSMGAG00000011397
numida_meleagris ENSNMEG00000007900
calidris_pygmaea ENSCPGG00000003968
calidris_pugnax ENSCPUG00000015301
melopsittacus_undulatus ENSMUNG00000001499
apteryx_owenii ENSAOWG00000014857
apteryx_rowi ENSARWG00000006181
apteryx_haastii ENSAHAG00000011631
dromaius_novaehollandiae ENSDNVG00000001341
nothoprocta_perdicaria ENSNPEG00000014599
crocodylus_porosus ENSCPRG00005011927
