bos_taurus ENSBTAG00000038541
bos_mutus ENSBMUG00000002790
bison_bison_bison ENSBBBG00000012952
capra_hircus ENSCHIG00000020873
erinaceus_europaeus ENSEEUG00000011407
equus_caballus ENSECAG00000023471
ursus_americanus ENSUAMG00000019922
ursus_maritimus ENSUMAG00000023935
ailuropoda_melanoleuca ENSAMEG00000009025
mustela_putorius_furo ENSMPUG00000000701
neovison_vison ENSNVIG00000009657
canis_lupus_dingo ENSCAFG00020003529
canis_lupus_familiaris ENSCAFG00000030461
vulpes_vulpes ENSVVUG00000001298
panthera_pardus ENSPPRG00000010083
panthera_tigris_altaica ENSPTIG00000021605
felis_catus ENSFCAG00000042630
prolemur_simus ENSPSMG00000011864
microcebus_murinus ENSMICG00000033568
propithecus_coquereli ENSPCOG00000020986
otolemur_garnettii ENSOGAG00000032797
pan_paniscus ENSPPAG00000030668
pan_troglodytes ENSPTRG00000041282
gorilla_gorilla ENSGGOG00000023048
homo_sapiens ENSG00000234284
pongo_abelii ENSPPYG00000029650
nomascus_leucogenys ENSNLEG00000001439
mandrillus_leucophaeus ENSMLEG00000044457
theropithecus_gelada ENSTGEG00000017252
macaca_fascicularis ENSMFAG00000039136
macaca_mulatta ENSMMUG00000002484
macaca_nemestrina ENSMNEG00000030724
papio_anubis ENSPANG00000032345
cercocebus_atys ENSCATG00000029400
chlorocebus_sabaeus ENSCSAG00000008491
piliocolobus_tephrosceles ENSPTEG00000028902
colobus_angolensis_palliatus ENSCANG00000042681
rhinopithecus_bieti ENSRBIG00000043646
rhinopithecus_roxellana ENSRROG00000030257
cebus_capucinus ENSCCAG00000022061
saimiri_boliviensis_boliviensis ENSSBOG00000022474
cricetulus_griseus_crigri-picr ENSCGRG00015025815
cricetulus_griseus_crigri ENSCGRG00000016483
cricetulus_griseus_chok1gshd ENSCGRG00001013407
mesocricetus_auratus ENSMAUG00000000179
microtus_ochrogaster ENSMOCG00000020947
peromyscus_maniculatus_bairdii ENSPEMG00000010770
mus_spicilegus ENSMSIG00000009906
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0017139
mus_musculus ENSMUSG00000044296
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0016295
mus_pahari MGP_PahariEiJ_G0017430
rattus_norvegicus ENSRNOG00000030517
meriones_unguiculatus ENSMUGG00000002749
castor_canadensis ENSCCNG00000002820
spermophilus_dauricus ENSSDAG00000019181
urocitellus_parryii ENSUPAG00010003001
ictidomys_tridecemlineatus ENSSTOG00000033666
marmota_marmota_marmota ENSMMMG00000010856
cavia_aperea ENSCAPG00000010215
cavia_porcellus ENSCPOG00000040313
octodon_degus ENSODEG00000007967
heterocephalus_glaber_female ENSHGLG00000013266
heterocephalus_glaber_male ENSHGLG00100017153
fukomys_damarensis ENSFDAG00000019311
chinchilla_lanigera ENSCLAG00000013696
oryctolagus_cuniculus ENSOCUG00000016395
tupaia_belangeri ENSTBEG00000001713
nannospalax_galili ENSNGAG00000010850
callithrix_jacchus ENSCJAG00000018904
loxodonta_africana ENSLAFG00000018662
echinops_telfairi ENSETEG00000004774
