petromyzon_marinus ENSPMAG00000008129
eptatretus_burgeri ENSEBUG00000001348
apteryx_haastii ENSAHAG00000005347
dromaius_novaehollandiae ENSDNVG00000005842
gallus_gallus ENSGALG00000006750
coturnix_japonica ENSCJPG00005020392
meleagris_gallopavo ENSMGAG00000008753
numida_meleagris ENSNMEG00000023057
lonchura_striata_domestica ENSLSDG00000017398
taeniopygia_guttata ENSTGUG00000008339
serinus_canaria ENSSCAG00000005774
parus_major ENSPMJG00000001238
manacus_vitellinus ENSMVIG00005013789
lepidothrix_coronata ENSLCOG00000014865
ficedula_albicollis ENSFALG00000010439
junco_hyemalis ENSJHYG00000010502
apteryx_rowi ENSARWG00000002075
apteryx_owenii ENSAOWG00000002879
nothoprocta_perdicaria ENSNPEG00000013698
calidris_pygmaea ENSCPGG00000010201
calidris_pugnax ENSCPUG00000018745
melopsittacus_undulatus ENSMUNG00000004506
anser_brachyrhynchus ENSABRG00000021888
crocodylus_porosus ENSCPRG00005017001
chelonoidis_abingdonii ENSCABG00000001995
gopherus_agassizii ENSGAGG00000013551
chrysemys_picta_bellii ENSCPBG00000017891
zonotrichia_albicollis ENSZALG00000001606
salvator_merianae ENSSMRG00000022296
pogona_vitticeps ENSPVIG00000004253
notechis_scutatus ENSNSUG00000010810
sphenodon_punctatus ENSSPUG00000012045
sphenodon_punctatus ENSSPUG00000012030
phascolarctos_cinereus ENSPCIG00000006396
notamacropus_eugenii ENSMEUG00000016149
monodelphis_domestica ENSMODG00000025061
marmota_marmota_marmota ENSMMMG00000020204
fukomys_damarensis ENSFDAG00000018304
rhinopithecus_roxellana ENSRROG00000041396
rhinopithecus_bieti ENSRBIG00000044629
colobus_angolensis_palliatus ENSCANG00000030941
macaca_mulatta ENSMMUG00000005758
macaca_nemestrina ENSMNEG00000037342
macaca_fascicularis ENSMFAG00000043815
cercocebus_atys ENSCATG00000040161
mandrillus_leucophaeus ENSMLEG00000034955
papio_anubis ENSPANG00000011752
theropithecus_gelada ENSTGEG00000008273
chlorocebus_sabaeus ENSCSAG00000017198
pan_paniscus ENSPPAG00000042560
pan_troglodytes ENSPTRG00000007421
homo_sapiens ENSG00000140543
homo_sapiens ENSG00000173867
gorilla_gorilla ENSGGOG00000015157
saimiri_boliviensis_boliviensis ENSSBOG00000022107
cebus_capucinus ENSCCAG00000029690
callithrix_jacchus ENSCJAG00000012996
aotus_nancymaae ENSANAG00000031474
carlito_syrichta ENSTSYG00000003995
microcebus_murinus ENSMICG00000015841
prolemur_simus ENSPSMG00000005536
propithecus_coquereli ENSPCOG00000023851
cavia_aperea ENSCAPG00000018018
cavia_porcellus ENSCPOG00000014493
castor_canadensis ENSCCNG00000031002
otolemur_garnettii ENSOGAG00000004741
pteropus_vampyrus ENSPVAG00000001595
cricetulus_griseus_chok1gshd ENSCGRG00001015151
cricetulus_griseus_crigri ENSCGRG00000004685
cricetulus_griseus_crigri-picr ENSCGRG00015000677
mesocricetus_auratus ENSMAUG00000010416
microtus_ochrogaster ENSMOCG00000015559
mus_spicilegus ENSMSIG00000018625
mus_musculus ENSMUSG00000030610
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0029871
mus_pahari MGP_PahariEiJ_G0013093
rattus_norvegicus ENSRNOG00000018515
