apteryx_owenii ENSAOWG00000014866
apteryx_haastii ENSAHAG00000011632
apteryx_rowi ENSARWG00000006182
dromaius_novaehollandiae ENSDNVG00000001345
nothoprocta_perdicaria ENSNPEG00000014598
anas_platyrhynchos_platyrhynchos ENSAPLG00000010388
anser_brachyrhynchus ENSABRG00000020218
gallus_gallus ENSGALG00000050815
meleagris_gallopavo ENSMGAG00000011404
numida_meleagris ENSNMEG00000007906
crocodylus_porosus ENSCPRG00005009589
chelonoidis_abingdonii ENSCABG00000006281
gopherus_agassizii ENSGAGG00000010815
chrysemys_picta_bellii ENSCPBG00000008574
pelodiscus_sinensis ENSPSIG00000013912
anolis_carolinensis ENSACAG00000002096
pogona_vitticeps ENSPVIG00000023633
salvator_merianae ENSSMRG00000009722
