calidris_pygmaea ENSCPGG00000011720
calidris_pugnax ENSCPUG00000007711
melopsittacus_undulatus ENSMUNG00000004933
taeniopygia_guttata ENSTGUG00000012342
lonchura_striata_domestica ENSLSDG00000003851
serinus_canaria ENSSCAG00000006912
junco_hyemalis ENSJHYG00000007110
zonotrichia_albicollis ENSZALG00000014081
ficedula_albicollis ENSFALG00000002321
parus_major ENSPMJG00000011246
cyanistes_caeruleus ENSCCEG00000008387
lepidothrix_coronata ENSLCOG00000009237
manacus_vitellinus ENSMVIG00005012743
anser_brachyrhynchus ENSABRG00000013622
anas_platyrhynchos_platyrhynchos ENSAPLG00000019811
gallus_gallus ENSGALG00000033144
coturnix_japonica ENSCJPG00005005383
meleagris_gallopavo ENSMGAG00000012507
numida_meleagris ENSNMEG00000008010
apteryx_rowi ENSARWG00000002906
apteryx_owenii ENSAOWG00000001028
apteryx_haastii ENSAHAG00000018900
dromaius_novaehollandiae ENSDNVG00000008682
nothoprocta_perdicaria ENSNPEG00000011174
crocodylus_porosus ENSCPRG00005007648
chelonoidis_abingdonii ENSCABG00000004287
gopherus_agassizii ENSGAGG00000025728
chrysemys_picta_bellii ENSCPBG00000015387
pelodiscus_sinensis ENSPSIG00000010714
pogona_vitticeps ENSPVIG00000008023
anolis_carolinensis ENSACAG00000008470
notechis_scutatus ENSNSUG00000012269
salvator_merianae ENSSMRG00000021451
sphenodon_punctatus ENSSPUG00000007412
heterocephalus_glaber_female ENSHGLG00000004760
heterocephalus_glaber_male ENSHGLG00100010307
fukomys_damarensis ENSFDAG00000012115
cavia_porcellus ENSCPOG00000038012
cavia_aperea ENSCAPG00000009819
chinchilla_lanigera ENSCLAG00000010463
octodon_degus ENSODEG00000001378
ictidomys_tridecemlineatus ENSSTOG00000001872
spermophilus_dauricus ENSSDAG00000004058
urocitellus_parryii ENSUPAG00010018089
marmota_marmota_marmota ENSMMMG00000000318
cricetulus_griseus_crigri ENSCGRG00000009724
cricetulus_griseus_crigri-picr ENSCGRG00015026360
cricetulus_griseus_chok1gshd ENSCGRG00001000745
mesocricetus_auratus ENSMAUG00000018641
peromyscus_maniculatus_bairdii ENSPEMG00000028624
microtus_ochrogaster ENSMOCG00000019114
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0020687
mus_spicilegus ENSMSIG00000022424
mus_musculus ENSMUSG00000038591
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0019790
mus_pahari MGP_PahariEiJ_G0019800
rattus_norvegicus ENSRNOG00000008591
nannospalax_galili ENSNGAG00000020596
jaculus_jaculus ENSJJAG00000018490
castor_canadensis ENSCCNG00000006058
oryctolagus_cuniculus ENSOCUG00000024595
ochotona_princeps ENSOPRG00000008813
homo_sapiens ENSG00000184374
gorilla_gorilla ENSGGOG00000007054
pan_troglodytes ENSPTRG00000020529
pan_paniscus ENSPPAG00000043531
pongo_abelii ENSPPYG00000018839
nomascus_leucogenys ENSNLEG00000004892
mandrillus_leucophaeus ENSMLEG00000036370
papio_anubis ENSPANG00000011014
cercocebus_atys ENSCATG00000019671
theropithecus_gelada ENSTGEG00000007640
macaca_mulatta ENSMMUG00000000266
macaca_fascicularis ENSMFAG00000002693
macaca_nemestrina ENSMNEG00000036282
chlorocebus_sabaeus ENSCSAG00000010854
rhinopithecus_roxellana ENSRROG00000022514
rhinopithecus_bieti ENSRBIG00000031148
colobus_angolensis_palliatus ENSCANG00000042708
piliocolobus_tephrosceles ENSPTEG00000034290
callithrix_jacchus ENSCJAG00000047934
saimiri_boliviensis_boliviensis ENSSBOG00000026902
cebus_capucinus ENSCCAG00000024940
aotus_nancymaae ENSANAG00000025495
carlito_syrichta ENSTSYG00000011596
microcebus_murinus ENSMICG00000026547
propithecus_coquereli ENSPCOG00000023253
prolemur_simus ENSPSMG00000022326
otolemur_garnettii ENSOGAG00000002035
tupaia_belangeri ENSTBEG00000001433
ailuropoda_melanoleuca ENSAMEG00000000398
ursus_maritimus ENSUMAG00000020700
neovison_vison ENSNVIG00000006685
mustela_putorius_furo ENSMPUG00000001028
canis_lupus_dingo ENSCAFG00020004344
canis_lupus_familiaris ENSCAFG00000031108
vulpes_vulpes ENSVVUG00000015807
panthera_tigris_altaica ENSPTIG00000012236
panthera_pardus ENSPPRG00000024879
felis_catus ENSFCAG00000038585
erinaceus_europaeus ENSEEUG00000009445
myotis_lucifugus ENSMLUG00000002946
pteropus_vampyrus ENSPVAG00000016015
bos_taurus ENSBTAG00000054331
bos_mutus ENSBMUG00000016512
bison_bison_bison ENSBBBG00000014496
capra_hircus ENSCHIG00000014341
ovis_aries ENSOARG00000009590
tursiops_truncatus ENSTTRG00000007215
sus_scrofa ENSSSCG00000029324
vicugna_pacos ENSVPAG00000000762
equus_caballus ENSECAG00000018266
equus_asinus_asinus ENSEASG00005023124
sorex_araneus ENSSARG00000013378
loxodonta_africana ENSLAFG00000005130
procavia_capensis ENSPCAG00000003486
echinops_telfairi ENSETEG00000010258
choloepus_hoffmanni ENSCHOG00000010197
dasypus_novemcinctus ENSDNOG00000041711
dipodomys_ordii ENSDORG00000004545
notamacropus_eugenii ENSMEUG00000012535
phascolarctos_cinereus ENSPCIG00000011429
monodelphis_domestica ENSMODG00000004030
sarcophilus_harrisii ENSSHAG00000016569
ornithorhynchus_anatinus ENSOANG00000031376
xenopus_tropicalis ENSXETG00000003141
latimeria_chalumnae ENSLACG00000022130
ornithorhynchus_anatinus ENSOANG00000021094
fundulus_heteroclitus ENSFHEG00000016784
cyprinodon_variegatus ENSCVAG00000008789
poecilia_latipinna ENSPLAG00000019465
poecilia_formosa ENSPFOG00000008388
poecilia_reticulata ENSPREG00000010482
poecilia_mexicana ENSPMEG00000018491
gambusia_affinis ENSGAFG00000001072
xiphophorus_maculatus ENSXMAG00000009740
xiphophorus_couchianus ENSXCOG00000016181
kryptolebias_marmoratus ENSKMAG00000019246
oryzias_latipes ENSORLG00000004920
oryzias_latipes ENSORLG00020022642
oryzias_latipes_asm223469v1 ENSORLG00015006921
oryzias_melastigma ENSOMEG00000013125
amphiprion_percula ENSAPEG00000014515
amphiprion_ocellaris ENSAOCG00000005668
acanthochromis_polyacanthus ENSAPOG00000003217
stegastes_partitus ENSSPAG00000010010
astatotilapia_calliptera ENSACLG00000013556
maylandia_zebra ENSMZEG00005025598
pundamilia_nyererei ENSPNYG00000008846
haplochromis_burtoni ENSHBUG00000011431
neolamprologus_brichardi ENSNBRG00000019931
oreochromis_niloticus ENSONIG00000007048
mastacembelus_armatus ENSMAMG00000024010
mola_mola ENSMMOG00000008630
gasterosteus_aculeatus ENSGACG00000006686
