notamacropus_eugenii ENSMEUG00000000854
phascolarctos_cinereus ENSPCIG00000027837
sarcophilus_harrisii ENSSHAG00000016914
monodelphis_domestica ENSMODG00000000151
dasypus_novemcinctus ENSDNOG00000041455
dasypus_novemcinctus ENSDNOG00000038798
choloepus_hoffmanni ENSCHOG00000012629
loxodonta_africana ENSLAFG00000003542
procavia_capensis ENSPCAG00000005294
echinops_telfairi ENSETEG00000001089
capra_hircus ENSCHIG00000007935
ovis_aries ENSOARG00000020348
bos_mutus ENSBMUG00000018700
bos_taurus ENSBTAG00000010774
bison_bison_bison ENSBBBG00000014520
tursiops_truncatus ENSTTRG00000009864
sus_scrofa ENSSSCG00000035544
vicugna_pacos ENSVPAG00000007763
equus_caballus ENSECAG00000016495
equus_asinus_asinus ENSEASG00005016385
sorex_araneus ENSSARG00000009597
myotis_lucifugus ENSMLUG00000009782
myotis_lucifugus ENSMLUG00000006618
pteropus_vampyrus ENSPVAG00000003154
ailuropoda_melanoleuca ENSAMEG00000016762
ursus_maritimus ENSUMAG00000012161
mustela_putorius_furo ENSMPUG00000008844
mustela_putorius_furo ENSMPUG00000002085
vulpes_vulpes ENSVVUG00000012984
canis_lupus_dingo ENSCAFG00020017268
canis_lupus_familiaris ENSCAFG00000009538
canis_lupus_dingo ENSCAFG00020005458
canis_lupus_dingo ENSCAFG00020027315
vulpes_vulpes ENSVVUG00000026714
panthera_tigris_altaica ENSPTIG00000021974
panthera_pardus ENSPPRG00000011514
felis_catus ENSFCAG00000012613
erinaceus_europaeus ENSEEUG00000006600
cavia_porcellus ENSCPOG00000036469
cavia_aperea ENSCAPG00000012630
chinchilla_lanigera ENSCLAG00000012091
heterocephalus_glaber_male ENSHGLG00100012056
heterocephalus_glaber_female ENSHGLG00000015103
dipodomys_ordii ENSDORG00000016209
spermophilus_dauricus ENSSDAG00000021163
marmota_marmota_marmota ENSMMMG00000020560
ictidomys_tridecemlineatus ENSSTOG00000008314
peromyscus_maniculatus_bairdii ENSPEMG00000010171
microtus_ochrogaster ENSMOCG00000000564
cricetulus_griseus_chok1gshd ENSCGRG00001019449
cricetulus_griseus_crigri ENSCGRG00000008626
cricetulus_griseus_crigri-picr ENSCGRG00015024097
mesocricetus_auratus ENSMAUG00000020161
mus_musculus ENSMUSG00000027306
mus_spicilegus ENSMSIG00000026598
