pogona_vitticeps ENSPVIG00000022585
anolis_carolinensis ENSACAG00000008636
notechis_scutatus ENSNSUG00000008466
salvator_merianae ENSSMRG00000006620
sphenodon_punctatus ENSSPUG00000001207
gopherus_agassizii ENSGAGG00000004701
gopherus_agassizii ENSGAGG00000016369
gopherus_agassizii ENSGAGG00000003210
gopherus_agassizii ENSGAGG00000005397
chrysemys_picta ENSCPBG00000009319
chelonoidis_abingdonii ENSCABG00000014937
gopherus_agassizii ENSGAGG00000014390
pelodiscus_sinensis ENSPSIG00000010813
pan_paniscus ENSPPAG00000037251
pan_troglodytes ENSPTRG00000006086
homo_sapiens ENSG00000136319
gorilla_gorilla ENSGGOG00000000370
pongo_abelii ENSPPYG00000005560
nomascus_leucogenys ENSNLEG00000010573
rhinopithecus_bieti ENSRBIG00000040991
rhinopithecus_roxellana ENSRROG00000035322
colobus_angolensis ENSCANG00000037021
piliocolobus_tephrosceles ENSPTEG00000016255
macaca_fascicularis ENSMFAG00000001282
macaca_nemestrina ENSMNEG00000031175
macaca_mulatta ENSMMUG00000016250
mandrillus_leucophaeus ENSMLEG00000030392
papio_anubis ENSPANG00000026179
theropithecus_gelada ENSTGEG00000014280
cercocebus_atys ENSCATG00000033166
chlorocebus_sabaeus ENSCSAG00000016804
saimiri_boliviensis ENSSBOG00000029461
callithrix_jacchus ENSCJAG00000009975
cebus_capucinus ENSCCAG00000025824
aotus_nancymaae ENSANAG00000037060
carlito_syrichta ENSTSYG00000013103
propithecus_coquereli ENSPCOG00000016665
microcebus_murinus ENSMICG00000009403
prolemur_simus ENSPSMG00000020386
otolemur_garnettii ENSOGAG00000016113
cricetulus_griseus ENSCGRG00001013106
cricetulus_griseus ENSCGRG00015001736
cricetulus_griseus ENSCGRG00000006179
mesocricetus_auratus ENSMAUG00000018717
microtus_ochrogaster ENSMOCG00000002006
peromyscus_maniculatus ENSPEMG00000019009
mus_musculus ENSMUSG00000006288
mus_spretus MGP_SPRETEiJ_G0020094
mus_spicilegus ENSMSIG00000019182
mus_spicilegus ENSMSIG00000026924
mus_caroli MGP_CAROLIEiJ_G0019202
mus_pahari MGP_PahariEiJ_G0030225
rattus_norvegicus ENSRNOG00000008850
meriones_unguiculatus ENSMUGG00000015710
nannospalax_galili ENSNGAG00000023094
jaculus_jaculus ENSJJAG00000000234
castor_canadensis ENSCCNG00000026639
dipodomys_ordii ENSDORG00000001577
heterocephalus_glaber ENSHGLG00000018917
heterocephalus_glaber ENSHGLG00100011365
fukomys_damarensis ENSFDAG00000014718
cavia_porcellus ENSCPOG00000009008
cavia_aperea ENSCAPG00000017527
chinchilla_lanigera ENSCLAG00000001467
octodon_degus ENSODEG00000002121
spermophilus_dauricus ENSSDAG00000010192
marmota_marmota ENSMMMG00000001296
urocitellus_parryii ENSUPAG00010008220
ictidomys_tridecemlineatus ENSSTOG00000010021
oryctolagus_cuniculus ENSOCUG00000005343
ochotona_princeps ENSOPRG00000013845
tupaia_belangeri ENSTBEG00000008826
myotis_lucifugus ENSMLUG00000015292
pteropus_vampyrus ENSPVAG00000010728
sorex_araneus ENSSARG00000014460
erinaceus_europaeus ENSEEUG00000008840
capra_hircus ENSCHIG00000022424
ovis_aries ENSOARG00000019785
bos_mutus ENSBMUG00000013074
bos_taurus ENSBTAG00000009372
bison_bison ENSBBBG00000010722
tursiops_truncatus ENSTTRG00000007074
sus_scrofa ENSSSCG00000002145
vicugna_pacos ENSVPAG00000005914
neovison_vison ENSNVIG00000015328
mustela_putorius ENSMPUG00000018128
ursus_americanus ENSUAMG00000014597
ursus_maritimus ENSUMAG00000008098
ailuropoda_melanoleuca ENSAMEG00000005576
panthera_pardus ENSPPRG00000014846
panthera_tigris ENSPTIG00000012407
felis_catus ENSFCAG00000003844
equus_caballus ENSECAG00000012847
equus_asinus ENSEASG00005017444
dasypus_novemcinctus ENSDNOG00000013039
choloepus_hoffmanni ENSCHOG00000000103
loxodonta_africana ENSLAFG00000002482
echinops_telfairi ENSETEG00000002515
canis_lupus ENSCAFG00000005383
canis_lupus ENSCAFG00020014333
vulpes_vulpes ENSVVUG00000008827
echinops_telfairi ENSETEG00000018797
phascolarctos_cinereus ENSPCIG00000014156
sarcophilus_harrisii ENSSHAG00000012449
monodelphis_domestica ENSMODG00000007245
latimeria_chalumnae ENSLACG00000007253
xenopus_tropicalis ENSXETG00000016989
scophthalmus_maximus ENSSMAG00000006280
gasterosteus_aculeatus ENSGACG00000019234
takifugu_rubripes ENSTRUG00000015399
tetraodon_nigroviridis ENSTNIG00000013006
cynoglossus_semilaevis ENSCSEG00000004435
mastacembelus_armatus ENSMAMG00000015917
monopterus_albus ENSMALG00000001023
anabas_testudineus ENSATEG00000001222
periophthalmus_magnuspinnatus ENSPMGG00000018706
seriola_dumerili ENSSDUG00000006134
seriola_lalandi ENSSLDG00000003320
amphiprion_percula ENSAPEG00000006708
amphiprion_ocellaris ENSAOCG00000010776
acanthochromis_polyacanthus ENSAPOG00000013446
stegastes_partitus ENSSPAG00000013476
maylandia_zebra ENSMZEG00005021225
astatotilapia_calliptera ENSACLG00000009701
haplochromis_burtoni ENSHBUG00000019709
pundamilia_nyererei ENSPNYG00000021540
neolamprologus_brichardi ENSNBRG00000023959
oreochromis_niloticus ENSONIG00000009332
amphilophus_citrinellus ENSACIG00000019895
labrus_bergylta ENSLBEG00000020927
mola_mola ENSMMOG00000012721
poecilia_formosa ENSPFOG00000012975
poecilia_mexicana ENSPMEG00000016410
poecilia_latipinna ENSPLAG00000002598
poecilia_reticulata ENSPREG00000005336
xiphophorus_maculatus ENSXMAG00000001425
