loxodonta_africana ENSLAFG00000026749
dasypus_novemcinctus ENSDNOG00000045223
heterocephalus_glaber_male ENSHGLG00100006873
heterocephalus_glaber_female ENSHGLG00000004520
fukomys_damarensis ENSFDAG00000013256
chinchilla_lanigera ENSCLAG00000011137
octodon_degus ENSODEG00000001742
cavia_porcellus ENSCPOG00000023158
cavia_aperea ENSCAPG00000017150
urocitellus_parryii ENSUPAG00010011224
ictidomys_tridecemlineatus ENSSTOG00000023817
marmota_marmota_marmota ENSMMMG00000013718
spermophilus_dauricus ENSSDAG00000007918
castor_canadensis ENSCCNG00000025109
dipodomys_ordii ENSDORG00000023447
mus_musculus ENSMUSG00000022178
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0020150
mus_spicilegus ENSMSIG00000016353
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0019260
mus_pahari MGP_PahariEiJ_G0030279
rattus_norvegicus ENSRNOG00000012791
meriones_unguiculatus ENSMUGG00000010975
cricetulus_griseus_crigri-picr ENSCGRG00015020113
cricetulus_griseus_chok1gshd ENSCGRG00001014156
cricetulus_griseus_crigri ENSCGRG00000016750
mesocricetus_auratus ENSMAUG00000014919
microtus_ochrogaster ENSMOCG00000014127
peromyscus_maniculatus_bairdii ENSPEMG00000019210
nannospalax_galili ENSNGAG00000020767
jaculus_jaculus ENSJJAG00000019727
tupaia_belangeri ENSTBEG00000012343
ochotona_princeps ENSOPRG00000016730
pan_paniscus ENSPPAG00000031512
pan_troglodytes ENSPTRG00000006154
homo_sapiens ENSG00000129474
gorilla_gorilla ENSGGOG00000014539
pongo_abelii ENSPPYG00000005652
nomascus_leucogenys ENSNLEG00000014877
nomascus_leucogenys ENSNLEG00000036289
piliocolobus_tephrosceles ENSPTEG00000019505
colobus_angolensis_palliatus ENSCANG00000042060
rhinopithecus_roxellana ENSRROG00000040110
rhinopithecus_bieti ENSRBIG00000039769
cercocebus_atys ENSCATG00000032482
mandrillus_leucophaeus ENSMLEG00000001372
theropithecus_gelada ENSTGEG00000018993
papio_anubis ENSPANG00000011738
macaca_mulatta ENSMMUG00000008475
macaca_nemestrina ENSMNEG00000033852
macaca_fascicularis ENSMFAG00000032412
chlorocebus_sabaeus ENSCSAG00000016121
saimiri_boliviensis_boliviensis ENSSBOG00000028963
cebus_capucinus ENSCCAG00000035773
callithrix_jacchus ENSCJAG00000008376
aotus_nancymaae ENSANAG00000032654
carlito_syrichta ENSTSYG00000005841
microcebus_murinus ENSMICG00000009193
prolemur_simus ENSPSMG00000006254
propithecus_coquereli ENSPCOG00000016135
otolemur_garnettii ENSOGAG00000034052
equus_caballus ENSECAG00000009971
equus_asinus_asinus ENSEASG00005011699
pteropus_vampyrus ENSPVAG00000013795
bos_mutus ENSBMUG00000018267
bos_taurus ENSBTAG00000012724
bison_bison_bison ENSBBBG00000023373
capra_hircus ENSCHIG00000025926
ovis_aries ENSOARG00000019387
tursiops_truncatus ENSTTRG00000001503
vicugna_pacos ENSVPAG00000009279
sus_scrofa ENSSSCG00000029201
ursus_americanus ENSUAMG00000008548
ursus_maritimus ENSUMAG00000014092
ailuropoda_melanoleuca ENSAMEG00000007445
mustela_putorius_furo ENSMPUG00000007116
neovison_vison ENSNVIG00000021037
canis_lupus_familiaris ENSCAFG00000011267
canis_lupus_dingo ENSCAFG00020007676
vulpes_vulpes ENSVVUG00000019846
panthera_pardus ENSPPRG00000011047
panthera_tigris_altaica ENSPTIG00000013120
felis_catus ENSFCAG00000006641
myotis_lucifugus ENSMLUG00000012944
sorex_araneus ENSSARG00000011049
echinops_telfairi ENSETEG00000017920
choloepus_hoffmanni ENSCHOG00000008446
notamacropus_eugenii ENSMEUG00000005332
phascolarctos_cinereus ENSPCIG00000027770
sarcophilus_harrisii ENSSHAG00000013280
ornithorhynchus_anatinus ENSOANG00000010720
oryctolagus_cuniculus ENSOCUG00000001058
latimeria_chalumnae ENSLACG00000010809
takifugu_rubripes ENSTRUG00000008572
tetraodon_nigroviridis ENSTNIG00000013840
cynoglossus_semilaevis ENSCSEG00000004370
cyprinodon_variegatus ENSCVAG00000009826
labrus_bergylta ENSLBEG00000001589
mola_mola ENSMMOG00000012776
mastacembelus_armatus ENSMAMG00000015677
monopterus_albus ENSMALG00000014901
anabas_testudineus ENSATEG00000001635
seriola_lalandi_dorsalis ENSSLDG00000004032
seriola_dumerili ENSSDUG00000006410
scophthalmus_maximus ENSSMAG00000005913
amphiprion_percula ENSAPEG00000005258
amphiprion_ocellaris ENSAOCG00000018617
acanthochromis_polyacanthus ENSAPOG00000019211
stegastes_partitus ENSSPAG00000008454
maylandia_zebra ENSMZEG00005020956
astatotilapia_calliptera ENSACLG00000011074
haplochromis_burtoni ENSHBUG00000020192
pundamilia_nyererei ENSPNYG00000005341
neolamprologus_brichardi ENSNBRG00000023426
oreochromis_niloticus ENSONIG00000017951
amphilophus_citrinellus ENSACIG00000006180
xiphophorus_maculatus ENSXMAG00000001581
xiphophorus_couchianus ENSXCOG00000000608
poecilia_formosa ENSPFOG00000009281
poecilia_mexicana ENSPMEG00000014419
poecilia_latipinna ENSPLAG00000021363
poecilia_reticulata ENSPREG00000004806
gambusia_affinis ENSGAFG00000003502
fundulus_heteroclitus ENSFHEG00000019560
cyprinodon_variegatus ENSCVAG00000007253
kryptolebias_marmoratus ENSKMAG00000011919
oryzias_latipes ENSORLG00000007329
oryzias_latipes_asm223469v1 ENSORLG00015000132
oryzias_latipes ENSORLG00020007556
oryzias_melastigma ENSOMEG00000001012
hippocampus_comes ENSHCOG00000010600
periophthalmus_magnuspinnatus ENSPMGG00000018771
gadus_morhua ENSGMOG00000015801
esox_lucius ENSELUG00000003415
astyanax_mexicanus ENSAMXG00000003875
pygocentrus_nattereri ENSPNAG00000022017
ictalurus_punctatus ENSIPUG00000006533
danio_rerio ENSDARG00000077842
paramormyrops_kingsleyae ENSPKIG00000007050
scleropages_formosus ENSSFOG00015006472
