pan_paniscus ENSPPAG00000025104
pan_troglodytes ENSPTRG00000050483
gorilla_gorilla ENSGGOG00000041604
nomascus_leucogenys ENSNLEG00000030962
cebus_capucinus ENSCCAG00000022717
saimiri_boliviensis_boliviensis ENSSBOG00000027415
callithrix_jacchus ENSCJAG00000042504
aotus_nancymaae ENSANAG00000023897
carlito_syrichta ENSTSYG00000030979
propithecus_coquereli ENSPCOG00000015130
microcebus_murinus ENSMICG00000044834
prolemur_simus ENSPSMG00000016480
castor_canadensis ENSCCNG00000009395
dipodomys_ordii ENSDORG00000023484
heterocephalus_glaber_female ENSHGLG00000001916
heterocephalus_glaber_male ENSHGLG00100013554
octodon_degus ENSODEG00000008845
cavia_porcellus ENSCPOG00000030796
cricetulus_griseus_crigri ENSCGRG00000001808
cricetulus_griseus_chok1gshd ENSCGRG00001000063
mesocricetus_auratus ENSMAUG00000020512
microtus_ochrogaster ENSMOCG00000017693
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0030846
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0031956
mus_musculus ENSMUSG00000090336
mus_pahari MGP_PahariEiJ_G0021309
meriones_unguiculatus ENSMUGG00000017328
jaculus_jaculus ENSJJAG00000012456
panthera_tigris_altaica ENSPTIG00000016536
panthera_pardus ENSPPRG00000014572
felis_catus ENSFCAG00000040167
neovison_vison ENSNVIG00000020840
bos_mutus ENSBMUG00000023601
bos_taurus ENSBTAG00000050250
bison_bison_bison ENSBBBG00000020227
equus_caballus ENSECAG00000038480
phascolarctos_cinereus ENSPCIG00000012510
