paramormyrops_kingsleyae ENSPKIG00000015112
scleropages_formosus ENSSFOG00015005187
pygocentrus_nattereri ENSPNAG00000005752
astyanax_mexicanus ENSAMXG00000021599
ictalurus_punctatus ENSIPUG00000015148
danio_rerio ENSDARG00000100908
hippocampus_comes ENSHCOG00000008968
periophthalmus_magnuspinnatus ENSPMGG00000016122
scophthalmus_maximus ENSSMAG00000021106
cynoglossus_semilaevis ENSCSEG00000020831
seriola_dumerili ENSSDUG00000013796
seriola_lalandi_dorsalis ENSSLDG00000018540
monopterus_albus ENSMALG00000008259
mastacembelus_armatus ENSMAMG00000003066
anabas_testudineus ENSATEG00000022021
fundulus_heteroclitus ENSFHEG00000002734
cyprinodon_variegatus ENSCVAG00000002875
gambusia_affinis ENSGAFG00000004949
xiphophorus_maculatus ENSXMAG00000027531
xiphophorus_couchianus ENSXCOG00000011808
poecilia_latipinna ENSPLAG00000016717
poecilia_formosa ENSPFOG00000009902
poecilia_reticulata ENSPREG00000021295
poecilia_mexicana ENSPMEG00000004672
oryzias_latipes ENSORLG00000000044
oryzias_latipes_asm223469v1 ENSORLG00015021479
oryzias_latipes ENSORLG00020000620
oryzias_melastigma ENSOMEG00000011452
oreochromis_niloticus ENSONIG00000000255
astatotilapia_calliptera ENSACLG00000011857
maylandia_zebra ENSMZEG00005014560
pundamilia_nyererei ENSPNYG00000001040
haplochromis_burtoni ENSHBUG00000016442
neolamprologus_brichardi ENSNBRG00000006539
amphilophus_citrinellus ENSACIG00000020408
kryptolebias_marmoratus ENSKMAG00000006202
amphiprion_percula ENSAPEG00000010271
amphiprion_ocellaris ENSAOCG00000016246
amphiprion_ocellaris ENSAOCG00000007339
acanthochromis_polyacanthus ENSAPOG00000019460
stegastes_partitus ENSSPAG00000003648
takifugu_rubripes ENSTRUG00000006194
tetraodon_nigroviridis ENSTNIG00000003614
mola_mola ENSMMOG00000017916
labrus_bergylta ENSLBEG00000028529
esox_lucius ENSELUG00000019575
lepisosteus_oculatus ENSLOCG00000012823
chelonoidis_abingdonii ENSCABG00000016649
pelodiscus_sinensis ENSPSIG00000009179
meleagris_gallopavo ENSMGAG00000009953
coturnix_japonica ENSCJPG00005019737
anas_platyrhynchos_platyrhynchos ENSAPLG00000019156
taeniopygia_guttata ENSTGUG00000009834
serinus_canaria ENSSCAG00000016579
ficedula_albicollis ENSFALG00000008484
manacus_vitellinus ENSMVIG00005018581
manacus_vitellinus ENSMVIG00005004067
lepidothrix_coronata ENSLCOG00000016495
apteryx_rowi ENSARWG00000000843
apteryx_owenii ENSAOWG00000005302
nothoprocta_perdicaria ENSNPEG00000009046
notechis_scutatus ENSNSUG00000007044
anolis_carolinensis ENSACAG00000012432
sphenodon_punctatus ENSSPUG00000012101
monodelphis_domestica ENSMODG00000004531
sarcophilus_harrisii ENSSHAG00000018667
chlorocebus_sabaeus ENSCSAG00000006043
carlito_syrichta ENSTSYG00000006802
ursus_americanus ENSUAMG00000027851
ursus_maritimus ENSUMAG00000021531
ailuropoda_melanoleuca ENSAMEG00000000186
canis_lupus_dingo ENSCAFG00020005797
canis_lupus_familiaris ENSCAFG00000008905
equus_asinus_asinus ENSEASG00005009257
erinaceus_europaeus ENSEEUG00000007507
sorex_araneus ENSSARG00000008230
ovis_aries ENSOARG00000008725
bison_bison_bison ENSBBBG00000021693
tursiops_truncatus ENSTTRG00000009856
vicugna_pacos ENSVPAG00000007583
myotis_lucifugus ENSMLUG00000000494
octodon_degus ENSODEG00000016073
fukomys_damarensis ENSFDAG00000016222
cavia_porcellus ENSCPOG00000005739
cavia_aperea ENSCAPG00000009516
spermophilus_dauricus ENSSDAG00000023284
marmota_marmota_marmota ENSMMMG00000021452
ochotona_princeps ENSOPRG00000014745
otolemur_garnettii ENSOGAG00000008137
pteropus_vampyrus ENSPVAG00000003364
loxodonta_africana ENSLAFG00000014271
castor_canadensis ENSCCNG00000025763
dipodomys_ordii ENSDORG00000029222
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0023872
mus_musculus ENSMUSG00000025019
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0022951
mus_pahari MGP_PahariEiJ_G0014441
meriones_unguiculatus ENSMUGG00000011800
cricetulus_griseus_crigri ENSCGRG00000008899
cricetulus_griseus_chok1gshd ENSCGRG00001020516
mesocricetus_auratus ENSMAUG00000021613
microtus_ochrogaster ENSMOCG00000016297
peromyscus_maniculatus_bairdii ENSPEMG00000005693
nannospalax_galili ENSNGAG00000014867
jaculus_jaculus ENSJJAG00000010901
tupaia_belangeri ENSTBEG00000005837
echinops_telfairi ENSETEG00000015066
procavia_capensis ENSPCAG00000007084
choloepus_hoffmanni ENSCHOG00000001981
ornithorhynchus_anatinus ENSOANG00000013408
latimeria_chalumnae ENSLACG00000001265
monopterus_albus ENSMALG00000017343
anabas_testudineus ENSATEG00000000532
amphiprion_ocellaris ENSAOCG00000005501
acanthochromis_polyacanthus ENSAPOG00000020337
stegastes_partitus ENSSPAG00000013113
gasterosteus_aculeatus ENSGACG00000007469
astatotilapia_calliptera ENSACLG00000009527
maylandia_zebra ENSMZEG00005027756
pundamilia_nyererei ENSPNYG00000008602
haplochromis_burtoni ENSHBUG00000002221
oreochromis_niloticus ENSONIG00000018331
amphilophus_citrinellus ENSACIG00000022148
mola_mola ENSMMOG00000010589
seriola_dumerili ENSSDUG00000008112
scophthalmus_maximus ENSSMAG00000003337
poecilia_mexicana ENSPMEG00000005412
poecilia_reticulata ENSPREG00000020012
xiphophorus_couchianus ENSXCOG00000012241
xiphophorus_maculatus ENSXMAG00000002515
kryptolebias_marmoratus ENSKMAG00000021243
cynoglossus_semilaevis ENSCSEG00000008442
periophthalmus_magnuspinnatus ENSPMGG00000020345
gadus_morhua ENSGMOG00000018278
esox_lucius ENSELUG00000021386
oryzias_latipes ENSORLG00000030348
oryzias_latipes_asm223469v1 ENSORLG00015000224
oryzias_latipes ENSORLG00020003164
oryzias_melastigma ENSOMEG00000003116
neolamprologus_brichardi ENSNBRG00000021544
seriola_lalandi_dorsalis ENSSLDG00000019112
mastacembelus_armatus ENSMAMG00000001729
labrus_bergylta ENSLBEG00000024501
cyprinodon_variegatus ENSCVAG00000002579
fundulus_heteroclitus ENSFHEG00000000080
poecilia_latipinna ENSPLAG00000007279
poecilia_formosa ENSPFOG00000013017
gambusia_affinis ENSGAFG00000009319
ictalurus_punctatus ENSIPUG00000006502
pygocentrus_nattereri ENSPNAG00000019837
danio_rerio ENSDARG00000094249
xenopus_tropicalis ENSXETG00000025995
anabas_testudineus ENSATEG00000000539
hippocampus_comes ENSHCOG00000018739
cynoglossus_semilaevis ENSCSEG00000006294
amphiprion_percula ENSAPEG00000014735
mastacembelus_armatus ENSMAMG00000003048
acanthochromis_polyacanthus ENSAPOG00000001330
seriola_lalandi_dorsalis ENSSLDG00000018527
seriola_dumerili ENSSDUG00000013787
amphilophus_citrinellus ENSACIG00000020394
pundamilia_nyererei ENSPNYG00000001023
stegastes_partitus ENSSPAG00000003633
poecilia_mexicana ENSPMEG00000004069
poecilia_reticulata ENSPREG00000021280
xiphophorus_couchianus ENSXCOG00000011813
cyprinodon_variegatus ENSCVAG00000002883
fundulus_heteroclitus ENSFHEG00000002691
cynoglossus_semilaevis ENSCSEG00000020830
amphiprion_percula ENSAPEG00000010248
neolamprologus_brichardi ENSNBRG00000006555
hippocampus_comes ENSHCOG00000008944
astyanax_mexicanus ENSAMXG00000038272
equus_asinus_asinus ENSEASG00005009259
bos_taurus ENSBTAG00000055267
urocitellus_parryii ENSUPAG00010014178
theropithecus_gelada ENSTGEG00000014510
prolemur_simus ENSPSMG00000007301
lepidothrix_coronata ENSLCOG00000016494
calidris_pygmaea ENSCPGG00000005529
chrysemys_picta_bellii ENSCPBG00000005413
notechis_scutatus ENSNSUG00000007043
salvator_merianae ENSSMRG00000021675
