cynoglossus_semilaevis ENSCSEG00000009740
mola_mola ENSMMOG00000005402
stegastes_partitus ENSSPAG00000021647
cyprinodon_variegatus ENSCVAG00000003141
poecilia_latipinna ENSPLAG00000022717
poecilia_reticulata ENSPREG00000011367
gambusia_affinis ENSGAFG00000017095
neolamprologus_brichardi ENSNBRG00000023950
tetraodon_nigroviridis ENSTNIG00000005368
periophthalmus_magnuspinnatus ENSPMGG00000022022
esox_lucius ENSELUG00000022645
astyanax_mexicanus ENSAMXG00000034959
scleropages_formosus ENSSFOG00015014708
scleropages_formosus ENSSFOG00015012539
