gasterosteus_aculeatus ENSGACG00000008678
mola_mola ENSMMOG00000018812
labrus_bergylta ENSLBEG00000003961
seriola_dumerili ENSSDUG00000015614
seriola_lalandi ENSSLDG00000018682
scophthalmus_maximus ENSSMAG00000002231
mastacembelus_armatus ENSMAMG00000022809
monopterus_albus ENSMALG00000014867
anabas_testudineus ENSATEG00000009290
poecilia_latipinna ENSPLAG00000004135
poecilia_formosa ENSPFOG00000016783
poecilia_mexicana ENSPMEG00000005935
poecilia_reticulata ENSPREG00000013687
xiphophorus_maculatus ENSXMAG00000010676
xiphophorus_couchianus ENSXCOG00000004930
gambusia_affinis ENSGAFG00000004569
fundulus_heteroclitus ENSFHEG00000020243
cyprinodon_variegatus ENSCVAG00000003616
kryptolebias_marmoratus ENSKMAG00000005619
oryzias_latipes ENSORLG00015019613
oryzias_latipes ENSORLG00000000533
oryzias_latipes ENSORLG00020004601
oryzias_melastigma ENSOMEG00000013218
astatotilapia_calliptera ENSACLG00000021130
haplochromis_burtoni ENSHBUG00000017243
pundamilia_nyererei ENSPNYG00000007456
maylandia_zebra ENSMZEG00005025180
neolamprologus_brichardi ENSNBRG00000013427
oreochromis_niloticus ENSONIG00000005484
amphiprion_percula ENSAPEG00000016998
amphiprion_ocellaris ENSAOCG00000019530
stegastes_partitus ENSSPAG00000020736
acanthochromis_polyacanthus ENSAPOG00000017604
takifugu_rubripes ENSTRUG00000016344
tetraodon_nigroviridis ENSTNIG00000010411
cynoglossus_semilaevis ENSCSEG00000001550
hippocampus_comes ENSHCOG00000009768
periophthalmus_magnuspinnatus ENSPMGG00000012478
gadus_morhua ENSGMOG00000019307
esox_lucius ENSELUG00000001465
pygocentrus_nattereri ENSPNAG00000016080
astyanax_mexicanus ENSAMXG00000000913
ictalurus_punctatus ENSIPUG00000019438
danio_rerio ENSDARG00000061899
paramormyrops_kingsleyae ENSPKIG00000021186
scleropages_formosus ENSSFOG00015011787
lepisosteus_oculatus ENSLOCG00000015872
apteryx_owenii ENSAOWG00000000430
apteryx_rowi ENSARWG00000005333
apteryx_haastii ENSAHAG00000001765
dromaius_novaehollandiae ENSDNVG00000015799
nothoprocta_perdicaria ENSNPEG00000001320
calidris_pugnax ENSCPUG00000012655
calidris_pygmaea ENSCPGG00000004614
melopsittacus_undulatus ENSMUNG00000016880
lepidothrix_coronata ENSLCOG00000014105
manacus_vitellinus ENSMVIG00005005006
parus_major ENSPMJG00000009955
cyanistes_caeruleus ENSCCEG00000017368
ficedula_albicollis ENSFALG00000009903
lonchura_striata ENSLSDG00000004208
taeniopygia_guttata ENSTGUG00000004331
junco_hyemalis ENSJHYG00000014617
zonotrichia_albicollis ENSZALG00000007066
serinus_canaria ENSSCAG00000003666
anser_brachyrhynchus ENSABRG00000013138
anas_platyrhynchos ENSAPLG00000014571
gallus_gallus ENSGALG00000008823
coturnix_japonica ENSCJPG00005012108
meleagris_gallopavo ENSMGAG00000008434
numida_meleagris ENSNMEG00000009247
crocodylus_porosus ENSCPRG00005010863
