chelonoidis_abingdonii ENSCABG00000003230
gopherus_agassizii ENSGAGG00000023273
chrysemys_picta_bellii ENSCPBG00000013984
pogona_vitticeps ENSPVIG00000017114
anolis_carolinensis ENSACAG00000016820
notechis_scutatus ENSNSUG00000016036
salvator_merianae ENSSMRG00000015630
loxodonta_africana ENSLAFG00000026085
procavia_capensis ENSPCAG00000002195
pteropus_vampyrus ENSPVAG00000004602
myotis_lucifugus ENSMLUG00000016239
equus_asinus_asinus ENSEASG00005004599
equus_caballus ENSECAG00000020060
tursiops_truncatus ENSTTRG00000001767
sus_scrofa ENSSSCG00000013622
bison_bison_bison ENSBBBG00000017753
bos_taurus ENSBTAG00000016429
ovis_aries ENSOARG00000018172
capra_hircus ENSCHIG00000007462
bison_bison_bison ENSBBBG00000024154
canis_lupus_dingo ENSCAFG00020004403
canis_lupus_familiaris ENSCAFG00000017434
vulpes_vulpes ENSVVUG00000023591
neovison_vison ENSNVIG00000002649
mustela_putorius_furo ENSMPUG00000005603
ursus_americanus ENSUAMG00000027046
ursus_maritimus ENSUMAG00000019598
ailuropoda_melanoleuca ENSAMEG00000010673
panthera_pardus ENSPPRG00000009815
panthera_tigris_altaica ENSPTIG00000014982
felis_catus ENSFCAG00000040229
cebus_capucinus ENSCCAG00000036980
saimiri_boliviensis_boliviensis ENSSBOG00000034810
callithrix_jacchus ENSCJAG00000005753
aotus_nancymaae ENSANAG00000030778
gorilla_gorilla ENSGGOG00000014202
homo_sapiens ENSG00000105518
pan_troglodytes ENSPTRG00000010498
pan_paniscus ENSPPAG00000039124
pongo_abelii ENSPPYG00000009576
nomascus_leucogenys ENSNLEG00000012497
macaca_fascicularis ENSMFAG00000035635
macaca_mulatta ENSMMUG00000011313
macaca_nemestrina ENSMNEG00000039747
papio_anubis ENSPANG00000011041
theropithecus_gelada ENSTGEG00000027002
cercocebus_atys ENSCATG00000034192
mandrillus_leucophaeus ENSMLEG00000042437
chlorocebus_sabaeus ENSCSAG00000006818
rhinopithecus_roxellana ENSRROG00000036667
rhinopithecus_bieti ENSRBIG00000030734
piliocolobus_tephrosceles ENSPTEG00000036266
colobus_angolensis_palliatus ENSCANG00000039154
carlito_syrichta ENSTSYG00000034571
propithecus_coquereli ENSPCOG00000008682
microcebus_murinus ENSMICG00000044601
prolemur_simus ENSPSMG00000019755
otolemur_garnettii ENSOGAG00000026697
otolemur_garnettii ENSOGAG00000034046
castor_canadensis ENSCCNG00000009686
dipodomys_ordii ENSDORG00000002522
microtus_ochrogaster ENSMOCG00000003259
peromyscus_maniculatus_bairdii ENSPEMG00000020320
cricetulus_griseus_chok1gshd ENSCGRG00001022126
cricetulus_griseus_crigri ENSCGRG00000005506
mus_musculus ENSMUSG00000040883
mus_spicilegus ENSMSIG00000014964
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0033010
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0031886
mus_pahari MGP_PahariEiJ_G0014752
rattus_norvegicus ENSRNOG00000011747
meriones_unguiculatus ENSMUGG00000019576
nannospalax_galili ENSNGAG00000017217
jaculus_jaculus ENSJJAG00000000261
spermophilus_dauricus ENSSDAG00000007709
urocitellus_parryii ENSUPAG00010007186
ictidomys_tridecemlineatus ENSSTOG00000005779
marmota_marmota_marmota ENSMMMG00000020116
heterocephalus_glaber_male ENSHGLG00100007968
heterocephalus_glaber_female ENSHGLG00000014918
fukomys_damarensis ENSFDAG00000009771
cavia_porcellus ENSCPOG00000026260
cavia_aperea ENSCAPG00000014465
octodon_degus ENSODEG00000016141
chinchilla_lanigera ENSCLAG00000007329
oryctolagus_cuniculus ENSOCUG00000008744
ochotona_princeps ENSOPRG00000009737
dasypus_novemcinctus ENSDNOG00000017231
phascolarctos_cinereus ENSPCIG00000036313
ornithorhynchus_anatinus ENSOANG00000007322
xenopus_tropicalis ENSXETG00000007927
paramormyrops_kingsleyae ENSPKIG00000007544
scleropages_formosus ENSSFOG00015014619
mola_mola ENSMMOG00000006241
labrus_bergylta ENSLBEG00000007554
gasterosteus_aculeatus ENSGACG00000006448
mastacembelus_armatus ENSMAMG00000010854
monopterus_albus ENSMALG00000001466
anabas_testudineus ENSATEG00000013257
poecilia_latipinna ENSPLAG00000010573
poecilia_mexicana ENSPMEG00000014236
poecilia_formosa ENSPFOG00000003360
poecilia_reticulata ENSPREG00000013320
xiphophorus_maculatus ENSXMAG00000027455
xiphophorus_couchianus ENSXCOG00000015453
gambusia_affinis ENSGAFG00000013869
fundulus_heteroclitus ENSFHEG00000009119
kryptolebias_marmoratus ENSKMAG00000007353
oryzias_latipes ENSORLG00000019136
oryzias_latipes ENSORLG00020000704
