cavia_porcellus ENSCPOG00000032310
cavia_aperea ENSCAPG00000001149
chinchilla_lanigera ENSCLAG00000004115
octodon_degus ENSODEG00000015237
heterocephalus_glaber_female ENSHGLG00000013068
heterocephalus_glaber_male ENSHGLG00100013145
heterocephalus_glaber_male ENSHGLG00100015068
heterocephalus_glaber_female ENSHGLG00000001673
fukomys_damarensis ENSFDAG00000010349
ictidomys_tridecemlineatus ENSSTOG00000026336
urocitellus_parryii ENSUPAG00010023723
spermophilus_dauricus ENSSDAG00000001129
marmota_marmota_marmota ENSMMMG00000014361
cricetulus_griseus_crigri-picr ENSCGRG00015008870
cricetulus_griseus_crigri ENSCGRG00000009634
cricetulus_griseus_chok1gshd ENSCGRG00001011807
mesocricetus_auratus ENSMAUG00000018013
peromyscus_maniculatus_bairdii ENSPEMG00000008447
microtus_ochrogaster ENSMOCG00000016076
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0032636
mus_spicilegus ENSMSIG00000005329
mus_musculus ENSMUSG00000031907
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0031518
mus_pahari MGP_PahariEiJ_G0023118
rattus_norvegicus ENSRNOG00000020087
meriones_unguiculatus ENSMUGG00000017266
nannospalax_galili ENSNGAG00000017895
jaculus_jaculus ENSJJAG00000006828
dipodomys_ordii ENSDORG00000010290
oryctolagus_cuniculus ENSOCUG00000011646
ochotona_princeps ENSOPRG00000013511
pan_troglodytes ENSPTRG00000042517
pan_paniscus ENSPPAG00000035111
gorilla_gorilla ENSGGOG00000002815
homo_sapiens ENSG00000184939
pongo_abelii ENSPPYG00000007491
nomascus_leucogenys ENSNLEG00000005294
cercocebus_atys ENSCATG00000033096
mandrillus_leucophaeus ENSMLEG00000034500
theropithecus_gelada ENSTGEG00000008691
piliocolobus_tephrosceles ENSPTEG00000011576
macaca_fascicularis ENSMFAG00000026158
macaca_nemestrina ENSMNEG00000042243
macaca_mulatta ENSMMUG00000041138
colobus_angolensis_palliatus ENSCANG00000040155
papio_anubis ENSPANG00000024395
chlorocebus_sabaeus ENSCSAG00000004087
rhinopithecus_bieti ENSRBIG00000028188
rhinopithecus_roxellana ENSRROG00000042398
cebus_capucinus ENSCCAG00000037826
saimiri_boliviensis_boliviensis ENSSBOG00000032677
callithrix_jacchus ENSCJAG00000015605
aotus_nancymaae ENSANAG00000027109
carlito_syrichta ENSTSYG00000003171
microcebus_murinus ENSMICG00000042833
prolemur_simus ENSPSMG00000014121
propithecus_coquereli ENSPCOG00000024319
otolemur_garnettii ENSOGAG00000024593
ursus_americanus ENSUAMG00000021075
ursus_maritimus ENSUMAG00000018954
ailuropoda_melanoleuca ENSAMEG00000007863
neovison_vison ENSNVIG00000008673
mustela_putorius_furo ENSMPUG00000007045
canis_lupus_familiaris ENSCAFG00000020307
canis_lupus_dingo ENSCAFG00020019832
vulpes_vulpes ENSVVUG00000013104
panthera_pardus ENSPPRG00000014401
panthera_tigris_altaica ENSPTIG00000007143
felis_catus ENSFCAG00000033261
equus_caballus ENSECAG00000007748
equus_asinus_asinus ENSEASG00005020836
bos_mutus ENSBMUG00000001898
bison_bison_bison ENSBBBG00000016250
bos_taurus ENSBTAG00000007488
ovis_aries ENSOARG00000003429
capra_hircus ENSCHIG00000009402
bos_mutus ENSBMUG00000001915
tursiops_truncatus ENSTTRG00000011556
sus_scrofa ENSSSCG00000032372
vicugna_pacos ENSVPAG00000001306
pteropus_vampyrus ENSPVAG00000016633
myotis_lucifugus ENSMLUG00000004188
choloepus_hoffmanni ENSCHOG00000007618
dasypus_novemcinctus ENSDNOG00000016489
loxodonta_africana ENSLAFG00000006739
procavia_capensis ENSPCAG00000002521
