haplochromis_burtoni ENSHBUG00000008786
pundamilia_nyererei ENSPNYG00000013155
maylandia_zebra ENSMZEG00005005601
astatotilapia_calliptera ENSACLG00000019869
neolamprologus_brichardi ENSNBRG00000005691
oreochromis_niloticus ENSONIG00000011497
amphilophus_citrinellus ENSACIG00000015840
amphiprion_ocellaris ENSAOCG00000006890
amphiprion_percula ENSAPEG00000009790
acanthochromis_polyacanthus ENSAPOG00000000594
stegastes_partitus ENSSPAG00000015128
oryzias_latipes ENSORLG00020016426
oryzias_latipes ENSORLG00000005773
oryzias_latipes_asm223469v1 ENSORLG00015012170
oryzias_melastigma ENSOMEG00000017517
gasterosteus_aculeatus ENSGACG00000006225
anabas_testudineus ENSATEG00000025039
cynoglossus_semilaevis ENSCSEG00000018934
seriola_dumerili ENSSDUG00000019733
seriola_lalandi_dorsalis ENSSLDG00000017145
mastacembelus_armatus ENSMAMG00000008778
monopterus_albus ENSMALG00000010785
labrus_bergylta ENSLBEG00000012422
mola_mola ENSMMOG00000006197
scophthalmus_maximus ENSSMAG00000011653
poecilia_formosa ENSPFOG00000022821
poecilia_latipinna ENSPLAG00000012876
poecilia_mexicana ENSPMEG00000021463
poecilia_reticulata ENSPREG00000009085
xiphophorus_couchianus ENSXCOG00000013890
xiphophorus_maculatus ENSXMAG00000006012
gambusia_affinis ENSGAFG00000014101
fundulus_heteroclitus ENSFHEG00000016553
cyprinodon_variegatus ENSCVAG00000008722
kryptolebias_marmoratus ENSKMAG00000013426
periophthalmus_magnuspinnatus ENSPMGG00000008547
tetraodon_nigroviridis ENSTNIG00000007043
takifugu_rubripes ENSTRUG00000022506
hippocampus_comes ENSHCOG00000020829
gadus_morhua ENSGMOG00000007879
esox_lucius ENSELUG00000022170
ictalurus_punctatus ENSIPUG00000014876
astyanax_mexicanus ENSAMXG00000024730
pygocentrus_nattereri ENSPNAG00000006417
danio_rerio ENSDARG00000006307
paramormyrops_kingsleyae ENSPKIG00000017242
scleropages_formosus ENSSFOG00015018521
lepisosteus_oculatus ENSLOCG00000010094
chelonoidis_abingdonii ENSCABG00000020707
gopherus_agassizii ENSGAGG00000017772
chrysemys_picta_bellii ENSCPBG00000009197
pelodiscus_sinensis ENSPSIG00000006913
anolis_carolinensis ENSACAG00000005028
pogona_vitticeps ENSPVIG00000007427
notechis_scutatus ENSNSUG00000002846
salvator_merianae ENSSMRG00000003322
sphenodon_punctatus ENSSPUG00000007725
bos_taurus ENSBTAG00000050933
bos_mutus ENSBMUG00000018322
capra_hircus ENSCHIG00000013427
ovis_aries ENSOARG00000000111
sus_scrofa ENSSSCG00000031981
tursiops_truncatus ENSTTRG00000005970
sorex_araneus ENSSARG00000005239
cercocebus_atys ENSCATG00000038919
mandrillus_leucophaeus ENSMLEG00000034649
macaca_fascicularis ENSMFAG00000045544
macaca_nemestrina ENSMNEG00000041267
macaca_mulatta ENSMMUG00000001921
papio_anubis ENSPANG00000009053
theropithecus_gelada ENSTGEG00000020237
chlorocebus_sabaeus ENSCSAG00000014044
nomascus_leucogenys ENSNLEG00000018087
pan_troglodytes ENSPTRG00000001839
pan_paniscus ENSPPAG00000041154
gorilla_gorilla ENSGGOG00000006801
pongo_abelii ENSPPYG00000000358
piliocolobus_tephrosceles ENSPTEG00000027409
colobus_angolensis_palliatus ENSCANG00000041499
rhinopithecus_bieti ENSRBIG00000038365
rhinopithecus_roxellana ENSRROG00000024414
homo_sapiens ENSG00000198892
saimiri_boliviensis_boliviensis ENSSBOG00000029406
callithrix_jacchus ENSCJAG00000040532
cebus_capucinus ENSCCAG00000010420
aotus_nancymaae ENSANAG00000033085
felis_catus ENSFCAG00000000445
panthera_pardus ENSPPRG00000004936
mustela_putorius_furo ENSMPUG00000010884
neovison_vison ENSNVIG00000014476
ursus_americanus ENSUAMG00000020096
vulpes_vulpes ENSVVUG00000006311
canis_lupus_dingo ENSCAFG00020016204
ailuropoda_melanoleuca ENSAMEG00000012048
panthera_tigris_altaica ENSPTIG00000012401
equus_caballus ENSECAG00000021280
equus_asinus_asinus ENSEASG00005019906
heterocephalus_glaber_female ENSHGLG00000009993
heterocephalus_glaber_male ENSHGLG00100015995
fukomys_damarensis ENSFDAG00000005053
octodon_degus ENSODEG00000011253
chinchilla_lanigera ENSCLAG00000014882
cavia_aperea ENSCAPG00000007516
cavia_porcellus ENSCPOG00000000765
spermophilus_dauricus ENSSDAG00000004967
mus_spicilegus ENSMSIG00000016765
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0015445
mus_musculus ENSMUSG00000041889
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0014638
mus_pahari MGP_PahariEiJ_G0027874
rattus_norvegicus ENSRNOG00000007369
meriones_unguiculatus ENSMUGG00000008108
cricetulus_griseus_chok1gshd ENSCGRG00001011813
cricetulus_griseus_crigri-picr ENSCGRG00015024692
cricetulus_griseus_crigri ENSCGRG00000012414
mesocricetus_auratus ENSMAUG00000015952
peromyscus_maniculatus_bairdii ENSPEMG00000019105
microtus_ochrogaster ENSMOCG00000022223
nannospalax_galili ENSNGAG00000014499
dipodomys_ordii ENSDORG00000013464
castor_canadensis ENSCCNG00000031552
jaculus_jaculus ENSJJAG00000015452
oryctolagus_cuniculus ENSOCUG00000007489
tupaia_belangeri ENSTBEG00000010792
propithecus_coquereli ENSPCOG00000027691
prolemur_simus ENSPSMG00000000489
microcebus_murinus ENSMICG00000048002
otolemur_garnettii ENSOGAG00000006169
carlito_syrichta ENSTSYG00000033087
bison_bison_bison ENSBBBG00000009260
ursus_maritimus ENSUMAG00000004142
erinaceus_europaeus ENSEEUG00000008187
ochotona_princeps ENSOPRG00000007785
dasypus_novemcinctus ENSDNOG00000004021
ictidomys_tridecemlineatus ENSSTOG00000024090
urocitellus_parryii ENSUPAG00010008814
marmota_marmota_marmota ENSMMMG00000012653
loxodonta_africana ENSLAFG00000012568
procavia_capensis ENSPCAG00000008800
echinops_telfairi ENSETEG00000002783
notamacropus_eugenii ENSMEUG00000006500
sarcophilus_harrisii ENSSHAG00000010739
monodelphis_domestica ENSMODG00000000492
ornithorhynchus_anatinus ENSOANG00000009360
taeniopygia_guttata ENSTGUG00000014845
lonchura_striata_domestica ENSLSDG00000010886
serinus_canaria ENSSCAG00000007168
junco_hyemalis ENSJHYG00000011331
parus_major ENSPMJG00000004574
ficedula_albicollis ENSFALG00000002391
lepidothrix_coronata ENSLCOG00000014899
gallus_gallus ENSGALG00000032893
coturnix_japonica ENSCJPG00005009067
numida_meleagris ENSNMEG00000009028
melopsittacus_undulatus ENSMUNG00000007595
nothoprocta_perdicaria ENSNPEG00000000621
xenopus_tropicalis ENSXETG00000026919
latimeria_chalumnae ENSLACG00000013077
eptatretus_burgeri ENSEBUG00000007603
