drosophila_melanogaster FBgn0050410
caenorhabditis_elegans WBGene00015101
gopherus_agassizii ENSGAGG00000022880
chelonoidis_abingdonii ENSCABG00000015439
chrysemys_picta ENSCPBG00000001505
pelodiscus_sinensis ENSPSIG00000012792
crocodylus_porosus ENSCPRG00005000166
anolis_carolinensis ENSACAG00000002303
pogona_vitticeps ENSPVIG00000004636
notechis_scutatus ENSNSUG00000017945
salvator_merianae ENSSMRG00000016921
sphenodon_punctatus ENSSPUG00000005145
apteryx_haastii ENSAHAG00000001167
apteryx_owenii ENSAOWG00000007165
apteryx_rowi ENSARWG00000012316
nothoprocta_perdicaria ENSNPEG00000000436
dromaius_novaehollandiae ENSDNVG00000011740
meleagris_gallopavo ENSMGAG00000013193
melopsittacus_undulatus ENSMUNG00000010650
lepidothrix_coronata ENSLCOG00000011753
manacus_vitellinus ENSMVIG00005015358
lonchura_striata ENSLSDG00000000762
taeniopygia_guttata ENSTGUG00000010898
ficedula_albicollis ENSFALG00000010214
serinus_canaria ENSSCAG00000014704
junco_hyemalis ENSJHYG00000000941
zonotrichia_albicollis ENSZALG00000012494
parus_major ENSPMJG00000016812
cyanistes_caeruleus ENSCCEG00000024065
calidris_pygmaea ENSCPGG00000011661
calidris_pugnax ENSCPUG00000008544
coturnix_japonica ENSCJPG00005006756
gallus_gallus ENSGALG00000015960
numida_meleagris ENSNMEG00000002279
anser_brachyrhynchus ENSABRG00000013632
anas_platyrhynchos ENSAPLG00000015356
loxodonta_africana ENSLAFG00000004508
procavia_capensis ENSPCAG00000004731
echinops_telfairi ENSETEG00000017007
carlito_syrichta ENSTSYG00000026144
carlito_syrichta ENSTSYG00000028875
carlito_syrichta ENSTSYG00000035823
carlito_syrichta ENSTSYG00000006406
rhinopithecus_roxellana ENSRROG00000014736
piliocolobus_tephrosceles ENSPTEG00000013363
microcebus_murinus ENSMICG00000036321
cavia_aperea ENSCAPG00000012248
cavia_porcellus ENSCPOG00000009751
