pygocentrus_nattereri ENSPNAG00000017028
astyanax_mexicanus ENSAMXG00000002442
ictalurus_punctatus ENSIPUG00000010127
danio_rerio ENSDARG00000077385
esox_lucius ENSELUG00000018215
paramormyrops_kingsleyae ENSPKIG00000019849
scleropages_formosus ENSSFOG00015016616
lepisosteus_oculatus ENSLOCG00000005333
paramormyrops_kingsleyae ENSPKIG00000018740
scleropages_formosus ENSSFOG00015020454
poecilia_latipinna ENSPLAG00000007655
poecilia_mexicana ENSPMEG00000000500
gambusia_affinis ENSGAFG00000000485
xiphophorus_maculatus ENSXMAG00000025570
cyprinodon_variegatus ENSCVAG00000011033
fundulus_heteroclitus ENSFHEG00000016088
kryptolebias_marmoratus ENSKMAG00000017628
oryzias_latipes ENSORLG00020005514
oryzias_latipes_asm223469v1 ENSORLG00015020632
oryzias_latipes ENSORLG00000016793
oryzias_melastigma ENSOMEG00000013532
amphiprion_ocellaris ENSAOCG00000003692
amphiprion_percula ENSAPEG00000004587
acanthochromis_polyacanthus ENSAPOG00000021614
stegastes_partitus ENSSPAG00000012947
astatotilapia_calliptera ENSACLG00000008049
maylandia_zebra ENSMZEG00005026806
pundamilia_nyererei ENSPNYG00000015283
neolamprologus_brichardi ENSNBRG00000008489
haplochromis_burtoni ENSHBUG00000017972
oreochromis_niloticus ENSONIG00000000372
amphilophus_citrinellus ENSACIG00000004047
monopterus_albus ENSMALG00000018602
mastacembelus_armatus ENSMAMG00000006774
cynoglossus_semilaevis ENSCSEG00000008355
seriola_lalandi_dorsalis ENSSLDG00000002125
seriola_dumerili ENSSDUG00000006424
scophthalmus_maximus ENSSMAG00000017951
anabas_testudineus ENSATEG00000024716
mola_mola ENSMMOG00000010679
periophthalmus_magnuspinnatus ENSPMGG00000011189
gasterosteus_aculeatus ENSGACG00000010490
hippocampus_comes ENSHCOG00000012928
takifugu_rubripes ENSTRUG00000021543
tetraodon_nigroviridis ENSTNIG00000011336
poecilia_formosa ENSPFOG00000013139
poecilia_reticulata ENSPREG00000004815
xiphophorus_couchianus ENSXCOG00000016324
gadus_morhua ENSGMOG00000018982
gopherus_agassizii ENSGAGG00000011115
chelonoidis_abingdonii ENSCABG00000000856
chrysemys_picta_bellii ENSCPBG00000013968
pelodiscus_sinensis ENSPSIG00000010046
crocodylus_porosus ENSCPRG00005006030
anolis_carolinensis ENSACAG00000006332
pogona_vitticeps ENSPVIG00000003218
salvator_merianae ENSSMRG00000019095
sphenodon_punctatus ENSSPUG00000018246
anser_brachyrhynchus ENSABRG00000006556
anas_platyrhynchos_platyrhynchos ENSAPLG00000006136
calidris_pugnax ENSCPUG00000006744
calidris_pygmaea ENSCPGG00000004429
meleagris_gallopavo ENSMGAG00000006627
coturnix_japonica ENSCJPG00005003701
gallus_gallus ENSGALG00000021079
numida_meleagris ENSNMEG00000016054
manacus_vitellinus ENSMVIG00005004872
lepidothrix_coronata ENSLCOG00000013742
lonchura_striata_domestica ENSLSDG00000006359
cyanistes_caeruleus ENSCCEG00000021585
zonotrichia_albicollis ENSZALG00000003394
junco_hyemalis ENSJHYG00000012643
parus_major ENSPMJG00000007203
serinus_canaria ENSSCAG00000014553
ficedula_albicollis ENSFALG00000010348
dromaius_novaehollandiae ENSDNVG00000000046
nothoprocta_perdicaria ENSNPEG00000009454
apteryx_haastii ENSAHAG00000002836
apteryx_rowi ENSARWG00000009724
phascolarctos_cinereus ENSPCIG00000017903
notamacropus_eugenii ENSMEUG00000001147
sarcophilus_harrisii ENSSHAG00000016466
monodelphis_domestica ENSMODG00000017062
neovison_vison ENSNVIG00000018767
mustela_putorius_furo ENSMPUG00000008691
ursus_americanus ENSUAMG00000002183
canis_lupus_familiaris ENSCAFG00000030747
canis_lupus_dingo ENSCAFG00020002096
vulpes_vulpes ENSVVUG00000014940
felis_catus ENSFCAG00000001186
panthera_pardus ENSPPRG00000009981
equus_asinus_asinus ENSEASG00005023087
equus_caballus ENSECAG00000007534
capra_hircus ENSCHIG00000004921
ovis_aries ENSOARG00000008258
bos_mutus ENSBMUG00000024670
bos_taurus ENSBTAG00000021837
bison_bison_bison ENSBBBG00000018612
tursiops_truncatus ENSTTRG00000005909
pteropus_vampyrus ENSPVAG00000000515
loxodonta_africana ENSLAFG00000029378
procavia_capensis ENSPCAG00000015734
dasypus_novemcinctus ENSDNOG00000013486
saimiri_boliviensis_boliviensis ENSSBOG00000034831
cebus_capucinus ENSCCAG00000033249
callithrix_jacchus ENSCJAG00000010687
aotus_nancymaae ENSANAG00000024379
pan_paniscus ENSPPAG00000043905
pan_troglodytes ENSPTRG00000043827
homo_sapiens ENSG00000171700
gorilla_gorilla ENSGGOG00000003867
nomascus_leucogenys ENSNLEG00000010233
rhinopithecus_roxellana ENSRROG00000027305
rhinopithecus_bieti ENSRBIG00000037727
colobus_angolensis_palliatus ENSCANG00000040088
piliocolobus_tephrosceles ENSPTEG00000008003
mandrillus_leucophaeus ENSMLEG00000019128
papio_anubis ENSPANG00000024132
theropithecus_gelada ENSTGEG00000008018
cercocebus_atys ENSCATG00000038810
macaca_fascicularis ENSMFAG00000032913
macaca_nemestrina ENSMNEG00000033035
macaca_mulatta ENSMMUG00000045901
chlorocebus_sabaeus ENSCSAG00000016758
propithecus_coquereli ENSPCOG00000025189
microcebus_murinus ENSMICG00000004739
prolemur_simus ENSPSMG00000000363
cricetulus_griseus_crigri ENSCGRG00000010801
cricetulus_griseus_chok1gshd ENSCGRG00001007028
cricetulus_griseus_crigri-picr ENSCGRG00015018302
mesocricetus_auratus ENSMAUG00000012658
microtus_ochrogaster ENSMOCG00000013526
peromyscus_maniculatus_bairdii ENSPEMG00000006999
meriones_unguiculatus ENSMUGG00000004257
meriones_unguiculatus ENSMUGG00000003428
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0025745
mus_musculus ENSMUSG00000002458
mus_spicilegus ENSMSIG00000012113
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0024818
mus_pahari MGP_PahariEiJ_G0026266
rattus_norvegicus ENSRNOG00000016547
nannospalax_galili ENSNGAG00000008869
jaculus_jaculus ENSJJAG00000008232
cavia_aperea ENSCAPG00000006913
cavia_porcellus ENSCPOG00000035394
octodon_degus ENSODEG00000004661
chinchilla_lanigera ENSCLAG00000003064
heterocephalus_glaber_female ENSHGLG00000010844
heterocephalus_glaber_male ENSHGLG00100018605
fukomys_damarensis ENSFDAG00000017851
castor_canadensis ENSCCNG00000030597
dipodomys_ordii ENSDORG00000029996
urocitellus_parryii ENSUPAG00010003424
ictidomys_tridecemlineatus ENSSTOG00000021698
spermophilus_dauricus ENSSDAG00000008057
marmota_marmota_marmota ENSMMMG00000000211
otolemur_garnettii ENSOGAG00000032796
carlito_syrichta ENSTSYG00000029330
ochotona_princeps ENSOPRG00000015534
tupaia_belangeri ENSTBEG00000015727
spermophilus_dauricus ENSSDAG00000008048
oryctolagus_cuniculus ENSOCUG00000026522
pongo_abelii ENSPPYG00000011259
erinaceus_europaeus ENSEEUG00000015252
sus_scrofa ENSSSCG00000034841
ailuropoda_melanoleuca ENSAMEG00000002006
echinops_telfairi ENSETEG00000014036
xenopus_tropicalis ENSXETG00000007604
latimeria_chalumnae ENSLACG00000022283
ciona_intestinalis ENSCING00000005623
