pan_paniscus ENSPPAG00000014553
pan_troglodytes ENSPTRG00000016582
homo_sapiens ENSG00000181381
gorilla_gorilla ENSGGOG00000014778
pongo_abelii ENSPPYG00000015185
nomascus_leucogenys ENSNLEG00000006565
papio_anubis ENSPANG00000017684
theropithecus_gelada ENSTGEG00000020834
cercocebus_atys ENSCATG00000044236
mandrillus_leucophaeus ENSMLEG00000027365
macaca_fascicularis ENSMFAG00000045327
macaca_mulatta ENSMMUG00000003634
macaca_nemestrina ENSMNEG00000029554
chlorocebus_sabaeus ENSCSAG00000003149
rhinopithecus_roxellana ENSRROG00000039658
rhinopithecus_bieti ENSRBIG00000025614
colobus_angolensis ENSCANG00000028650
cebus_capucinus ENSCCAG00000030111
saimiri_boliviensis ENSSBOG00000034368
callithrix_jacchus ENSCJAG00000046221
aotus_nancymaae ENSANAG00000032430
carlito_syrichta ENSTSYG00000013149
equus_asinus ENSEASG00005021597
equus_caballus ENSECAG00000024062
loxodonta_africana ENSLAFG00000026072
