xiphophorus_maculatus ENSXMAG00000004038
gambusia_affinis ENSGAFG00000007167
poecilia_formosa ENSPFOG00000017573
poecilia_latipinna ENSPLAG00000016982
poecilia_mexicana ENSPMEG00000018814
poecilia_reticulata ENSPREG00000002996
fundulus_heteroclitus ENSFHEG00000020930
cyprinodon_variegatus ENSCVAG00000000725
kryptolebias_marmoratus ENSKMAG00000005982
oryzias_latipes ENSORLG00015009474
oryzias_latipes ENSORLG00020014299
oryzias_latipes ENSORLG00000016012
oryzias_melastigma ENSOMEG00000005419
hippocampus_comes ENSHCOG00000009430
tetraodon_nigroviridis ENSTNIG00000007264
takifugu_rubripes ENSTRUG00000005186
seriola_lalandi ENSSLDG00000008675
anabas_testudineus ENSATEG00000024247
monopterus_albus ENSMALG00000021088
seriola_dumerili ENSSDUG00000001010
seriola_lalandi ENSSLDG00000001687
scophthalmus_maximus ENSSMAG00000006652
amphiprion_percula ENSAPEG00000006167
amphiprion_ocellaris ENSAOCG00000012914
acanthochromis_polyacanthus ENSAPOG00000004092
stegastes_partitus ENSSPAG00000020211
astatotilapia_calliptera ENSACLG00000007359
maylandia_zebra ENSMZEG00005014884
haplochromis_burtoni ENSHBUG00000001344
pundamilia_nyererei ENSPNYG00000005094
neolamprologus_brichardi ENSNBRG00000013111
oreochromis_niloticus ENSONIG00000019334
amphilophus_citrinellus ENSACIG00000000509
gasterosteus_aculeatus ENSGACG00000000312
mastacembelus_armatus ENSMAMG00000008882
labrus_bergylta ENSLBEG00000011428
mola_mola ENSMMOG00000002811
cynoglossus_semilaevis ENSCSEG00000005004
periophthalmus_magnuspinnatus ENSPMGG00000008224
gadus_morhua ENSGMOG00000001783
esox_lucius ENSELUG00000001509
pygocentrus_nattereri ENSPNAG00000002547
astyanax_mexicanus ENSAMXG00000042559
ictalurus_punctatus ENSIPUG00000023689
danio_rerio ENSDARG00000040157
scleropages_formosus ENSSFOG00015019075
paramormyrops_kingsleyae ENSPKIG00000014505
lepisosteus_oculatus ENSLOCG00000010530
apteryx_haastii ENSAHAG00000003717
apteryx_owenii ENSAOWG00000006830
apteryx_rowi ENSARWG00000005990
nothoprocta_perdicaria ENSNPEG00000003393
dromaius_novaehollandiae ENSDNVG00000003327
cyanistes_caeruleus ENSCCEG00000024282
parus_major ENSPMJG00000005400
ficedula_albicollis ENSFALG00000008966
taeniopygia_guttata ENSTGUG00000005754
lonchura_striata ENSLSDG00000012998
serinus_canaria ENSSCAG00000001790
zonotrichia_albicollis ENSZALG00000017490
junco_hyemalis ENSJHYG00000011495
manacus_vitellinus ENSMVIG00005012988
lepidothrix_coronata ENSLCOG00000003897
calidris_pygmaea ENSCPGG00000013947
calidris_pugnax ENSCPUG00000007438
melopsittacus_undulatus ENSMUNG00000007765
melopsittacus_undulatus ENSMUNG00000006423
