serinus_canaria ENSSCAG00000010016
cyanistes_caeruleus ENSCCEG00000019793
parus_major ENSPMJG00000006427
lonchura_striata_domestica ENSLSDG00000004305
lepidothrix_coronata ENSLCOG00000013112
calidris_pygmaea ENSCPGG00000003491
numida_meleagris ENSNMEG00000003081
coturnix_japonica ENSCJPG00005017711
anser_brachyrhynchus ENSABRG00000005754
anas_platyrhynchos_platyrhynchos ENSAPLG00000000642
crocodylus_porosus ENSCPRG00005008810
chelonoidis_abingdonii ENSCABG00000020534
gopherus_agassizii ENSGAGG00000013285
chrysemys_picta_bellii ENSCPBG00000016847
pelodiscus_sinensis ENSPSIG00000005146
pelodiscus_sinensis ENSPSIG00000005180
anolis_carolinensis ENSACAG00000025279
pogona_vitticeps ENSPVIG00000022963
notechis_scutatus ENSNSUG00000016975
salvator_merianae ENSSMRG00000001039
sphenodon_punctatus ENSSPUG00000016863
cavia_porcellus ENSCPOG00000036995
octodon_degus ENSODEG00000011683
heterocephalus_glaber_female ENSHGLG00000006872
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0024642
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0023722
mus_pahari MGP_PahariEiJ_G0025173
saimiri_boliviensis_boliviensis ENSSBOG00000028625
saimiri_boliviensis_boliviensis ENSSBOG00000020584
macaca_mulatta ENSMMUG00000002566
carlito_syrichta ENSTSYG00000006128
spermophilus_dauricus ENSSDAG00000009275
ictidomys_tridecemlineatus ENSSTOG00000029880
tursiops_truncatus ENSTTRG00000002101
capra_hircus ENSCHIG00000010289
ursus_americanus ENSUAMG00000011379
ailuropoda_melanoleuca ENSAMEG00000014622
felis_catus ENSFCAG00000006638
panthera_pardus ENSPPRG00000002014
pteropus_vampyrus ENSPVAG00000016277
loxodonta_africana ENSLAFG00000020876
procavia_capensis ENSPCAG00000001381
ochotona_princeps ENSOPRG00000002653
rattus_norvegicus ENSRNOG00000054563
mus_musculus ENSMUSG00000076437
cricetulus_griseus_chok1gshd ENSCGRG00001001580
meriones_unguiculatus ENSMUGG00000018893
jaculus_jaculus ENSJJAG00000019325
notamacropus_eugenii ENSMEUG00000000451
monopterus_albus ENSMALG00000014250
mola_mola ENSMMOG00000003231
poecilia_latipinna ENSPLAG00000022425
poecilia_mexicana ENSPMEG00000021098
poecilia_reticulata ENSPREG00000017810
xiphophorus_maculatus ENSXMAG00000021768
xiphophorus_couchianus ENSXCOG00000002285
fundulus_heteroclitus ENSFHEG00000014738
kryptolebias_marmoratus ENSKMAG00000012019
acanthochromis_polyacanthus ENSAPOG00000008261
amphiprion_ocellaris ENSAOCG00000010635
stegastes_partitus ENSSPAG00000016067
anabas_testudineus ENSATEG00000012363
astatotilapia_calliptera ENSACLG00000013564
maylandia_zebra ENSMZEG00005002818
haplochromis_burtoni ENSHBUG00000010409
pundamilia_nyererei ENSPNYG00000017293
neolamprologus_brichardi ENSNBRG00000005237
oryzias_latipes ENSORLG00020016640
oryzias_latipes_asm223469v1 ENSORLG00015019507
oryzias_melastigma ENSOMEG00000000823
haplochromis_burtoni ENSHBUG00000010398
pundamilia_nyererei ENSPNYG00000017305
astatotilapia_calliptera ENSACLG00000013541
maylandia_zebra ENSMZEG00005002790
neolamprologus_brichardi ENSNBRG00000005255
mastacembelus_armatus ENSMAMG00000002178
labrus_bergylta ENSLBEG00000010245
seriola_dumerili ENSSDUG00000014472
takifugu_rubripes ENSTRUG00000023681
hippocampus_comes ENSHCOG00000010090
periophthalmus_magnuspinnatus ENSPMGG00000012169
esox_lucius ENSELUG00000024043
paramormyrops_kingsleyae ENSPKIG00000007722
scleropages_formosus ENSSFOG00015000668
astyanax_mexicanus ENSAMXG00000039853
pygocentrus_nattereri ENSPNAG00000026503
ictalurus_punctatus ENSIPUG00000016254
