takifugu_rubripes ENSTRUG00000012072
tetraodon_nigroviridis ENSTNIG00000017261
labrus_bergylta ENSLBEG00000003983
gasterosteus_aculeatus ENSGACG00000009620
cynoglossus_semilaevis ENSCSEG00000002733
seriola_dumerili ENSSDUG00000016299
seriola_dumerili ENSSDUG00000016281
seriola_lalandi_dorsalis ENSSLDG00000019716
scophthalmus_maximus ENSSMAG00000019649
monopterus_albus ENSMALG00000013745
mastacembelus_armatus ENSMAMG00000006723
anabas_testudineus ENSATEG00000012092
mola_mola ENSMMOG00000010116
amphilophus_citrinellus ENSACIG00000016948
amphilophus_citrinellus ENSACIG00000016772
maylandia_zebra ENSMZEG00005003768
pundamilia_nyererei ENSPNYG00000017825
haplochromis_burtoni ENSHBUG00000000204
neolamprologus_brichardi ENSNBRG00000023954
oreochromis_niloticus ENSONIG00000005045
maylandia_zebra ENSMZEG00005003781
oreochromis_niloticus ENSONIG00000003466
oreochromis_niloticus ENSONIG00000003460
oreochromis_niloticus ENSONIG00000005043
oreochromis_niloticus ENSONIG00000002866
maylandia_zebra ENSMZEG00005003789
pundamilia_nyererei ENSPNYG00000017872
haplochromis_burtoni ENSHBUG00000007734
neolamprologus_brichardi ENSNBRG00000023978
amphilophus_citrinellus ENSACIG00000016805
neolamprologus_brichardi ENSNBRG00000023982
neolamprologus_brichardi ENSNBRG00000004318
haplochromis_burtoni ENSHBUG00000018777
maylandia_zebra ENSMZEG00005004123
maylandia_zebra ENSMZEG00005003918
pundamilia_nyererei ENSPNYG00000018272
haplochromis_burtoni ENSHBUG00000007434
oreochromis_niloticus ENSONIG00000003475
haplochromis_burtoni ENSHBUG00000007412
maylandia_zebra ENSMZEG00005004217
neolamprologus_brichardi ENSNBRG00000023994
pundamilia_nyererei ENSPNYG00000018345
oreochromis_niloticus ENSONIG00000003478
haplochromis_burtoni ENSHBUG00000007637
pundamilia_nyererei ENSPNYG00000017970
maylandia_zebra ENSMZEG00005003800
oreochromis_niloticus ENSONIG00000003469
maylandia_zebra ENSMZEG00005004004
haplochromis_burtoni ENSHBUG00000007536
maylandia_zebra ENSMZEG00005003823
pundamilia_nyererei ENSPNYG00000018105
neolamprologus_brichardi ENSNBRG00000023987
oreochromis_niloticus ENSONIG00000003474
amphilophus_citrinellus ENSACIG00000016736
amphilophus_citrinellus ENSACIG00000016759
amphilophus_citrinellus ENSACIG00000006126
amphilophus_citrinellus ENSACIG00000005962
maylandia_zebra ENSMZEG00005003962
maylandia_zebra ENSMZEG00005004286
pundamilia_nyererei ENSPNYG00000018363
maylandia_zebra ENSMZEG00005004228
maylandia_zebra ENSMZEG00005003938
haplochromis_burtoni ENSHBUG00000007392
oreochromis_niloticus ENSONIG00000009633
oreochromis_niloticus ENSONIG00000014120
amphiprion_ocellaris ENSAOCG00000016209
amphiprion_percula ENSAPEG00000017605
acanthochromis_polyacanthus ENSAPOG00000014664
stegastes_partitus ENSSPAG00000017143
cyprinodon_variegatus ENSCVAG00000012377
cyprinodon_variegatus ENSCVAG00000015190
fundulus_heteroclitus ENSFHEG00000006825
xiphophorus_couchianus ENSXCOG00000004972
xiphophorus_maculatus ENSXMAG00000013249
gambusia_affinis ENSGAFG00000002727
poecilia_formosa ENSPFOG00000004569
poecilia_mexicana ENSPMEG00000014620
poecilia_latipinna ENSPLAG00000009707
poecilia_reticulata ENSPREG00000019376
kryptolebias_marmoratus ENSKMAG00000009899
oryzias_latipes ENSORLG00020019183
oryzias_latipes ENSORLG00000012518
oryzias_latipes_asm223469v1 ENSORLG00015016643
oryzias_melastigma ENSOMEG00000015300
hippocampus_comes ENSHCOG00000002047
hippocampus_comes ENSHCOG00000002031
hippocampus_comes ENSHCOG00000002104
periophthalmus_magnuspinnatus ENSPMGG00000011827
periophthalmus_magnuspinnatus ENSPMGG00000011694
gadus_morhua ENSGMOG00000018806
esox_lucius ENSELUG00000014902
scleropages_formosus ENSSFOG00015001591
paramormyrops_kingsleyae ENSPKIG00000009046
lepisosteus_oculatus ENSLOCG00000005329
lepisosteus_oculatus ENSLOCG00000005309
astyanax_mexicanus ENSAMXG00000001801
astyanax_mexicanus ENSAMXG00000001761
astyanax_mexicanus ENSAMXG00000040750
pygocentrus_nattereri ENSPNAG00000012853
astyanax_mexicanus ENSAMXG00000038942
astyanax_mexicanus ENSAMXG00000037672
astyanax_mexicanus ENSAMXG00000034019
pygocentrus_nattereri ENSPNAG00000005133
ictalurus_punctatus ENSIPUG00000011039
ictalurus_punctatus ENSIPUG00000011066
ictalurus_punctatus ENSIPUG00000010967
ictalurus_punctatus ENSIPUG00000010979
ictalurus_punctatus ENSIPUG00000010998
astyanax_mexicanus ENSAMXG00000001891
astyanax_mexicanus ENSAMXG00000003131
pygocentrus_nattereri ENSPNAG00000002449
pygocentrus_nattereri ENSPNAG00000002440
astyanax_mexicanus ENSAMXG00000040533
pygocentrus_nattereri ENSPNAG00000012950
pygocentrus_nattereri ENSPNAG00000002476
astyanax_mexicanus ENSAMXG00000001947
pygocentrus_nattereri ENSPNAG00000027438
pygocentrus_nattereri ENSPNAG00000012554
pygocentrus_nattereri ENSPNAG00000006667
pygocentrus_nattereri ENSPNAG00000006323
pygocentrus_nattereri ENSPNAG00000015524
ictalurus_punctatus ENSIPUG00000011033
pygocentrus_nattereri ENSPNAG00000004710
astyanax_mexicanus ENSAMXG00000010160
pygocentrus_nattereri ENSPNAG00000002491
pygocentrus_nattereri ENSPNAG00000004928
pygocentrus_nattereri ENSPNAG00000027418
pygocentrus_nattereri ENSPNAG00000002289
astyanax_mexicanus ENSAMXG00000029871
astyanax_mexicanus ENSAMXG00000001934
astyanax_mexicanus ENSAMXG00000010192
astyanax_mexicanus ENSAMXG00000010174
astyanax_mexicanus ENSAMXG00000010195
danio_rerio ENSDARG00000003902
latimeria_chalumnae ENSLACG00000002959
eptatretus_burgeri ENSEBUG00000009970
