apteryx_owenii ENSAOWG00000011340
apteryx_rowi ENSARWG00000004953
apteryx_haastii ENSAHAG00000000236
nothoprocta_perdicaria ENSNPEG00000008913
manacus_vitellinus ENSMVIG00005003215
lepidothrix_coronata ENSLCOG00000008014
lonchura_striata_domestica ENSLSDG00000016809
serinus_canaria ENSSCAG00000008481
zonotrichia_albicollis ENSZALG00000009925
junco_hyemalis ENSJHYG00000009734
cyanistes_caeruleus ENSCCEG00000010337
parus_major ENSPMJG00000012669
calidris_pugnax ENSCPUG00000003218
calidris_pygmaea ENSCPGG00000010190
melopsittacus_undulatus ENSMUNG00000015125
anas_platyrhynchos_platyrhynchos ENSAPLG00000019979
crocodylus_porosus ENSCPRG00005003525
chelonoidis_abingdonii ENSCABG00000020248
gopherus_agassizii ENSGAGG00000008991
chrysemys_picta_bellii ENSCPBG00000000065
pogona_vitticeps ENSPVIG00000006740
notechis_scutatus ENSNSUG00000000905
salvator_merianae ENSSMRG00000010274
scleropages_formosus ENSSFOG00015006552
paramormyrops_kingsleyae ENSPKIG00000001847
