neovison_vison ENSNVIG00000021129
mustela_putorius ENSMPUG00000009057
ursus_americanus ENSUAMG00000021989
ursus_maritimus ENSUMAG00000006020
ailuropoda_melanoleuca ENSAMEG00000001967
canis_lupus ENSCAFG00020010054
canis_lupus ENSCAFG00000009907
vulpes_vulpes ENSVVUG00000019791
panthera_tigris ENSPTIG00000003137
panthera_pardus ENSPPRG00000011551
felis_catus ENSFCAG00000026782
equus_asinus ENSEASG00005022881
equus_caballus ENSECAG00000007574
pan_troglodytes ENSPTRG00000004488
pan_paniscus ENSPPAG00000034873
gorilla_gorilla ENSGGOG00000013197
homo_sapiens ENSG00000182667
pongo_abelii ENSPPYG00000004070
nomascus_leucogenys ENSNLEG00000032081
macaca_fascicularis ENSMFAG00000044135
macaca_nemestrina ENSMNEG00000040992
macaca_mulatta ENSMMUG00000020197
theropithecus_gelada ENSTGEG00000001887
papio_anubis ENSPANG00000004917
mandrillus_leucophaeus ENSMLEG00000023296
cercocebus_atys ENSCATG00000042122
chlorocebus_sabaeus ENSCSAG00000002149
colobus_angolensis ENSCANG00000029153
piliocolobus_tephrosceles ENSPTEG00000037797
rhinopithecus_bieti ENSRBIG00000041072
rhinopithecus_roxellana ENSRROG00000032680
saimiri_boliviensis ENSSBOG00000006706
callithrix_jacchus ENSCJAG00000009606
cebus_capucinus ENSCCAG00000025571
aotus_nancymaae ENSANAG00000038251
carlito_syrichta ENSTSYG00000010410
prolemur_simus ENSPSMG00000005877
propithecus_coquereli ENSPCOG00000023857
microcebus_murinus ENSMICG00000004808
otolemur_garnettii ENSOGAG00000004475
pteropus_vampyrus ENSPVAG00000001921
sorex_araneus ENSSARG00000011586
dipodomys_ordii ENSDORG00000007086
castor_canadensis ENSCCNG00000000173
mus_spretus MGP_SPRETEiJ_G0033054
mus_spicilegus ENSMSIG00000030413
mus_musculus ENSMUSG00000059974
mus_caroli MGP_CAROLIEiJ_G0031931
mus_pahari MGP_PahariEiJ_G0014796
rattus_norvegicus ENSRNOG00000023720
meriones_unguiculatus ENSMUGG00000003315
cricetulus_griseus ENSCGRG00000003422
cricetulus_griseus ENSCGRG00001013170
cricetulus_griseus ENSCGRG00015006334
mesocricetus_auratus ENSMAUG00000000605
peromyscus_maniculatus ENSPEMG00000010955
microtus_ochrogaster ENSMOCG00000015273
nannospalax_galili ENSNGAG00000011635
jaculus_jaculus ENSJJAG00000021755
heterocephalus_glaber ENSHGLG00000001943
heterocephalus_glaber ENSHGLG00100006780
fukomys_damarensis ENSFDAG00000008144
chinchilla_lanigera ENSCLAG00000017213
octodon_degus ENSODEG00000002678
cavia_porcellus ENSCPOG00000008671
urocitellus_parryii ENSUPAG00010018914
ictidomys_tridecemlineatus ENSSTOG00000001109
