scleropages_formosus ENSSFOG00015011995
paramormyrops_kingsleyae ENSPKIG00000019080
lepisosteus_oculatus ENSLOCG00000006145
spermophilus_dauricus ENSSDAG00000002353
cricetulus_griseus_crigri-picr ENSCGRG00015021424
castor_canadensis ENSCCNG00000006905
dipodomys_ordii ENSDORG00000008930
heterocephalus_glaber_male ENSHGLG00100002016
heterocephalus_glaber_male ENSHGLG00100012981
heterocephalus_glaber_female ENSHGLG00000010451
heterocephalus_glaber_male ENSHGLG00100006216
heterocephalus_glaber_male ENSHGLG00100011155
cavia_aperea ENSCAPG00000016712
ochotona_princeps ENSOPRG00000012212
tupaia_belangeri ENSTBEG00000009057
pan_troglodytes ENSPTRG00000050684
pan_paniscus ENSPPAG00000039531
gorilla_gorilla ENSGGOG00000024027
pan_paniscus ENSPPAG00000029313
macaca_mulatta ENSMMUG00000008431
rhinopithecus_bieti ENSRBIG00000041113
otolemur_garnettii ENSOGAG00000031772
prolemur_simus ENSPSMG00000002903
vicugna_pacos ENSVPAG00000006362
capra_hircus ENSCHIG00000006638
sorex_araneus ENSSARG00000013966
erinaceus_europaeus ENSEEUG00000008772
bos_taurus ENSBTAG00000009498
bos_mutus ENSBMUG00000006495
ovis_aries ENSOARG00000014146
tursiops_truncatus ENSTTRG00000016309
sus_scrofa ENSSSCG00000010440
canis_lupus_dingo ENSCAFG00020026101
canis_lupus_familiaris ENSCAFG00000015670
vulpes_vulpes ENSVVUG00000001490
ursus_maritimus ENSUMAG00000012311
ursus_americanus ENSUAMG00000025107
equus_caballus ENSECAG00000017012
equus_asinus_asinus ENSEASG00005012374
pteropus_vampyrus ENSPVAG00000014021
myotis_lucifugus ENSMLUG00000002665
sus_scrofa ENSSSCG00000038673
cricetulus_griseus_chok1gshd ENSCGRG00001011824
dasypus_novemcinctus ENSDNOG00000000929
echinops_telfairi ENSETEG00000007996
notamacropus_eugenii ENSMEUG00000002838
phascolarctos_cinereus ENSPCIG00000004597
sarcophilus_harrisii ENSSHAG00000003709
taeniopygia_guttata ENSTGUG00000004977
serinus_canaria ENSSCAG00000004001
manacus_vitellinus ENSMVIG00005006630
parus_major ENSPMJG00000015381
cyanistes_caeruleus ENSCCEG00000019885
ficedula_albicollis ENSFALG00000013108
melopsittacus_undulatus ENSMUNG00000011828
meleagris_gallopavo ENSMGAG00000001608
apteryx_haastii ENSAHAG00000013650
nothoprocta_perdicaria ENSNPEG00000010247
pelodiscus_sinensis ENSPSIG00000008864
ciona_savignyi ENSCSAVG00000010895
ciona_intestinalis ENSCING00000014122
astyanax_mexicanus ENSAMXG00000007753
esox_lucius ENSELUG00000003315
poecilia_formosa ENSPFOG00000015747
poecilia_mexicana ENSPMEG00000022320
poecilia_latipinna ENSPLAG00000012040
poecilia_reticulata ENSPREG00000014089
xiphophorus_maculatus ENSXMAG00000012957
xiphophorus_couchianus ENSXCOG00000000553
gambusia_affinis ENSGAFG00000010616
cyprinodon_variegatus ENSCVAG00000018544
kryptolebias_marmoratus ENSKMAG00000019618
oryzias_latipes ENSORLG00020008186
oryzias_latipes ENSORLG00000006231
oryzias_latipes_asm223469v1 ENSORLG00015012760
oryzias_melastigma ENSOMEG00000006286
seriola_dumerili ENSSDUG00000013439
seriola_lalandi_dorsalis ENSSLDG00000025420
scophthalmus_maximus ENSSMAG00000020384
mastacembelus_armatus ENSMAMG00000021030
monopterus_albus ENSMALG00000015949
anabas_testudineus ENSATEG00000005833
tetraodon_nigroviridis ENSTNIG00000013318
takifugu_rubripes ENSTRUG00000009851
mola_mola ENSMMOG00000010070
labrus_bergylta ENSLBEG00000003705
amphiprion_ocellaris ENSAOCG00000000937
amphiprion_percula ENSAPEG00000009134
acanthochromis_polyacanthus ENSAPOG00000008284
stegastes_partitus ENSSPAG00000014938
cynoglossus_semilaevis ENSCSEG00000016194
gasterosteus_aculeatus ENSGACG00000009236
hippocampus_comes ENSHCOG00000011538
periophthalmus_magnuspinnatus ENSPMGG00000020973
esox_lucius ENSELUG00000007546
pygocentrus_nattereri ENSPNAG00000002729
astyanax_mexicanus ENSAMXG00000034893
ictalurus_punctatus ENSIPUG00000018017
mola_mola ENSMMOG00000009232
labrus_bergylta ENSLBEG00000026748
kryptolebias_marmoratus ENSKMAG00000018502
xiphophorus_couchianus ENSXCOG00000000996
oryzias_melastigma ENSOMEG00000015513
amphiprion_ocellaris ENSAOCG00000023926
amphiprion_percula ENSAPEG00000009089
maylandia_zebra ENSMZEG00005026172
maylandia_zebra ENSMZEG00005018421
pundamilia_nyererei ENSPNYG00000017365
haplochromis_burtoni ENSHBUG00000021025
astatotilapia_calliptera ENSACLG00000016359
neolamprologus_brichardi ENSNBRG00000000564
oreochromis_niloticus ENSONIG00000019123
amphilophus_citrinellus ENSACIG00000008158
monopterus_albus ENSMALG00000012091
seriola_lalandi_dorsalis ENSSLDG00000012235
seriola_dumerili ENSSDUG00000014625
scophthalmus_maximus ENSSMAG00000013632
cynoglossus_semilaevis ENSCSEG00000002197
ornithorhynchus_anatinus ENSOANG00000030553
caenorhabditis_elegans_strain_n2 WBGene00000913
