pan_paniscus ENSPPAG00000029500
pan_troglodytes ENSPTRG00000013351
gorilla_gorilla ENSGGOG00000005372
pongo_abelii ENSPPYG00000010881
homo_sapiens ENSG00000180483
nomascus_leucogenys ENSNLEG00000009568
rhinopithecus_roxellana ENSRROG00000044181
rhinopithecus_bieti ENSRBIG00000044078
colobus_angolensis ENSCANG00000001438
mandrillus_leucophaeus ENSMLEG00000038512
cercocebus_atys ENSCATG00000030298
macaca_fascicularis ENSMFAG00000043509
macaca_nemestrina ENSMNEG00000025134
papio_anubis ENSPANG00000018092
cebus_capucinus ENSCCAG00000037434
saimiri_boliviensis ENSSBOG00000029835
callithrix_jacchus ENSCJAG00000020812
aotus_nancymaae ENSANAG00000028989
carlito_syrichta ENSTSYG00000012729
propithecus_coquereli ENSPCOG00000016692
prolemur_simus ENSPSMG00000003290
microcebus_murinus ENSMICG00000014645
otolemur_garnettii ENSOGAG00000032304
ictidomys_tridecemlineatus ENSSTOG00000004584
ochotona_princeps ENSOPRG00000013598
tupaia_belangeri ENSTBEG00000010456
capra_hircus ENSCHIG00000018593
equus_asinus ENSEASG00005003647
ailuropoda_melanoleuca ENSAMEG00000013774
ursus_americanus ENSUAMG00000023516
canis_lupus ENSCAFG00000006989
canis_lupus ENSCAFG00020004168
vulpes_vulpes ENSVVUG00000008359
panthera_tigris ENSPTIG00000012897
panthera_pardus ENSPPRG00000024430
felis_catus ENSFCAG00000039915
pteropus_vampyrus ENSPVAG00000008252
choloepus_hoffmanni ENSCHOG00000009885
dasypus_novemcinctus ENSDNOG00000043181
