anolis_carolinensis ENSACAG00000006698
pogona_vitticeps ENSPVIG00000024283
notechis_scutatus ENSNSUG00000006234
salvator_merianae ENSSMRG00000000656
sphenodon_punctatus ENSSPUG00000007756
chelonoidis_abingdonii ENSCABG00000014493
gopherus_agassizii ENSGAGG00000011640
chrysemys_picta_bellii ENSCPBG00000017136
pelodiscus_sinensis ENSPSIG00000013607
anser_brachyrhynchus ENSABRG00000005487
anas_platyrhynchos_platyrhynchos ENSAPLG00000014821
calidris_pugnax ENSCPUG00000001147
apteryx_owenii ENSAOWG00000007668
apteryx_haastii ENSAHAG00000003072
apteryx_rowi ENSARWG00000011622
meleagris_gallopavo ENSMGAG00000004209
coturnix_japonica ENSCJPG00005004552
gallus_gallus ENSGALG00000039315
meleagris_gallopavo ENSMGAG00000004164
lonchura_striata_domestica ENSLSDG00000002668
parus_major ENSPMJG00000013318
serinus_canaria ENSSCAG00000001514
ficedula_albicollis ENSFALG00000010128
junco_hyemalis ENSJHYG00000003551
dasypus_novemcinctus ENSDNOG00000017502
choloepus_hoffmanni ENSCHOG00000001035
loxodonta_africana ENSLAFG00000013525
procavia_capensis ENSPCAG00000016037
octodon_degus ENSODEG00000001752
chinchilla_lanigera ENSCLAG00000012164
cavia_porcellus ENSCPOG00000012866
cavia_aperea ENSCAPG00000014448
heterocephalus_glaber_female ENSHGLG00000013493
heterocephalus_glaber_male ENSHGLG00100006885
heterocephalus_glaber_female ENSHGLG00000019739
heterocephalus_glaber_male ENSHGLG00100004906
fukomys_damarensis ENSFDAG00000010217
spermophilus_dauricus ENSSDAG00000003143
ictidomys_tridecemlineatus ENSSTOG00000001128
urocitellus_parryii ENSUPAG00010017243
marmota_marmota_marmota ENSMMMG00000011099
dipodomys_ordii ENSDORG00000007127
castor_canadensis ENSCCNG00000031265
cricetulus_griseus_chok1gshd ENSCGRG00001019238
cricetulus_griseus_crigri ENSCGRG00000017321
cricetulus_griseus_crigri-picr ENSCGRG00015028400
mesocricetus_auratus ENSMAUG00000011482
microtus_ochrogaster ENSMOCG00000010941
peromyscus_maniculatus_bairdii ENSPEMG00000000046
mus_musculus ENSMUSG00000040354
mus_spicilegus ENSMSIG00000026302
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0016717
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0015891
mus_pahari MGP_PahariEiJ_G0031194
rattus_norvegicus ENSRNOG00000025459
meriones_unguiculatus ENSMUGG00000008759
nannospalax_galili ENSNGAG00000018824
jaculus_jaculus ENSJJAG00000018827
oryctolagus_cuniculus ENSOCUG00000007373
ochotona_princeps ENSOPRG00000006518
propithecus_coquereli ENSPCOG00000017598
microcebus_murinus ENSMICG00000032056
prolemur_simus ENSPSMG00000022628
otolemur_garnettii ENSOGAG00000005226
carlito_syrichta ENSTSYG00000005193
pan_troglodytes ENSPTRG00000005135
pan_paniscus ENSPPAG00000025147
homo_sapiens ENSG00000166986
gorilla_gorilla ENSGGOG00000001982
pongo_abelii ENSPPYG00000004691
nomascus_leucogenys ENSNLEG00000017297
piliocolobus_tephrosceles ENSPTEG00000029260
colobus_angolensis_palliatus ENSCANG00000034583
rhinopithecus_roxellana ENSRROG00000042331
rhinopithecus_bieti ENSRBIG00000044782
mandrillus_leucophaeus ENSMLEG00000034638
theropithecus_gelada ENSTGEG00000017114
macaca_mulatta ENSMMUG00000011277
macaca_nemestrina ENSMNEG00000044464
macaca_fascicularis ENSMFAG00000010123
cercocebus_atys ENSCATG00000038907
papio_anubis ENSPANG00000009140
chlorocebus_sabaeus ENSCSAG00000004852
cebus_capucinus ENSCCAG00000032206
saimiri_boliviensis_boliviensis ENSSBOG00000022875
callithrix_jacchus ENSCJAG00000007249
aotus_nancymaae ENSANAG00000027589
tupaia_belangeri ENSTBEG00000000303
ursus_maritimus ENSUMAG00000019826
ursus_americanus ENSUAMG00000019284
ailuropoda_melanoleuca ENSAMEG00000004962
neovison_vison ENSNVIG00000002142
mustela_putorius_furo ENSMPUG00000001831
canis_lupus_dingo ENSCAFG00020023661
canis_lupus_familiaris ENSCAFG00000000229
vulpes_vulpes ENSVVUG00000017940
panthera_pardus ENSPPRG00000023243
panthera_tigris_altaica ENSPTIG00000006721
felis_catus ENSFCAG00000002083
equus_asinus_asinus ENSEASG00005007208
equus_caballus ENSECAG00000015175
bos_mutus ENSBMUG00000025649
bos_taurus ENSBTAG00000018405
bison_bison_bison ENSBBBG00000012001
ovis_aries ENSOARG00000006477
capra_hircus ENSCHIG00000027023
tursiops_truncatus ENSTTRG00000013088
vicugna_pacos ENSVPAG00000008665
sus_scrofa ENSSSCG00000023318
pteropus_vampyrus ENSPVAG00000012112
myotis_lucifugus ENSMLUG00000001037
erinaceus_europaeus ENSEEUG00000015503
echinops_telfairi ENSETEG00000007106
sorex_araneus ENSSARG00000002477
phascolarctos_cinereus ENSPCIG00000023765
notamacropus_eugenii ENSMEUG00000007195
sarcophilus_harrisii ENSSHAG00000007182
ornithorhynchus_anatinus ENSOANG00000013318
xenopus_tropicalis ENSXETG00000025174
latimeria_chalumnae ENSLACG00000018854
labrus_bergylta ENSLBEG00000013609
mola_mola ENSMMOG00000007461
gasterosteus_aculeatus ENSGACG00000006474
anabas_testudineus ENSATEG00000025019
mastacembelus_armatus ENSMAMG00000010012
monopterus_albus ENSMALG00000010005
seriola_dumerili ENSSDUG00000019070
