Note : P(D|M) is the probability of site D given the model M (i.e., the site likelihood)
P(D|M,rr[x]) is the probability of site D given the model M and the relative rate
of evolution rr[x], where x is the class of rate to be considered.
We have P(D|M) = \sum_x P(x) x P(D|M,rr[x]).


Site   P(D|M)          P(D|M,rr[1]=0.0217)   P(D|M,rr[2]=0.2059)   P(D|M,rr[3]=0.7645)   P(D|M,rr[4]=3.0079)   Posterior mean        
1      0.0166592       0.0227373             0.0210052             0.0165258             0.00636856            0.54937               
2      0.0323003       0.0416758             0.0392103             0.0326074             0.0157079             0.62812               
3      1.37057e-05     6.32757e-09           5.35053e-07           6.16965e-06           4.81117e-05           2.72774               
4      0.000206581     9.12765e-06           8.13179e-05           0.000251039           0.000484841           2.01763               
5      3.77081e-05     1.29896e-08           1.12266e-06           1.38097e-05           0.000135887           2.78139               
6      0.0587884       0.071221              0.0682062             0.059862              0.0358643             0.719657              
7      0.0323003       0.0416758             0.0392103             0.0326074             0.0157079             0.62812               
8      0.082268        0.098605              0.094671              0.0837549             0.0520413             0.736003              
9      0.082268        0.098605              0.094671              0.0837549             0.0520413             0.736003              
10     0.0517031       0.0642184             0.0610788             0.0525067             0.0290086             0.683546              
11     0.0453148       0.0606689             0.0563798             0.0451951             0.0190154             0.577478              
12     0.0462912       0.0616258             0.0573156             0.046117              0.0201065             0.58798               
13     0.0453148       0.0606689             0.0563798             0.0451951             0.0190154             0.577478              
14     0.0323003       0.0416758             0.0392103             0.0326074             0.0157079             0.62812               
15     0.0433806       0.0527749             0.0504868             0.044165              0.0260956             0.713439              
16     0.000348083     1.38523e-05           0.000124697           0.000397              0.000856784           2.08758               
17     0.082268        0.098605              0.094671              0.0837549             0.0520413             0.736003              
18     0.082268        0.098605              0.094671              0.0837549             0.0520413             0.736003              
19     0.0433806       0.0527749             0.0504868             0.044165              0.0260956             0.713439              
20     0.082268        0.098605              0.094671              0.0837549             0.0520413             0.736003              
21     0.0406929       0.0528894             0.0496405             0.0409883             0.0192533             0.618144              
22     0.0310259       0.0404591             0.0379433             0.031245              0.0144562             0.612877              
23     0.0455662       0.055642              0.0531749             0.0463727             0.0270751             0.708022              
24     0.0287682       0.0340073             0.0327823             0.0293428             0.0189404             0.755098              
25     0.0505076       0.0571619             0.0556999             0.051497              0.0376716             0.818643              
26     0.0310259       0.0404591             0.0379433             0.031245              0.0144562             0.612877              
27     0.000210148     9.47742e-06           8.43479e-05           0.000259395           0.00048737            2.00079               
28     0.000822702     3.30146e-05           0.000297182           0.000945379           0.00201523            2.08042               
29     0.0349358       0.0420945             0.040378              0.0356052             0.0216657             0.727159              
30     0.0505076       0.0571619             0.0556999             0.051497              0.0376716             0.818643              
31     0.0349358       0.0420945             0.040378              0.0356052             0.0216657             0.727159              
32     0.0505076       0.0571619             0.0556999             0.051497              0.0376716             0.818643              
33     0.00016519      6.37653e-06           5.75878e-05           0.000185064           0.000411732           2.10655               
34     0.0505076       0.0571619             0.0556999             0.051497              0.0376716             0.818643              
35     0.0174735       0.0222072             0.0209938             0.0177085             0.00898457            0.649087              
36     2.29888e-05     4.76233e-07           4.56317e-06           1.73921e-05           6.95236e-05           2.42908               
37     0.0619566       0.078545              0.0742715             0.0627301             0.0322798             0.653878              
38     0.0505076       0.0571619             0.0556999             0.051497              0.0376716             0.818643              
39     0.000210148     9.47742e-06           8.43479e-05           0.000259395           0.00048737            2.00079               
40     0.0395733       0.0439288             0.0429979             0.0402944             0.0310719             0.846992              
41     0.000436672     1.44228e-05           0.000132084           0.000442627           0.00115756            2.20286               
42     0.0455662       0.055642              0.0531749             0.0463727             0.0270751             0.708022              
43     0.000481371     1.63033e-05           0.00014896            0.000495768           0.00126445            2.18822               
44     0.000186271     5.41622e-06           5.01383e-05           0.000173568           0.000515962           2.27504               
45     0.082268        0.098605              0.094671              0.0837549             0.0520413             0.736003              
46     0.0406929       0.0528894             0.0496405             0.0409883             0.0192533             0.618144              
47     0.0395733       0.0439288             0.0429979             0.0402944             0.0310719             0.846992              
48     0.0619566       0.078545              0.0742715             0.0627301             0.0322798             0.653878              
49     5.0649e-06      1.82141e-09           1.56878e-07           1.91062e-06           1.81903e-05           2.77437               
50     0.0433806       0.0527749             0.0504868             0.044165              0.0260956             0.713439              
51     0.0349358       0.0420945             0.040378              0.0356052             0.0216657             0.727159              
52     0.082268        0.098605              0.094671              0.0837549             0.0520413             0.736003              
53     0.0453148       0.0606689             0.0563798             0.0451951             0.0190154             0.577478              
