Note : P(D|M) is the probability of site D given the model M (i.e., the site likelihood)
P(D|M,rr[x]) is the probability of site D given the model M and the relative rate
of evolution rr[x], where x is the class of rate to be considered.
We have P(D|M) = \sum_x P(x) x P(D|M,rr[x]).


Site   P(D|M)          P(D|M,rr[1]=0.2037)   P(D|M,rr[2]=0.5645)   P(D|M,rr[3]=1.0414)   P(D|M,rr[4]=2.1904)   Posterior mean        
1      0.022951        0.022951              0.022951              0.022951              0.022951              1                     
2      0.0646          0.0646                0.0646                0.0646                0.0646                1                     
3      0.040767        0.040767              0.040767              0.040767              0.040767              1                     
4      0.061197        0.061197              0.061197              0.061197              0.061197              1                     
5      0.099081        0.099081              0.099081              0.099081              0.099081              1                     
6      0.055941        0.055941              0.055941              0.055941              0.055941              1                     
7      0.079066        0.079066              0.079066              0.079066              0.079066              1                     
8      0.069147        0.069147              0.069147              0.069147              0.069147              1                     
9      0.055941        0.055941              0.055941              0.055941              0.055941              1                     
10     0.071586        0.071586              0.071586              0.071586              0.071586              1                     
11     0.053287        0.053287              0.053287              0.053287              0.053287              1                     
12     0.053052        0.053052              0.053052              0.053052              0.053052              1                     
13     0.057337        0.057337              0.057337              0.057337              0.057337              1                     
14     0.04404         0.04404               0.04404               0.04404               0.04404               1                     
15     0.04404         0.04404               0.04404               0.04404               0.04404               1                     
16     2.41143e-05     2.67423e-05           3.65719e-05           2.6761e-05            6.3821e-06            0.704362              
17     0.0132644       0.0289285             0.0158214             0.0071843             0.0011233             0.466793              
18     0.000379385     0.000218036           0.000425202           0.000499091           0.000375212           1.07151               
19     0.000171922     0.00011537            0.000210625           0.0002261             0.000135594           0.981349              
20     5.35819e-05     3.1141e-05            6.03471e-05           7.03722e-05           5.24671e-05           1.06668               
21     8.37261e-07     1.18336e-07           6.03353e-07           1.18699e-06           1.44036e-06           1.42004               
22     2.14786e-05     2.14489e-05           3.12871e-05           2.51909e-05           7.98767e-06           0.765422              
23     6.345e-05       2.63046e-05           5.87948e-05           8.16983e-05           8.70024e-05           1.23797               
24     0.00011194      6.26506e-05           0.000124383           0.000148422           0.000112303           1.07989               
25     4.9922e-06      5.75485e-07           3.0845e-06            6.57381e-06           9.73499e-06           1.50373               
26     0.000705983     0.000713043           0.00101927            0.000813913           0.000277704           0.770743              
27     1.12349e-06     1.87442e-07           9.00336e-07           1.65948e-06           1.7467e-06            1.3575                
28     6.02468e-07     6.07142e-08           3.34789e-07           7.45714e-07           1.26865e-06           1.55891               
29     0.0142247       0.0303063             0.0170968             0.00809378            0.00140184            0.480235              
30     0.000719613     0.000392706           0.000783642           0.00094665            0.000755454           1.09883               
31     0.00066669      0.000682359           0.000985927           0.000776734           0.00022174            0.74628               
32     0.031789        0.0573449             0.0389097             0.0235341             0.00736721            0.584264              
33     3.50688e-08     2.93307e-09           1.7142e-08            4.09284e-08           7.92717e-08           1.61491               
34     2.01916e-05     8.93094e-07           1.00157e-05           2.78266e-05           4.20312e-05           1.57093               
35     9.69109e-09     5.51546e-10           3.58053e-09           9.74022e-09           2.48921e-08           1.72323               
36     5.11966e-10     2.18571e-11           2.49166e-10           7.02048e-10           1.07479e-09           1.57746               
37     1.72264e-08     6.03547e-10           7.37538e-09           2.24649e-08           3.84616e-08           1.62435               
38     1.7592e-07      3.80322e-08           1.67821e-07           2.76614e-07           2.21215e-07           1.24359               
39     4.07753e-11     4.06808e-15           5.30631e-13           8.2845e-12            1.54282e-10           2.12667               
40     1.9342e-06      1.01791e-07           6.69851e-07           1.86291e-06           5.10226e-06           1.74681               
41     0.000522547     0.000115379           0.000312915           0.000561093           0.0011008             1.52887               
42     3.15735e-05     3.39382e-05           4.71105e-05           3.55569e-05           9.68817e-06           0.72654               
43     4.25081e-09     4.25964e-10           2.39244e-09           5.37621e-09           8.8086e-09            1.54854               
44     1.01914e-07     1.53648e-08           7.64569e-08           1.45915e-07           1.6992e-07            1.3993                
45     1.23182e-08     1.45648e-09           7.74183e-09           1.63319e-08           2.37426e-08           1.49535               
46     2.21883e-09     2.27538e-10           1.2627e-09            2.80939e-09           4.57567e-09           1.54443               
47     1.62081e-06     1.14324e-06           2.10824e-06           2.18309e-06           1.04868e-06           0.924455              
48     1.19701e-07     8.64832e-09           5.27022e-08           1.3247e-07            2.84982e-07           1.65764               
49     1.25485e-08     2.34086e-10           3.32328e-09           1.23595e-08           3.42773e-08           1.79054               
50     1.05532e-06     3.48437e-07           1.3055e-06            1.73439e-06           8.32928e-07           1.05148               
51     0.00776922      0.0163362             0.00939452            0.00454042            0.000805717           0.486682              
52     8.56988e-07     6.64249e-08           3.96487e-07           9.71958e-07           1.99308e-06           1.63805               
53     0.0137561       0.0298728             0.0164287             0.00752093            0.00120213            0.469342              
54     9.78104e-05     9.23194e-05           0.000138876           0.000117514           4.25322e-05           0.799362              
55     0.0173657       0.0406732             0.0199209             0.00791209            0.000956628           0.429966              
56     0.000194291     0.000180959           0.000277764           0.000236851           8.15917e-05           0.796531              
57     3.20044e-08     1.08084e-10           2.47149e-09           1.53683e-08           1.1007e-07            2.01937               
58     0.00527485      0.0100833             0.00648942            0.00362781            0.000898901           0.543354              
59     1.96496e-05     1.55116e-05           2.61103e-05           2.51859e-05           1.17908e-05           0.890018              
60     3.72472e-05     1.15866e-05           2.93439e-05           4.647e-05             6.15883e-05           1.35729               
61     0.0319917       0.0496166             0.0384494             0.0275045             0.0123963             0.68462               
62     0.00527485      0.0100833             0.00648942            0.00362781            0.000898901           0.543354              
63     0.0277695       0.0578835             0.0335247             0.0164879             0.00318169            0.493858              
64     0.000232344     0.000209506           0.000326622           0.000285789           0.000107458           0.81781               
65     0.00527485      0.0100833             0.00648942            0.00362781            0.000898901           0.543354              
66     0.0173657       0.0406732             0.0199209             0.00791209            0.000956628           0.429966              
67     0.0010615       0.00069039            0.00127946            0.00140034            0.000875817           0.998487              
68     0.0158791       0.0278361             0.0194406             0.0121733             0.00406655            0.601886              
69     0.0137561       0.0298728             0.0164287             0.00752093            0.00120213            0.469342              
70     0.0319917       0.0496166             0.0384494             0.0275045             0.0123963             0.68462               
71     0.00527485      0.0100833             0.00648942            0.00362781            0.000898901           0.543354              
72     0.000319913     0.000210618           0.000390959           0.000424721           0.000253353           0.985305              
73     0.000524315     0.000562005           0.000780929           0.000591042           0.000163285           0.728804              
74     0.00527485      0.0100833             0.00648942            0.00362781            0.000898901           0.543354              
75     0.000232995     0.00017523            0.00030184            0.000300998           0.000153911           0.919194              
76     0.0267266       0.0390746             0.031628              0.0239329             0.0122709             0.726019              
77     0.0228021       0.0434462             0.027911              0.0157096             0.00414147            0.548615              
78     0.0436179       0.078989              0.0532558             0.0320796             0.0101474             0.583414              
79     0.0181912       0.0335378             0.0223153             0.0131201             0.00379152            0.568925              
80     0.0181912       0.0335378             0.0223153             0.0131201             0.00379152            0.568925              
81     5.60686e-07     8.05074e-08           3.9773e-07            7.73609e-07           9.90899e-07           1.4344                
82     0.0436179       0.078989              0.0532558             0.0320796             0.0101474             0.583414              
83     0.000329118     0.000214039           0.000395836           0.000432923           0.000273672           1.00066               
84     0.0228021       0.0434462             0.027911              0.0157096             0.00414147            0.548615              
85     6.98313e-06     5.83672e-06           9.23191e-06           8.53138e-06           4.33249e-06           0.886953              
