Note : P(D|M) is the probability of site D given the model M (i.e., the site likelihood)
P(D|M,rr[x]) is the probability of site D given the model M and the relative rate
of evolution rr[x], where x is the class of rate to be considered.
We have P(D|M) = \sum_x P(x) x P(D|M,rr[x]).


Site   P(D|M)          P(D|M,rr[1]=0.1606)   P(D|M,rr[2]=0.5105)   P(D|M,rr[3]=1.0175)   P(D|M,rr[4]=2.3114)   Posterior mean        
1      0.022951        0.022951              0.022951              0.022951              0.022951              1                     
2      0.061197        0.061197              0.061197              0.061197              0.061197              1                     
3      0.04404         0.04404               0.04404               0.04404               0.04404               1                     
4      0.041977        0.041977              0.041977              0.041977              0.041977              1                     
5      0.062157        0.062157              0.062157              0.062157              0.062157              1                     
6      0.0167608       0.0216672             0.0191262             0.0159934             0.0102563             0.793862              
7      0.00162694      0.000369564           0.00107577            0.00189212            0.00317029            1.51538               
8      0.0459341       0.0580274             0.051761              0.044045              0.0299031             0.814623              
9      0.0327952       0.0401588             0.0364922             0.031826              0.0227036             0.838067              
10     0.000426085     3.39643e-05           0.000146567           0.000378795           0.00114501            1.82611               
11     0.0327952       0.0401588             0.0364922             0.031826              0.0227036             0.838067              
12     0.000809868     0.00016319            0.000491205           0.000904444           0.00168063            1.56875               
13     0.000686812     0.00012639            0.000390167           0.000743036           0.00148765            1.60675               
14     0.000169967     2.99873e-05           9.3033e-05            0.000179336           0.000377513           1.62881               
15     0.0459341       0.0580274             0.051761              0.044045              0.0299031             0.814623              
16     0.0630876       0.0759206             0.069564              0.0614435             0.0454224             0.852831              
17     1.19779e-05     2.74161e-05           1.50423e-05           3.90043e-06           1.55266e-06           0.409887              
18     0.000391925     9.82357e-05           0.000436854           0.000615259           0.000417353           1.167                 
19     0.079066        0.079066              0.079066              0.079066              0.079066              1                     
20     0.00241268      0.00234769            0.0033005             0.00259657            0.00140595            0.824151              
21     1.35259e-10     1.64622e-12           5.68893e-11           2.03406e-10           2.79094e-10           1.62907               
22     1.85698e-09     5.61239e-12           2.72747e-10           1.58488e-09           5.56467e-09           1.96759               
23     8.35898e-08     4.92329e-09           6.17211e-08           1.36535e-07           1.3118e-07            1.41895               
24     2.02767e-05     2.94945e-05           3.18489e-05           1.63729e-05           3.39058e-06           0.560876              
25     2.50681e-09     9.35478e-14           2.9247e-11            6.33268e-10           9.36465e-09           2.22443               
26     1.65853e-08     4.28708e-11           2.10586e-09           1.29448e-08           5.12477e-08           2.0004                
27     1.83871e-06     2.76002e-07           1.4674e-06            2.63453e-06           2.97691e-06           1.40792               
28     2.9965e-07      4.16436e-08           3.97938e-07           5.9639e-07            1.62627e-07           0.994978              
29     2.81832e-07     3.57631e-09           9.87265e-08           4.17723e-07           6.07303e-07           1.66744               
30     4.79269e-10     1.56625e-12           1.14986e-10           5.48125e-10           1.2524e-09            1.8317                
31     2.6327e-10      1.10286e-14           3.91382e-12           8.20189e-11           9.67136e-10           2.20393               
32     3.18471e-08     2.65337e-09           2.22568e-08           4.21714e-08           6.03069e-08           1.52364               
33     2.84676e-07     6.11551e-09           2.16959e-07           6.03795e-07           3.11835e-07           1.27066               
34     4.3598e-06      4.99697e-07           5.24187e-06           8.64216e-06           3.05546e-06           1.06727               
35     7.03211e-08     1.5143e-08            1.05058e-07           1.20405e-07           4.06787e-08           0.969141              
36     1.34707e-07     9.14929e-09           9.70423e-08           2.04869e-07           2.2777e-07            1.45861               
37     2.59871e-07     8.41167e-08           3.83319e-07           4.51238e-07           1.20808e-07           0.911585              
