myotis_lucifugus ENSMLUG00000025624
pteropus_vampyrus ENSPVAG00000004210
sorex_araneus ENSSARG00000006005
canis_lupus_familiaris ENSCAFG00000024905
ursus_americanus ENSUAMG00000002307
ursus_maritimus ENSUMAG00000023665
ailuropoda_melanoleuca ENSAMEG00000018041
mustela_putorius_furo ENSMPUG00000016792
neovison_vison ENSNVIG00000015938
vulpes_vulpes ENSVVUG00000004830
canis_lupus_dingo ENSCAFG00020011420
panthera_pardus ENSPPRG00000018048
panthera_tigris_altaica ENSPTIG00000014393
felis_catus ENSFCAG00000006022
erinaceus_europaeus ENSEEUG00000007614
ovis_aries ENSOARG00000007535
capra_hircus ENSCHIG00000003139
bos_mutus ENSBMUG00000005861
bos_taurus ENSBTAG00000040290
bison_bison_bison ENSBBBG00000023515
tursiops_truncatus ENSTTRG00000001903
vicugna_pacos ENSVPAG00000011536
sus_scrofa ENSSSCG00000030271
equus_asinus_asinus ENSEASG00005015054
equus_caballus ENSECAG00000010116
castor_canadensis ENSCCNG00000025050
dipodomys_ordii ENSDORG00000008953
cavia_porcellus ENSCPOG00000012825
cavia_aperea ENSCAPG00000009687
octodon_degus ENSODEG00000007911
fukomys_damarensis ENSFDAG00000007620
chinchilla_lanigera ENSCLAG00000001887
rattus_norvegicus ENSRNOG00000049964
rattus_norvegicus ENSRNOG00000012801
mus_spicilegus ENSMSIG00000031431
mus_spretus_strain_spret/eij MGP_SPRETEiJ_G0023984
mus_musculus_strain_reference_cl57bl6 ENSMUSG00000025069
mus_caroli_strain_caroli_eij MGP_CAROLIEiJ_G0023063
mus_pahari_strain_pahari_eij MGP_PahariEiJ_G0014553
meriones_unguiculatus ENSMUGG00000025201
microtus_ochrogaster ENSMOCG00000016225
peromyscus_maniculatus_bairdii ENSPEMG00000013574
cricetulus_griseus_crigri-picr ENSCGRG00015019406
cricetulus_griseus_chok1gs_hdv1 ENSCGRG00001019874
cricetulus_griseus_crigri_1.0 ENSCGRG00000000936
mesocricetus_auratus ENSMAUG00000014690
nannospalax_galili ENSNGAG00000023312
jaculus_jaculus ENSJJAG00000014900
spermophilus_dauricus ENSSDAG00000021349
spermophilus_dauricus ENSSDAG00000021378
ictidomys_tridecemlineatus ENSSTOG00000013405
urocitellus_parryii ENSUPAG00010020166
marmota_marmota_marmota ENSMMMG00000001167
oryctolagus_cuniculus ENSOCUG00000008708
ochotona_princeps ENSOPRG00000010910
tupaia_belangeri ENSTBEG00000007526
pan_paniscus ENSPPAG00000030499
pan_troglodytes ENSPTRG00000002926
homo_sapiens ENSG00000065621
gorilla_gorilla ENSGGOG00000000637
pongo_abelii ENSPPYG00000002634
nomascus_leucogenys ENSNLEG00000031495
rhinopithecus_roxellana ENSRROG00000036386
rhinopithecus_bieti ENSRBIG00000040325
piliocolobus_tephrosceles ENSPTEG00000022538
colobus_angolensis_palliatus ENSCANG00000041927
theropithecus_gelada ENSTGEG00000022397
papio_anubis ENSPANG00000020880
mandrillus_leucophaeus ENSMLEG00000039283
macaca_nemestrina ENSMNEG00000032666
macaca_mulatta ENSMMUG00000041350
macaca_fascicularis ENSMFAG00000044150
cercocebus_atys ENSCATG00000033970
chlorocebus_sabaeus ENSCSAG00000005247
saimiri_boliviensis_boliviensis ENSSBOG00000034665
cebus_capucinus_imitator ENSCCAG00000028931
callithrix_jacchus ENSCJAG00000018486
aotus_nancymaae ENSANAG00000034517
carlito_syrichta ENSTSYG00000001739
propithecus_coquereli ENSPCOG00000014365
microcebus_murinus ENSMICG00000016220
prolemur_simus ENSPSMG00000012899
otolemur_garnettii ENSOGAG00000016437
procavia_capensis ENSPCAG00000003079
echinops_telfairi ENSETEG00000000205
loxodonta_africana ENSLAFG00000000236
dasypus_novemcinctus ENSDNOG00000007227
choloepus_hoffmanni ENSCHOG00000009460
